analysis,fix,Group,Sex,n,rows
BOTH-PLA,Background,ASD,f,13,13
BOTH-PLA,Background,ASD,m,11,11
BOTH-PLA,Background,ASD,NA,1,1
BOTH-PLA,Background,CTRL,f,14,14
BOTH-PLA,Background,CTRL,m,13,13
BOTH-PLA,Background,CTRL,NA,1,1
BOTH-PLA,Eyes,ASD,f,13,13
BOTH-PLA,Eyes,ASD,m,11,11
BOTH-PLA,Eyes,ASD,NA,1,1
BOTH-PLA,Eyes,CTRL,f,14,14
BOTH-PLA,Eyes,CTRL,m,13,13
BOTH-PLA,Eyes,CTRL,NA,1,1
NAL-PLA,Background,ASD,f,14,14
NAL-PLA,Background,ASD,m,12,12
NAL-PLA,Background,CTRL,f,13,13
NAL-PLA,Background,CTRL,m,9,9
NAL-PLA,Background,CTRL,NA,4,4
NAL-PLA,Eyes,ASD,f,14,14
NAL-PLA,Eyes,ASD,m,12,12
NAL-PLA,Eyes,CTRL,f,13,13
NAL-PLA,Eyes,CTRL,m,8,8
NAL-PLA,Eyes,CTRL,NA,4,4
OXT-PLA,Background,ASD,f,13,13
OXT-PLA,Background,ASD,m,12,12
OXT-PLA,Background,CTRL,f,13,13
OXT-PLA,Background,CTRL,m,14,14
OXT-PLA,Background,CTRL,NA,1,1
OXT-PLA,Eyes,ASD,f,13,13
OXT-PLA,Eyes,ASD,m,12,12
OXT-PLA,Eyes,CTRL,f,13,13
OXT-PLA,Eyes,CTRL,m,13,13
OXT-PLA,Eyes,CTRL,NA,1,1
