term,estimate,std.error,statistic,p.value,analysis,fix,formula,n
(Intercept),0.017018797236839477,0.10243384264802514,0.16614428197639805,0.8689242700444532,NAL-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,45
delta_t2t3,3.8596350299110386e-4,0.012511216758659101,0.030849397819278913,0.9755511076370404,NAL-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,45
GroupCTRL,0.07528043572146093,0.06507266871234861,1.156867194954542,0.254547496822767,NAL-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,45
Sexm,-0.08807854818370017,0.05621183464126896,-1.5669039935415252,0.1254278052000644,NAL-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,45
active_session_num,0.020056851842904202,0.025550639620556845,0.784984334668765,0.4373295956612261,NAL-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,45
placebo_session_num,-0.03133120984087973,0.028503038011629,-1.0992235223521387,0.2785861883902775,NAL-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,45
delta_t2t3:GroupCTRL,0.0033923276257047763,0.016093631531390852,0.2107869575047741,0.8341798030248951,NAL-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,45
(Intercept),-0.09558922883081544,0.10568102242878305,-0.9045070404691786,0.3715786461433018,NAL-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,44
delta_t2t3,0.005871867244040823,0.012890358209760191,0.45552397757223084,0.6513944400777931,NAL-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,44
GroupCTRL,-0.055420176902753734,0.06833510035257732,-0.8110060074077803,0.42254859040443304,NAL-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,44
Sexm,0.11854695434667589,0.05892696646359071,2.011760683793602,0.05157014842671531,NAL-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,44
active_session_num,-0.002282703136789239,0.026516691550529197,-0.0860855183400013,0.93186260833068435,NAL-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,44
placebo_session_num,0.026986651175191625,0.030289047685218267,0.8909706061297435,0.3787023008714627,NAL-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,44
delta_t2t3:GroupCTRL,-0.013761831743741024,0.016519581599040805,-0.8330617613547847,0.41015536967787547,NAL-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,44
(Intercept),0.06259258358429619,0.1079336674060732,0.579917138818302,0.5650687344732352,BOTH-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
delta_t2t3,-0.003707955774919088,0.009237402450299373,-0.40140675854161983,0.6901558220772669,BOTH-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
GroupCTRL,-0.041165356382375895,0.05245964915558712,-0.7847051409033614,0.43703035564763004,BOTH-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
Sexm,-0.09260792299628698,0.05155942543949761,-1.7961395459101404,0.07966792009515418,BOTH-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
active_session_num,-0.016732598124385767,0.02290663747851025,-0.7304694170012239,0.46915859649427116,BOTH-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
placebo_session_num,0.005143631873833958,0.023323380490296426,0.22053543550318275,0.8265227275657291,BOTH-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
delta_t2t3:GroupCTRL,0.034850899700173195,0.012456861961467074,2.797727052605849,0.007735160325107589,BOTH-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
(Intercept),-0.01784044806655685,0.10858312998327524,-0.1643022085410944,0.87028142033939615,BOTH-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
delta_t2t3,0.014798579302874945,0.00929298610038932,1.5924460817018735,0.11878383887873657,BOTH-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
GroupCTRL,-0.024337408818303503,0.05277531135588575,-0.4611514019156854,0.647069312746076,BOTH-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
Sexm,0.13391870796074445,0.05186967077934148,2.581830691203871,0.013406776737325763,BOTH-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
active_session_num,-0.018629986708865193,0.02304447217058881,-0.808436251911305,0.42339523616929486,BOTH-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
placebo_session_num,0.0024756287576476375,0.023463722824308877,0.10550877949695338,0.9164744090065937,BOTH-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
delta_t2t3:GroupCTRL,-0.036667264385865074,0.01253181786603119,-2.925933394328651,0.0055197428466713635,BOTH-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,49
(Intercept),-0.1493499972452117,0.08313809241354368,-1.7964087569187683,0.07929701893549355,OXT-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,51
delta_t2t3,-0.017019166057279225,0.011086992459040185,-1.5350570607993899,0.13192998440472747,OXT-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,51
GroupCTRL,0.024622168301181798,0.03615116463384088,0.6810892138764774,0.49938404441175155,OXT-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,51
Sexm,-0.08015879365925095,0.035827639551145235,-2.2373450962300043,0.030377545093737607,OXT-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,51
active_session_num,0.020441474166552523,0.01709839423371962,1.1955201106686404,0.23828754550168976,OXT-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,51
placebo_session_num,0.04016688525550577,0.01830991761390935,2.193722883001533,0.03358246717839775,OXT-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,51
delta_t2t3:GroupCTRL,0.04424461728419928,0.01883814295537707,2.348671914689463,0.023397234885804065,OXT-PLA,Background,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,51
(Intercept),0.21977661184410455,0.09221908628410982,2.383200926183694,0.021651270412252482,OXT-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,50
delta_t2t3,0.004436041058644202,0.012292282120115513,0.36088018606283956,0.7199559763727075,OXT-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,50
GroupCTRL,-0.04490183832449532,0.04008393677547402,-1.1201953185389018,0.2688483818260709,OXT-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,50
Sexm,0.049004911704311226,0.04004142541837875,1.2238553246363277,0.2276706642416164,OXT-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,50
active_session_num,-0.034160116476405634,0.018978988915468866,-1.7998912707390518,0.07889638804105695,OXT-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,50
placebo_session_num,-0.05329371204913565,0.020331680906610437,-2.6212152499308736,0.012064705095153613,OXT-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,50
delta_t2t3:GroupCTRL,-0.06696564243986533,0.02530086490904305,-2.6467728546280025,0.011309913849191612,OXT-PLA,Eyes,delta_gaze ~ delta_t2t3 * Group + Sex + active_session_num + placebo_session_num,50
