effect,term,estimate,std.error,statistic,fix,n,n_id
fixed,(Intercept),-0.010595117999108434,0.06329199948334273,-0.1674005891044234,Eyes,143,53
fixed,delta_t2t3,0.020369060596300812,0.007288949636385367,2.7945124623473117,Eyes,143,53
fixed,GroupCTRL,-0.04033470547048705,0.05176215936153534,-0.7792315074950279,Eyes,143,53
fixed,medicationpla_oxt,0.04158889858410862,0.03266467429707033,1.2732072025539436,Eyes,143,53
fixed,medicationnal_oxt,0.0355832899717112,0.03504250260527066,1.0154323272093928,Eyes,143,53
fixed,Sexm,0.09812428041111583,0.039224029028948115,2.501636951642529,Eyes,143,53
fixed,active_session_num,-0.013161449913423239,0.008159016536961156,-1.6131172003145922,Eyes,143,53
fixed,placebo_session_num,-0.006622431954901472,0.018194899935177873,-0.36397188104880507,Eyes,143,53
fixed,delta_t2t3:GroupCTRL,-0.019839864957482793,0.009984896307156226,-1.9869875807586967,Eyes,143,53
fixed,delta_t2t3:medicationpla_oxt,-0.027264380449870052,0.011942606210317386,-2.28295063654665,Eyes,143,53
fixed,delta_t2t3:medicationnal_oxt,-0.017100121598378037,0.010273864642471405,-1.6644293256198244,Eyes,143,53
fixed,GroupCTRL:medicationpla_oxt,-0.001671626328961261,0.04877664255444767,-0.03427104124879614,Eyes,143,53
fixed,GroupCTRL:medicationnal_oxt,-0.021263345238886275,0.051824948945206305,-0.41029167749625134,Eyes,143,53
fixed,delta_t2t3:GroupCTRL:medicationpla_oxt,0.02463094716617806,0.022764512090238616,1.0819888020679245,Eyes,143,53
fixed,delta_t2t3:GroupCTRL:medicationnal_oxt,0.0016627639379991983,0.013497628733726601,0.12318933723850625,Eyes,143,53
fixed,(Intercept),0.014571608511824112,0.06098726118438933,0.23892872427519257,Background,145,54
fixed,delta_t2t3,-0.01555696584894156,0.007084755107092788,-2.1958367810578174,Background,145,54
fixed,GroupCTRL,0.05198994177939375,0.04951611179968644,1.0499601016678166,Background,145,54
fixed,medicationpla_oxt,-0.022227256952236395,0.03174561859641938,-0.7001677061269622,Background,145,54
fixed,medicationnal_oxt,0.0035809529597058696,0.034056197155774674,0.10514835063135262,Background,145,54
fixed,Sexm,-0.0967431482779212,0.03778694922363128,-2.5602264873349387,Background,145,54
fixed,active_session_num,0.002671005907226157,0.007920117749372879,0.33724320669824,Background,145,54
fixed,placebo_session_num,0.002476588151470699,0.017454317209812616,0.14188971826857769,Background,145,54
fixed,delta_t2t3:GroupCTRL,0.013797952421309097,0.009643072694934524,1.4308667846667917,Background,145,54
fixed,delta_t2t3:medicationpla_oxt,0.009098629983547574,0.011608599697552402,0.7837835932499215,Background,145,54
fixed,delta_t2t3:medicationnal_oxt,0.014026446031710492,0.009984851902200519,1.4047725663932245,Background,145,54
fixed,GroupCTRL:medicationpla_oxt,-0.0391001030486216,0.04693842454232169,-0.8330084239058189,Background,145,54
fixed,GroupCTRL:medicationnal_oxt,-0.07082772805205155,0.04983651461086006,-1.421201474563336,Background,145,54
fixed,delta_t2t3:GroupCTRL:medicationpla_oxt,-0.029489295130471292,0.01841995141370938,-1.6009431549598636,Background,145,54
fixed,delta_t2t3:GroupCTRL:medicationnal_oxt,0.013691424240668873,0.013080698612194644,1.046689068113294,Background,145,54
