NAL_status,AUCi_response,Group,n_sessions,n_participants,mean_eye_duration,sd_eye_duration,sem_eye_duration,mean_AUCi
Non-NAL,Decrease,ASD,32,21,0.2520439853158986,0.17825442945205303,0.03151122896052143,-4.88109375
Non-NAL,Decrease,CTRL,42,29,0.3703050012499949,0.19914028708345358,0.030728013409389587,-3.519285714285714
Non-NAL,Non-response,ASD,17,13,0.35164582223760715,0.19744370151032742,0.04788713155529442,-0.268235294117647
Non-NAL,Non-response,CTRL,16,13,0.3223305463741638,0.20999679697052903,0.05249919924263226,-0.5262500000000001
Non-NAL,Increase,ASD,5,5,0.30272544491299574,0.2499317495088488,0.11177287632744712,2.546
Non-NAL,Increase,CTRL,2,2,0.06398772426617244,0.0880135934278784,0.06223500874944857,1.65
NAL-containing,Decrease,ASD,23,17,0.24913171942489837,0.1836997368282683,0.038304042987185205,-4.466521739130434
NAL-containing,Decrease,CTRL,35,27,0.2769256329015347,0.1715523446035252,0.0289976387900644,-5.107857142857142
NAL-containing,Non-response,ASD,15,12,0.24237408161494017,0.16028057079308553,0.04138426542681594,-0.13966666666666666
NAL-containing,Non-response,CTRL,15,14,0.2770874447676433,0.11795039175424782,0.030454660196189493,-0.35266666666666663
NAL-containing,Increase,ASD,13,10,0.43782121662036994,0.18699579044351752,0.0518633008261555,5.561153846153846
NAL-containing,Increase,CTRL,9,8,0.31869658925395955,0.15781757772801253,0.05260585924267084,3.2688888888888887
