model,Group,NAL_status,AUCi_response,response,std.error,df,null,statistic,p.value,p_display,sig
auci_eye_duration_responder_model,ASD,Non-NAL,Decrease,0.22634411742628513,0.03344581541934297,Inf,0.5,-6.435052860193836,1.234303670920629e-10,NA,NA
auci_eye_duration_responder_model,CTRL,Non-NAL,Decrease,0.3564254316643874,0.03701676272289832,Inf,0.5,-3.6617826033618375,2.5046636428490923e-4,NA,NA
auci_eye_duration_responder_model,ASD,NAL-containing,Decrease,0.2364005018009749,0.03764768933630557,Inf,0.5,-5.622047231648494,1.887076509936868e-8,NA,NA
auci_eye_duration_responder_model,CTRL,NAL-containing,Decrease,0.256888700932431,0.03277869907479955,Inf,0.5,-6.186067304816879,6.168367982628836e-10,NA,NA
auci_eye_duration_responder_model,ASD,Non-NAL,Non-response,0.2877741395889418,0.04551489615120899,Inf,0.5,-4.080836357842722,4.487394062616313e-5,NA,NA
auci_eye_duration_responder_model,CTRL,Non-NAL,Non-response,0.2730763572476381,0.04311967860995415,Inf,0.5,-4.507244507920681,6.567493787630963e-6,NA,NA
auci_eye_duration_responder_model,ASD,NAL-containing,Non-response,0.22328335042088582,0.04138692772591952,Inf,0.5,-5.223898615419501,1.7519472760377773e-7,NA,NA
auci_eye_duration_responder_model,CTRL,NAL-containing,Non-response,0.25452635196590384,0.04176117937404318,Inf,0.5,-4.882534923689213,1.0473068301780854e-6,NA,NA
auci_eye_duration_responder_model,ASD,Non-NAL,Increase,0.23078711870206306,0.06120786768536683,Inf,0.5,-3.491653915052036,4.800397999165959e-4,NA,NA
auci_eye_duration_responder_model,CTRL,Non-NAL,Increase,0.15827696365527047,0.10553779376621385,Inf,0.5,-2.1095146452432596,0.034900183239954384,NA,NA
auci_eye_duration_responder_model,ASD,NAL-containing,Increase,0.33785919240329015,0.05349703769371463,Inf,0.5,-2.8136753166307527,0.004897867050681521,NA,NA
auci_eye_duration_responder_model,CTRL,NAL-containing,Increase,0.3086130373588252,0.0577248532572636,Inf,0.5,-2.9815151375113884,0.002868258663123805,NA,NA
