NAL_status,T2T3_response,Group,n_sessions,n_participants,mean_eye_duration,sd_eye_duration,sem_eye_duration,mean_T2T3
Non-NAL,Decrease,ASD,31,21,0.2850519188127479,0.19557164957709347,0.03512570519016846,-1.7609677419354839
Non-NAL,Decrease,CTRL,36,28,0.3629373249961015,0.19904973687448096,0.03317495614574683,-1.3163888888888888
Non-NAL,Non-response,ASD,18,15,0.27053019330892736,0.17548708695444,0.041362703065385954,-0.2177777777777778
Non-NAL,Non-response,CTRL,22,20,0.3241413327493918,0.22581988387505866,0.048144961009503266,-0.2281818181818182
Non-NAL,Increase,ASD,5,4,0.37017215399143555,0.25467649440107964,0.11389479075043173,2.142
Non-NAL,Increase,CTRL,2,2,0.32061061133623947,0.09083232783847103,0.06422815496554247,1.78
NAL-containing,Decrease,ASD,18,15,0.2975453142831278,0.20585278820746292,0.0485199674892184,-1.9194444444444445
NAL-containing,Decrease,CTRL,20,17,0.2620796469868621,0.175118310526697,0.03915764464426114,-1.3115
NAL-containing,Non-response,ASD,15,13,0.2678401434406203,0.15825213254536508,0.04086052492333384,-0.09333333333333334
NAL-containing,Non-response,CTRL,11,9,0.335650815712619,0.13699512163094585,0.04130558332354075,-0.09363636363636366
NAL-containing,Increase,ASD,18,16,0.3157721543531094,0.21513786576363544,0.050708481257155935,4.246111111111111
NAL-containing,Increase,CTRL,28,20,0.27797236477778386,0.14877791661411793,0.028116383424232918,3.860357142857143
