Sex,NAL_status,T2T3_response,Group,n_sessions
Female,Non-NAL,Decrease,ASD,19
Female,Non-NAL,Decrease,CTRL,17
Female,Non-NAL,Non-response,ASD,9
Female,Non-NAL,Non-response,CTRL,10
Female,Non-NAL,Increase,ASD,1
Female,Non-NAL,Increase,CTRL,1
Female,NAL-containing,Decrease,ASD,10
Female,NAL-containing,Decrease,CTRL,8
Female,NAL-containing,Non-response,ASD,6
Female,NAL-containing,Non-response,CTRL,6
Female,NAL-containing,Increase,ASD,12
Female,NAL-containing,Increase,CTRL,14
Male,Non-NAL,Decrease,ASD,12
Male,Non-NAL,Decrease,CTRL,19
Male,Non-NAL,Non-response,ASD,9
Male,Non-NAL,Non-response,CTRL,12
Male,Non-NAL,Increase,ASD,4
Male,Non-NAL,Increase,CTRL,1
Male,NAL-containing,Decrease,ASD,8
Male,NAL-containing,Decrease,CTRL,12
Male,NAL-containing,Non-response,ASD,9
Male,NAL-containing,Non-response,CTRL,5
Male,NAL-containing,Increase,ASD,6
Male,NAL-containing,Increase,CTRL,14
