Sex,NAL_status,T2T3_response,Group,n_sessions,n_participants,mean_eye_duration,sd_eye_duration,sem_eye_duration,mean_T2T3
Female,Non-NAL,Decrease,ASD,19,13,0.27036505913735515,0.20328542368839744,0.04663687466066178,-1.7347368421052631
Female,Non-NAL,Decrease,CTRL,17,12,0.4214769399131689,0.20487700500165332,0.049689972463647904,-1.3152941176470587
Female,Non-NAL,Non-response,ASD,9,8,0.23301628147281392,0.1904700035776089,0.0634900011925363,-0.25333333333333335
Female,Non-NAL,Non-response,CTRL,10,9,0.27148961177695424,0.2305877505640467,0.07291824923171634,-0.21900000000000003
Female,Non-NAL,Increase,ASD,1,1,0.160983901655474,NA,NA,7.170000000000001
Female,Non-NAL,Increase,CTRL,1,1,0.256382456370697,NA,NA,1.35
Female,NAL-containing,Decrease,ASD,10,8,0.2514846963442746,0.19025690637009085,0.06016451647068853,-1.989
Female,NAL-containing,Decrease,CTRL,8,6,0.1727288710007525,0.09479418855788802,0.033514806773179424,-1.24
Female,NAL-containing,Non-response,ASD,6,5,0.2145056424849224,0.2043019716824192,0.0834059306777442,0.03333333333333329
Female,NAL-containing,Non-response,CTRL,6,6,0.3523443442556742,0.13570379494006096,0.05540084229373852,-0.08333333333333334
Female,NAL-containing,Increase,ASD,12,10,0.25049814249878993,0.21511442537496772,0.06209818569840464,4.566666666666666
Female,NAL-containing,Increase,CTRL,14,10,0.24173953798692427,0.12907598980543894,0.03449700933647704,5.154285714285715
Male,Non-NAL,Decrease,ASD,12,8,0.3083061132987864,0.18901931046237228,0.054565174888744045,-1.8025
Male,Non-NAL,Decrease,CTRL,19,16,0.31055977480714636,0.1832958610381429,0.04205095447550206,-1.3173684210526315
Male,Non-NAL,Non-response,ASD,9,7,0.3080441051450408,0.1612317191678428,0.05374390638928093,-0.18222222222222223
Male,Non-NAL,Non-response,CTRL,12,11,0.36801776689308974,0.22187770745840477,0.06405057706414352,-0.2358333333333334
Male,Non-NAL,Increase,ASD,4,3,0.42246921707542595,0.26124114725509534,0.13062057362754767,0.8849999999999998
Male,Non-NAL,Increase,CTRL,1,1,0.384838766301782,NA,NA,2.21
Male,NAL-containing,Decrease,ASD,8,7,0.3551210867066944,0.2226035943148594,0.07870225552826814,-1.8325000000000002
Male,NAL-containing,Decrease,CTRL,12,11,0.32164683097760177,0.1938399014662102,0.055956759645603496,-1.3591666666666666
Male,NAL-containing,Non-response,ASD,9,8,0.3033964774110855,0.11909563189073497,0.039698543963578324,-0.17777777777777778
Male,NAL-containing,Non-response,CTRL,5,3,0.3156185814609528,0.15159200035311146,0.06779400352694587,-0.10600000000000001
Male,NAL-containing,Increase,ASD,6,6,0.4463201780617483,0.15775402838224725,0.06440281240084017,3.6050000000000004
Male,NAL-containing,Increase,CTRL,14,10,0.3142051915686435,0.1627396711188978,0.04349400661165613,2.5664285714285717
