model_name,model,Group,AUCi_z.trend,std.error,df,statistic,p.value,p_display,sig,significant_0_05
group_auci__id_intercept,group_auci__id_intercept,ASD,0.1662410562405099,0.0805397239380594,Inf,2.0640877335060237,0.03900939878677804,0.039,*,TRUE
group_auci__id_intercept,group_auci__id_intercept,CTRL,-0.07505926963899526,0.08094468951672876,Inf,-0.9272908462201567,0.35377554573323333,0.354,,FALSE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,ASD,0.17644710540725211,0.08023136315561476,Inf,2.1992285618408314,0.027861674402413147,0.028,*,TRUE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,CTRL,-0.076450048095688,0.08018936982283727,Inf,-0.953368860044535,0.3404032133216803,0.340,,FALSE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,ASD,0.20079735902215162,0.084722609003555,Inf,2.370056368468611,0.01778537349005608,0.018,*,TRUE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,CTRL,-0.07238981389628646,0.08060801972836654,Inf,-0.8980472928156051,0.36916033686608535,0.369,,FALSE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,ASD,0.2173714678278238,0.08450148634263034,Inf,2.572398158139398,0.01009966654664571,0.010,*,TRUE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,CTRL,-0.07398809642192011,0.0794871494477254,Inf,-0.930818339014387,0.3519475416250968,0.352,,FALSE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,ASD,0.2173714678278238,0.08450148634263034,Inf,2.572398158139398,0.01009966654664571,0.010,*,TRUE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,CTRL,-0.07398809642192011,0.0794871494477254,Inf,-0.930818339014387,0.3519475416250968,0.352,,FALSE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,ASD,0.1698275541985,0.08490237418680849,Inf,2.000268612333889,0.045471266407439696,0.045,*,TRUE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,CTRL,-0.07050010157460992,0.08042362839764426,Inf,-0.8766093122040113,0.38069887945265263,0.381,,FALSE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,ASD,0.1652234150091793,0.08179851320714543,Inf,2.0198828625499563,0.04339553930711648,0.043,*,TRUE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,CTRL,-0.07550169489310352,0.08144225558037765,Inf,-0.927058003920198,0.3538964191481155,0.354,,FALSE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,ASD,0.16624105391123706,0.08053972626910652,Inf,2.064087644844702,0.03900940719158156,0.039,*,TRUE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,CTRL,-0.07505926318475273,0.08094469032491337,Inf,-0.9272907572252554,0.35377559192740393,0.354,,FALSE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,ASD,0.22405028983033792,0.1002585628529191,Inf,2.2347247302858633,0.025435426011295507,0.025,*,TRUE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,CTRL,-0.17462370783261147,0.08827287107804463,Inf,-1.9782262171830973,0.04790319237501777,0.048,*,TRUE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,ASD,0.17716539689955801,0.08095532346014582,Inf,2.188434179832241,0.02863799083429687,0.029,*,TRUE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,CTRL,-0.07588544795134305,0.0801001043260125,Inf,-0.9473826356390808,0.3434438361400806,0.343,,FALSE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,ASD,0.1737277581166607,0.08098510270089002,Inf,2.1451816732060704,0.03193832432060519,0.032,*,TRUE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,CTRL,-0.07775047800626206,0.08080375713798352,Inf,-0.962213648970461,0.3359422943242044,0.336,,FALSE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,ASD,0.20087625309295618,0.08478844982368339,Inf,2.3691464286783877,0.017829193118072996,0.018,*,TRUE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,CTRL,-0.07228796034775545,0.0806171377573822,Inf,-0.896682298065537,0.36988846912475787,0.370,,FALSE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,ASD,0.20037328770723023,0.08621807600999083,Inf,2.324028753367348,0.02012395302466863,0.020,*,TRUE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,CTRL,-0.0723276533672012,0.08064688385198664,Inf,-0.8968437453819799,0.3698023014104047,0.370,,FALSE
