model_name,model,term,contrast,null.value,estimate,std.error,df,statistic,p.value,p_display,sig,significant_0_05
group_auci__id_intercept,group_auci__id_intercept,Group,ASD - CTRL,0,0.24130032587950515,0.11420109380834982,Inf,2.1129423356001382,0.034605703731912525,0.035,*,TRUE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,Group,ASD - CTRL,0,0.2528971535029401,0.11253692456671138,Inf,2.247237113299856,0.024624877484631054,0.025,*,TRUE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,Group,ASD - CTRL,0,0.2731871729184381,0.11687277234479743,Inf,2.3374749091472116,0.019414504092706352,0.019,*,TRUE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,Group,ASD - CTRL,0,0.2913595642497439,0.11507108363312758,Inf,2.5319963543461843,0.011341517043510772,0.011,*,TRUE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,Group,ASD - CTRL,0,0.2913595642497439,0.11507108363312758,Inf,2.5319963543461843,0.011341517043510772,0.011,*,TRUE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,Group,ASD - CTRL,0,0.24032765577310994,0.11717684662756202,Inf,2.050982448238889,0.04026865603984727,0.040,*,TRUE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,Group,ASD - CTRL,0,0.24072510990228282,0.11521501955152573,Inf,2.089355284053285,0.03667575327541907,0.037,*,TRUE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,Group,ASD - CTRL,0,0.24130031709598979,0.11420109588513437,Inf,2.1129422202628794,0.03460571360494092,0.035,*,TRUE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,Group,ASD - CTRL,0,0.3986739976629494,0.13389931689708384,Inf,2.9774162176598233,0.0029068908222257563,0.003,**,TRUE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,Group,ASD - CTRL,0,0.25305084485090107,0.1129521088767111,Inf,2.240337496727129,0.025069020685465352,0.025,*,TRUE
group_auci_session_add__id_session_slope_diag,group_auci_session_add__id_session_slope_diag,Group,ASD - CTRL,0,0.25147823612292275,0.1135217521144894,Inf,2.215242730479538,0.02674340838015493,0.027,*,TRUE
group_auci_med_add__id_medication_slope_diag,group_auci_med_add__id_medication_slope_diag,Group,ASD - CTRL,0,0.2731642134407116,0.11689901912875741,Inf,2.336753682593669,0.019451995450114258,0.019,*,TRUE
group_auci_med_add__id_session_slope_diag,group_auci_med_add__id_session_slope_diag,Group,ASD - CTRL,0,0.27270094107443144,0.11831230176431737,Inf,2.30492465287052,0.021170793641479366,0.021,*,TRUE
group_auci_med_session_add__id_medication_slope_diag,group_auci_med_session_add__id_medication_slope_diag,Group,ASD - CTRL,0,0.2911834066208141,0.11520392171329509,Inf,2.5275476936060772,0.011486222193811011,0.011,*,TRUE
group_auci_session_med__id_medication_slope_diag,group_auci_session_med__id_medication_slope_diag,Group,ASD - CTRL,0,0.2911834066208141,0.11520392171329509,Inf,2.5275476936060772,0.011486222193811011,0.011,*,TRUE
group_auci_med_session_add__id_session_slope_diag,group_auci_med_session_add__id_session_slope_diag,Group,ASD - CTRL,0,0.2903293375063517,0.11659936648839776,Inf,2.489973541453512,0.012775260541326484,0.013,*,TRUE
group_auci_session_med__id_session_slope_diag,group_auci_session_med__id_session_slope_diag,Group,ASD - CTRL,0,0.2903293375063517,0.11659936648839776,Inf,2.489973541453512,0.012775260541326484,0.013,*,TRUE
group_auci_med_interaction__id_session_slope_diag,group_auci_med_interaction__id_session_slope_diag,Group,ASD - CTRL,0,0.23590130217820804,0.11858684514368362,Inf,1.9892704110003303,0.04667136378792761,0.047,*,TRUE
group_auci_med_interaction__id_medication_slope_diag,group_auci_med_interaction__id_medication_slope_diag,Group,ASD - CTRL,0,0.24063098029136185,0.11740413353186176,Inf,2.0495954703848493,0.04040392281614279,0.040,*,TRUE
group_auci_by_medication__id_medication_slope_diag,group_auci_by_medication__id_medication_slope_diag,Group,ASD - CTRL,0,0.4075050940747549,0.13523648828793156,Inf,3.0132776977108215,0.002584423085640565,0.003,**,TRUE
group_auci_by_medication__id_session_slope_diag,group_auci_by_medication__id_session_slope_diag,Group,ASD - CTRL,0,0.3945515695403817,0.13715256497912878,Inf,2.876734894461672,0.00401813013720298,0.004,**,TRUE
group_auci__none,group_auci__none,Group,ASD - CTRL,0,0.3826544266646666,0.12251216204022826,Inf,3.1233995081975428,0.0017877490258061703,0.002,**,TRUE
group_auci_med_add__none,group_auci_med_add__none,Group,ASD - CTRL,0,0.41257648930216534,0.1252836115512525,Inf,3.293140133762696,9.90750810039152e-4,<0.001,***,TRUE
group_auci_session_add__none,group_auci_session_add__none,Group,ASD - CTRL,0,0.38200874487556064,0.12213869741609187,Inf,3.1276634920558,0.0017620179125684195,0.002,**,TRUE
group_auci_med_interaction__none,group_auci_med_interaction__none,Group,ASD - CTRL,0,0.4103153811004147,0.12600321020241684,Inf,3.256388312974462,0.0011283931387502534,0.001,**,TRUE
group_auci_med_session_add__none,group_auci_med_session_add__none,Group,ASD - CTRL,0,0.4168454010763875,0.12475595322065687,Inf,3.341286650578587,8.339107877275645e-4,<0.001,***,TRUE
group_auci_session_med__none,group_auci_session_med__none,Group,ASD - CTRL,0,0.4168454010763875,0.12475595322065687,Inf,3.341286650578587,8.339107877275645e-4,<0.001,***,TRUE
group_auci_by_medication__none,group_auci_by_medication__none,Group,ASD - CTRL,0,0.574913076845833,0.1398394678301351,Inf,4.111236160768201,3.9354641060016163e-5,<0.001,***,TRUE
