model_name,model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05,fixed_name,random_name,AIC,BIC,delta_AIC,delta_BIC,AIC_rank,singular
group_auci__id_intercept,group_auci__id_intercept,Group:AUCi_z,4.464525313571367,1,0.03460570373191239,0.035,*,TRUE,group_auci,id_intercept,-229.87316321086485,-209.37656079763832,0,0,1,FALSE
group_auci_session_add__id_intercept,group_auci_session_add__id_intercept,Group:AUCi_z,5.05007464339227,1,0.024624877484631078,0.025,*,TRUE,group_auci_session_add,id_intercept,-227.5797334225219,-196.83482980268212,2.2934297883429338,12.541730994956197,2,FALSE
group_auci_med_add__id_intercept,group_auci_med_add__id_intercept,Group:AUCi_z,5.463788950892764,1,0.019414504092706366,0.019,*,TRUE,group_auci_med_add,id_intercept,-226.9803589005052,-196.2354552806654,2.892804310359651,13.141105516972914,3,FALSE
group_auci_med_session_add__id_intercept,group_auci_med_session_add__id_intercept,Group:AUCi_z,6.411005538422367,1,0.011341517043510777,0.011,*,TRUE,group_auci_med_session_add,id_intercept,-225.82713847217607,-184.83393364572305,4.0460247386887715,24.54262715191527,4,FALSE
group_auci_session_med__id_intercept,group_auci_session_med__id_intercept,Group:AUCi_z,6.411005538422367,1,0.011341517043510777,0.011,*,TRUE,group_auci_session_med,id_intercept,-225.82713847217607,-184.83393364572305,4.0460247386887715,24.54262715191527,5,FALSE
group_auci_med_interaction__id_intercept,group_auci_med_interaction__id_intercept,Group:AUCi_z,4.206529002983986,1,0.0402686560398474,0.040,*,TRUE,group_auci_med_interaction,id_intercept,-224.48277597841084,-183.48957115195782,5.390387232454003,25.8869896456805,6,FALSE
group_auci__id_session_slope_diag,group_auci__id_session_slope_diag,Group:AUCi_z,4.365405503001383,1,0.03667575327541914,0.037,*,TRUE,group_auci,id_session_slope_diag,-223.87942385532017,-193.13452023548038,5.993739355544676,16.24204056215794,7,TRUE
group_auci__id_medication_slope_diag,group_auci__id_medication_slope_diag,Group:AUCi_z,4.464524826169426,1,0.034605713604940844,0.035,*,TRUE,group_auci,id_medication_slope_diag,-223.87316318112664,-193.12825956128685,6.000000029738203,16.248301236351466,8,TRUE
group_auci_by_medication__id_intercept,group_auci_by_medication__id_intercept,Group:AUCi_z,6.638919325743172,1,0.009977444039244778,0.010,**,TRUE,group_auci_by_medication,id_intercept,-222.30824351629133,-160.81843627661175,7.564919694573518,48.55812452102657,9,FALSE
group_auci_session_add__id_medication_slope_diag,group_auci_session_add__id_medication_slope_diag,Group:AUCi_z,5.019112099241579,1,0.02506902068546534,0.025,*,TRUE,group_auci_session_add,id_medication_slope_diag,-221.701674515518,-180.70846968906494,8.171488695346852,28.66809110857338,10,TRUE
