model,predictor,n_observations,n_participants,AIC,BIC
t2t3_raw_full,T2T3_z,225,69,-226.9017314239911,-185.90852659753807
t2t3_winsor_5_95,T2T3_winsor_z,225,69,-223.47157954526753,-182.4783747188145
t2t3_rank,T2T3_rank_z,225,69,-221.60159853556357,-180.60839370911054
t2t3_trim_2_5_97_5,T2T3_z,213,68,-219.89964922309105,-179.56414323457795
t2t3_trim_5_95,T2T3_z,201,68,-204.4188625509451,-164.7792036542362
auci_raw_full,AUCi_z,225,69,-225.82713847217607,-184.83393364572305
auci_winsor_5_95,AUCi_winsor_z,225,69,-227.85616993832429,-186.86296511187123
auci_rank,AUCi_rank_z,225,69,-225.71996407852524,-184.7267592520722
auci_trim_2_5_97_5,AUCi_z,213,69,-217.6391314328387,-177.30362544432558
auci_trim_5_95,AUCi_z,201,69,-200.77452446399462,-161.13486556728571
