model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
t2t3_raw_full,(Intercept),25.355829400305527,1,4.7670959241563244e-7,<0.001,***,TRUE
t2t3_raw_full,Group,1.222537757770765,1,0.26886319042499524,0.269,,FALSE
t2t3_raw_full,T2T3_z,3.548426978220104,1,0.05960192784526474,0.060,.,FALSE
t2t3_raw_full,medication,1.3639735892587064,3,0.7140008174556431,0.714,,FALSE
t2t3_raw_full,session,5.6433706994253034,3,0.13031054922263363,0.130,,FALSE
t2t3_raw_full,Group:T2T3_z,9.222837067755837,1,0.0023901488725642044,0.002,**,TRUE
t2t3_winsor_5_95,(Intercept),25.017489862305588,1,5.681262166834161e-7,<0.001,***,TRUE
t2t3_winsor_5_95,Group,1.2470251346016674,1,0.264121421973564,0.264,,FALSE
t2t3_winsor_5_95,T2T3_winsor_z,3.2919789283806655,1,0.06961906700622184,0.070,.,FALSE
t2t3_winsor_5_95,medication,1.8376179888694133,3,0.6067832532461737,0.607,,FALSE
t2t3_winsor_5_95,session,5.04575173203691,3,0.16847746969299918,0.168,,FALSE
t2t3_winsor_5_95,Group:T2T3_winsor_z,5.696258192141869,1,0.01700111994891678,0.017,*,TRUE
t2t3_rank,(Intercept),26.10297450691491,1,3.2368498669048885e-7,<0.001,***,TRUE
t2t3_rank,Group,1.2762367295736694,1,0.25859992609541094,0.259,,FALSE
t2t3_rank,T2T3_rank_z,1.2245060431596828,1,0.2684781485734256,0.268,,FALSE
t2t3_rank,medication,1.4235025401236459,3,0.7000349707503744,0.700,,FALSE
t2t3_rank,session,4.570001050057698,3,0.2061306981008574,0.206,,FALSE
t2t3_rank,Group:T2T3_rank_z,3.7458492268517083,1,0.05293881974917871,0.053,.,FALSE
t2t3_trim_2_5_97_5,(Intercept),23.382447212414522,1,1.3278466022879517e-6,<0.001,***,TRUE
t2t3_trim_2_5_97_5,Group,1.0634923605134587,1,0.3024200079095232,0.302,,FALSE
t2t3_trim_2_5_97_5,T2T3_z,1.1745128275622112,1,0.2784759125159133,0.278,,FALSE
t2t3_trim_2_5_97_5,medication,3.093336595886205,3,0.3774571847939382,0.377,,FALSE
t2t3_trim_2_5_97_5,session,6.331073030688757,3,0.09656800512877542,0.097,.,FALSE
t2t3_trim_2_5_97_5,Group:T2T3_z,1.1190331467781558,1,0.2901267377163121,0.290,,FALSE
t2t3_trim_5_95,(Intercept),26.27519723051345,1,2.960666438697405e-7,<0.001,***,TRUE
t2t3_trim_5_95,Group,1.4617854182981689,1,0.2266462555726227,0.227,,FALSE
t2t3_trim_5_95,T2T3_z,0.16349871138989208,1,0.6859555544075436,0.686,,FALSE
t2t3_trim_5_95,medication,4.36408347785351,3,0.22473887855454386,0.225,,FALSE
t2t3_trim_5_95,session,4.271889595662121,3,0.23356220863591712,0.234,,FALSE
t2t3_trim_5_95,Group:T2T3_z,0.0028750025251953856,1,0.9572386786219125,0.957,,FALSE
auci_raw_full,(Intercept),27.469772932454667,1,1.5956905596734625e-7,<0.001,***,TRUE
auci_raw_full,Group,1.506185436477144,1,0.21972207886602713,0.220,,FALSE
auci_raw_full,AUCi_z,6.617232283998969,1,0.010099666546645705,0.010,*,TRUE
auci_raw_full,medication,4.278975795198699,3,0.23287289769006467,0.233,,FALSE
auci_raw_full,session,4.8784767079476365,3,0.18091503997350383,0.181,,FALSE
auci_raw_full,Group:AUCi_z,6.411005538422367,1,0.011341517043510777,0.011,*,TRUE
auci_winsor_5_95,(Intercept),27.19179258746249,1,1.8423913538484383e-7,<0.001,***,TRUE
auci_winsor_5_95,Group,1.5325564015974722,1,0.21572917956007123,0.216,,FALSE
auci_winsor_5_95,AUCi_winsor_z,8.716829090081227,1,0.003152859343891262,0.003,**,TRUE
auci_winsor_5_95,medication,4.636954997837111,3,0.20039472306481793,0.200,,FALSE
auci_winsor_5_95,session,5.082455091098578,3,0.16585799306985594,0.166,,FALSE
auci_winsor_5_95,Group:AUCi_winsor_z,9.304924128178362,1,0.0022853877092901707,0.002,**,TRUE
auci_rank,(Intercept),27.374279485080123,1,1.676462582686354e-7,<0.001,***,TRUE
auci_rank,Group,1.571209673873684,1,0.2100314266861416,0.210,,FALSE
auci_rank,AUCi_rank_z,7.051411965725345,1,0.007920279501288844,0.008,**,TRUE
auci_rank,medication,3.8427871745628885,3,0.27894833791266105,0.279,,FALSE
auci_rank,session,5.2791764896819915,3,0.15245931845533894,0.152,,FALSE
auci_rank,Group:AUCi_rank_z,7.175406187546965,1,0.0073909712121090956,0.007,**,TRUE
auci_trim_2_5_97_5,(Intercept),28.442930488140814,1,9.650150044689608e-8,<0.001,***,TRUE
auci_trim_2_5_97_5,Group,2.110721404745702,1,0.1462703489421368,0.146,,FALSE
auci_trim_2_5_97_5,AUCi_z,8.428160744129748,1,0.003694538617943305,0.004,**,TRUE
auci_trim_2_5_97_5,medication,4.7185353596301285,3,0.19360627699593524,0.194,,FALSE
auci_trim_2_5_97_5,session,5.090738920121864,3,0.16527210516996738,0.165,,FALSE
auci_trim_2_5_97_5,Group:AUCi_z,11.411671570146726,1,7.298413465156562e-4,<0.001,***,TRUE
auci_trim_5_95,(Intercept),27.254692952678937,1,1.783417360913444e-7,<0.001,***,TRUE
auci_trim_5_95,Group,2.185476786073995,1,0.13931791553153183,0.139,,FALSE
auci_trim_5_95,AUCi_z,9.362601998761047,1,0.0022145753940957303,0.002,**,TRUE
auci_trim_5_95,medication,4.205243761022547,3,0.24013740944161321,0.240,,FALSE
auci_trim_5_95,session,5.9649637129469815,3,0.11332731466061337,0.113,,FALSE
auci_trim_5_95,Group:AUCi_z,12.177219736839293,1,4.8376696176084306e-4,<0.001,***,TRUE
