model,predictor,Group,T2T3_z.trend,std.error,df,statistic,p.value,p_display,sig,significant_0_05,T2T3_winsor_z.trend,T2T3_rank_z.trend,AUCi_z.trend,AUCi_winsor_z.trend,AUCi_rank_z.trend
t2t3_raw_full,T2T3_z,ASD,0.12329632550589054,0.06545339797993877,Inf,1.8837268852517088,0.059601927845264774,0.060,.,FALSE,NA,NA,NA,NA,NA
t2t3_raw_full,T2T3_z,CTRL,-0.15418163048281458,0.07007896640599316,Inf,-2.200112792611464,0.027798893475887196,0.028,*,TRUE,NA,NA,NA,NA,NA
t2t3_winsor_5_95,T2T3_winsor_z,ASD,NA,0.06829660490524611,Inf,1.8143811419822091,0.06961906700622209,0.070,.,FALSE,0.12391607200148819,NA,NA,NA,NA
t2t3_winsor_5_95,T2T3_winsor_z,CTRL,NA,0.07308678065017425,Inf,-1.394275177180339,0.16323452381202183,0.163,,FALSE,-0.10190308404056228,NA,NA,NA,NA
t2t3_rank,T2T3_rank_z,ASD,NA,0.07600036225216827,Inf,1.1065740116050453,0.26847814857342545,0.268,,FALSE,NA,0.0841000257408185,NA,NA,NA
t2t3_rank,T2T3_rank_z,CTRL,NA,0.07128285609755122,Inf,-1.5354705795808308,0.12466827841824928,0.125,,FALSE,NA,-0.10945272836628393,NA,NA,NA
t2t3_trim_2_5_97_5,T2T3_z,ASD,0.1200489190309023,0.11077184050141947,Inf,1.0837494302476987,0.27847591251591325,0.278,,FALSE,NA,NA,NA,NA,NA
t2t3_trim_2_5_97_5,T2T3_z,CTRL,-0.0359559123381948,0.10662870119433919,Inf,-0.3372066989042877,0.7359610877408097,0.736,,FALSE,NA,NA,NA,NA,NA
t2t3_trim_5_95,T2T3_z,ASD,0.06428458071970335,0.15898261956702772,Inf,0.4043497389511858,0.6859555544075436,0.686,,FALSE,NA,NA,NA,NA,NA
t2t3_trim_5_95,T2T3_z,CTRL,0.05368507860525453,0.1292703218028514,Inf,0.4152931458399941,0.6779273182077324,0.678,,FALSE,NA,NA,NA,NA,NA
auci_raw_full,AUCi_z,ASD,NA,0.08450148634263034,Inf,2.572398158139398,0.01009966654664571,0.010,*,TRUE,NA,NA,0.2173714678278238,NA,NA
auci_raw_full,AUCi_z,CTRL,NA,0.0794871494477254,Inf,-0.930818339014387,0.3519475416250968,0.352,,FALSE,NA,NA,-0.07398809642192011,NA,NA
auci_winsor_5_95,AUCi_winsor_z,ASD,NA,0.09263590880747988,Inf,2.952427660431535,0.0031528593438912627,0.003,**,TRUE,NA,NA,NA,0.27350081951241684,NA
auci_winsor_5_95,AUCi_winsor_z,CTRL,NA,0.07185640932150428,Inf,-1.1093599895646902,0.2672749153962103,0.267,,FALSE,NA,NA,NA,-0.07971462549506009,NA
auci_rank,AUCi_rank_z,ASD,NA,0.08974599257616415,Inf,2.6554494846871677,0.007920279501288851,0.008,**,TRUE,NA,NA,NA,NA,0.2383159497391135
auci_rank,AUCi_rank_z,CTRL,NA,0.07421190119424996,Inf,-0.9310400528221452,0.35183284604841736,0.352,,FALSE,NA,NA,NA,NA,-0.0690942524079263
auci_trim_2_5_97_5,AUCi_z,ASD,NA,0.12022717519659665,Inf,2.9031294742277254,0.0036945386179432988,0.004,**,TRUE,NA,NA,0.34903505591638023,NA,NA
auci_trim_2_5_97_5,AUCi_z,CTRL,NA,0.09469857497687881,Inf,-1.736567170306924,0.08246359850788601,0.082,.,FALSE,NA,NA,-0.16445043637969653,NA,NA
auci_trim_5_95,AUCi_z,ASD,NA,0.15137505334487342,Inf,3.059836923556719,0.0022145753940957325,0.002,**,TRUE,NA,NA,0.4631829775300117,NA,NA
auci_trim_5_95,AUCi_z,CTRL,NA,0.11981536863164235,Inf,-1.6419689767254018,0.10059643353857307,0.101,,FALSE,NA,NA,-0.1967331182280746,NA,NA
