model,predictor,n_observations,n_participants,interaction_chisq,interaction_df,interaction_p,interaction_p_display,interaction_sig
t2t3_raw_full,T2T3_z,225,69,9.222837067755837,1,0.0023901488725642044,0.002,**
t2t3_winsor_5_95,T2T3_winsor_z,225,69,5.696258192141869,1,0.01700111994891678,0.017,*
t2t3_rank,T2T3_rank_z,225,69,3.7458492268517083,1,0.05293881974917871,0.053,.
t2t3_trim_2_5_97_5,T2T3_z,213,68,1.1190331467781558,1,0.2901267377163121,0.290,
t2t3_trim_5_95,T2T3_z,201,68,0.0028750025251953856,1,0.9572386786219125,0.957,
auci_raw_full,AUCi_z,225,69,6.411005538422367,1,0.011341517043510777,0.011,*
auci_winsor_5_95,AUCi_winsor_z,225,69,9.304924128178362,1,0.0022853877092901707,0.002,**
auci_rank,AUCi_rank_z,225,69,7.175406187546965,1,0.0073909712121090956,0.007,**
auci_trim_2_5_97_5,AUCi_z,213,69,11.411671570146726,1,7.298413465156562e-4,<0.001,***
auci_trim_5_95,AUCi_z,201,69,12.177219736839293,1,4.8376696176084306e-4,<0.001,***
