model,term,estimate,std.error,statistic,p.value,p_display,sig
linear_full,(Intercept),-1.158756520486841,0.24001581918471787,-4.827833950374137,2.617799623384972e-6,<0.001,***
linear_full,GroupCTRL,0.32947584629352034,0.17218218560223314,1.9135303988686687,0.05700841579995852,0.057,.
linear_full,AUCi_z,0.38911745534747066,0.11459020772442532,3.3957304299792175,8.15148536838847e-4,<0.001,***
linear_full,medicationOXT,-0.06755224203142586,0.23989940660580394,-0.2815856987192379,0.7785320414362903,0.779,
linear_full,medicationNAL,-0.21082450423705398,0.2505003607958508,-0.8416135751950821,0.400939413617062,0.401,
linear_full,medicationBOTH,-0.22437874821123727,0.24508199939817832,-0.9155252069193992,0.36094166836162034,0.361,
linear_full,sessionsession_2,-0.21601062387976122,0.23907153249529933,-0.9035397130940651,0.3672507546684832,0.367,
linear_full,sessionsession_3,0.024385616332495478,0.23981778576159193,0.10168393580590286,0.9191023211106493,0.919,
linear_full,sessionsession_4,0.013883744473355707,0.23819685649694902,0.05828685011858475,0.9535742786213506,0.954,
linear_full,GroupCTRL:AUCi_z,-0.5081112821550998,0.1760685892777153,-2.8858712632362225,0.004301181870193102,0.004,**
linear_drop_cook_gt_4_over_n,(Intercept),-0.9750849898296716,0.206495917493395,-4.722054564884368,4.349102379502253e-6,<0.001,***
linear_drop_cook_gt_4_over_n,GroupCTRL,0.24713962369639642,0.14808067524822716,1.668952571171877,0.09666827391430213,0.097,.
linear_drop_cook_gt_4_over_n,AUCi_z,0.34803087242983793,0.10945949197886745,3.179540359067533,0.0017060582583402705,0.002,**
linear_drop_cook_gt_4_over_n,medicationOXT,-0.08389779570421621,0.20462424115606237,-0.4100090743414375,0.6822316530280795,0.682,
linear_drop_cook_gt_4_over_n,medicationNAL,-0.24379318500343133,0.21347560585383007,-1.1420189394865106,0.2547913933334186,0.255,
linear_drop_cook_gt_4_over_n,medicationBOTH,-0.2849351121941599,0.21189057380896864,-1.3447276444257734,0.18021374634114684,0.180,
linear_drop_cook_gt_4_over_n,sessionsession_2,-0.1925374640062235,0.20342287405724116,-0.9464887609052529,0.34502462212815266,0.345,
linear_drop_cook_gt_4_over_n,sessionsession_3,0.008815681501334485,0.2029240637711119,0.043443253291428896,0.9653909008643894,0.965,
linear_drop_cook_gt_4_over_n,sessionsession_4,0.08419698062183223,0.20442272434538036,0.4118768150236471,0.6808642835705051,0.681,
linear_drop_cook_gt_4_over_n,GroupCTRL:AUCi_z,-0.47754708781137534,0.16412893505103893,-2.9095850019551595,0.004022591915790342,0.004,**
robust_rlm,(Intercept),-0.9874428972457887,0.21952699529770295,-4.498047704368689,NA,NA,NA
robust_rlm,GroupCTRL,0.22843006826744655,0.15748394408936664,1.4504975068304136,NA,NA,NA
robust_rlm,AUCi_z,0.3562990065604297,0.10480827504508258,3.39953125272952,NA,NA,NA
robust_rlm,medicationOXT,-0.05590533923149055,0.2194205202172243,-0.2547862851484664,NA,NA,NA
robust_rlm,medicationNAL,-0.28170604352098133,0.22911652954083706,-1.2295317325447306,NA,NA,NA
robust_rlm,medicationBOTH,-0.24786546978614662,0.2241607037077378,-1.1057489813616719,NA,NA,NA
robust_rlm,sessionsession_2,-0.1518244068790842,0.21866331714377205,-0.6943295695969846,NA,NA,NA
robust_rlm,sessionsession_3,0.08655632491435888,0.21934586689335428,0.39461115060099344,NA,NA,NA
robust_rlm,sessionsession_4,0.035885543724041895,0.2178633074009597,0.1647158677252497,NA,NA,NA
robust_rlm,GroupCTRL:AUCi_z,-0.46399662165914723,0.16103858696370127,-2.8812760370515043,NA,NA,NA
linear_rank_auci,(Intercept),-1.1670095971110468,0.2399258057841501,-4.864043670904455,2.2209487105953185e-6,<0.001,***
linear_rank_auci,GroupCTRL,0.3339198402463567,0.17243624295555604,1.9364829256481866,0.054119305138643464,0.054,.
linear_rank_auci,AUCi_rank_z,0.40279508138574494,0.1199451377754168,3.358160979730012,9.279808962465719e-4,<0.001,***
linear_rank_auci,medicationOXT,-0.06647315835928704,0.23987847165539397,-0.2771118137470103,0.7819604974287953,0.782,
linear_rank_auci,medicationNAL,-0.1939420918968685,0.2506676079120152,-0.7737022486165924,0.439956768902255,0.440,
linear_rank_auci,medicationBOTH,-0.1966691982814443,0.24435333005101062,-0.8048558136710807,0.4217920245575817,0.422,
linear_rank_auci,sessionsession_2,-0.2276342241837421,0.23894526301111357,-0.9526626362672636,0.34183081415796446,0.342,
linear_rank_auci,sessionsession_3,0.013518944787654764,0.23984484981611134,0.056365374524488296,0.9551030866488694,0.955,
linear_rank_auci,sessionsession_4,-0.0041641662506921905,0.2386971000138782,-0.0174453994223226,0.9860974695157447,0.986,
linear_rank_auci,GroupCTRL:AUCi_rank_z,-0.5273851326461328,0.17384906808445352,-3.0335804411096197,0.0027142409444089236,0.003,**
