model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
main,medication,14.0631751038493,3,0.002820409682952598,0.003,**,TRUE
main,Group:medication,1.5998646823053475,3,0.6594205024824491,0.659,,FALSE
medication_type_adjusted,medication,14.319410764255633,3,0.002501098469892738,0.003,**,TRUE
medication_type_adjusted,asd_med_ssri,0.15369856102393248,1,0.6950256440303827,0.695,,FALSE
medication_type_adjusted,asd_med_other,2.0649929169408487,1,0.15071562897358015,0.151,,FALSE
medication_type_adjusted,Group:medication,1.4186525865682056,3,0.7011683450718531,0.701,,FALSE
medication_type_moderation,medication,4.207651741154228,3,0.23989691657260326,0.240,,FALSE
medication_type_moderation,asd_med_ssri,1.1495868753356486,1,0.28363564776665806,0.284,,FALSE
medication_type_moderation,asd_med_other,1.785137265162184,1,0.1815197631072676,0.182,,FALSE
medication_type_moderation,Group:medication,0.9665472647323555,3,0.8093457717937647,0.809,,FALSE
medication_type_moderation,medication:asd_med_ssri,2.1907557455014155,3,0.5337714956238258,0.534,,FALSE
medication_type_moderation,medication:asd_med_other,2.302549115011112,3,0.5120327401189144,0.512,,FALSE
disorder_type_adjusted,medication,14.226040359110923,3,0.0026130740984275803,0.003,**,TRUE
disorder_type_adjusted,asd_dis_adhd,0.48082974995861716,1,0.4880467142090908,0.488,,FALSE
disorder_type_adjusted,asd_dis_dep,0.25453142706494286,1,0.6139022799777062,0.614,,FALSE
disorder_type_adjusted,asd_dis_other,2.26632800513008,1,0.13221283395119934,0.132,,FALSE
disorder_type_adjusted,Group:medication,1.8898784999745994,3,0.5955742991074436,0.596,,FALSE
disorder_type_moderation,medication,9.296483768460494,3,0.025597963637745302,0.026,*,TRUE
disorder_type_moderation,asd_dis_adhd,3.924422842442325,1,0.047589523177758344,0.048,*,TRUE
disorder_type_moderation,asd_dis_dep,0.5440218055585258,1,0.46077072253406814,0.461,,FALSE
disorder_type_moderation,asd_dis_other,0.06383158666099836,1,0.8005393552935909,0.801,,FALSE
disorder_type_moderation,Group:medication,0.26773399214299975,3,0.965978040209652,0.966,,FALSE
disorder_type_moderation,medication:asd_dis_adhd,5.0406493656902125,3,0.1688446824873093,0.169,,FALSE
disorder_type_moderation,medication:asd_dis_dep,3.7247961631261317,3,0.2927556126403481,0.293,,FALSE
disorder_type_moderation,medication:asd_dis_other,2.622853182555696,3,0.45349716759609043,0.453,,FALSE
medication_and_disorder_type_adjusted,medication,14.805823829137976,3,0.0019903339463619688,0.002,**,TRUE
medication_and_disorder_type_adjusted,asd_med_ssri,0.2222248175162423,1,0.6373499228545514,0.637,,FALSE
medication_and_disorder_type_adjusted,asd_med_other,4.846418958477634,1,0.02770359065145249,0.028,*,TRUE
medication_and_disorder_type_adjusted,asd_dis_adhd,1.848176952958056,1,0.17399557447404018,0.174,,FALSE
medication_and_disorder_type_adjusted,asd_dis_dep,0.05065446346349361,1,0.8219283468171034,0.822,,FALSE
medication_and_disorder_type_adjusted,asd_dis_other,4.503148635348716,1,0.033832502176442535,0.034,*,TRUE
medication_and_disorder_type_adjusted,Group:medication,1.6855041537133684,3,0.640161348567974,0.640,,FALSE
medication_and_disorder_type_moderation,medication,6.770804354677558,3,0.07957312940887457,0.080,.,FALSE
medication_and_disorder_type_moderation,asd_med_ssri,3.0811343961641637,1,0.07920526454895316,0.079,.,FALSE
medication_and_disorder_type_moderation,asd_med_other,5.489103855775319,1,0.019135348735920387,0.019,*,TRUE
medication_and_disorder_type_moderation,asd_dis_adhd,8.446444115151946,1,0.003657578825740363,0.004,**,TRUE
medication_and_disorder_type_moderation,asd_dis_dep,0.13914177195924973,1,0.7091357020090977,0.709,,FALSE
medication_and_disorder_type_moderation,asd_dis_other,1.8869875238135412,1,0.16954209072721477,0.170,,FALSE
medication_and_disorder_type_moderation,Group:medication,0.1848831199708254,3,0.9799919774465554,0.980,,FALSE
medication_and_disorder_type_moderation,medication:asd_med_ssri,2.8640431679544247,3,0.41306548979489033,0.413,,FALSE
medication_and_disorder_type_moderation,medication:asd_med_other,3.127297461931523,3,0.3724117835080572,0.372,,FALSE
medication_and_disorder_type_moderation,medication:asd_dis_adhd,7.298303241940061,3,0.06297378919975535,0.063,.,FALSE
medication_and_disorder_type_moderation,medication:asd_dis_dep,2.515902126698938,3,0.4724240667916672,0.472,,FALSE
medication_and_disorder_type_moderation,medication:asd_dis_other,2.1422335066087452,3,0.5434160002105572,0.543,,FALSE
