predictor,group,medication,mean_t2t3,sem,n_observations,n_participants,lower,upper,n_participants_total,group_label
Comorbidity type,ADHD only,BOTH,-1.226666666666667,1.5115547551371662,6,6,-2.738221421803833,0.2848880884704992,7,ADHD only (N = 7)
Comorbidity type,ADHD only,NAL,2.986,2.4351850032389737,5,5,0.5508149967610265,5.421185003238974,7,ADHD only (N = 7)
Comorbidity type,ADHD only,OXT,-0.7242857142857144,0.8240372655201865,7,7,-1.548322979805901,0.0997515512344721,7,ADHD only (N = 7)
Comorbidity type,ADHD only,PLA,-1.4900000000000002,0.94611310106139,5,5,-2.43611310106139,-0.5438868989386102,7,ADHD only (N = 7)
Comorbidity type,Depression only,BOTH,2.408,1.7180378342749032,5,5,0.6899621657250967,4.126037834274904,6,Depression only (N = 6)
Comorbidity type,Depression only,NAL,0.12166666666666644,1.0074503020551988,6,6,-0.8857836353885323,1.1291169687218652,6,Depression only (N = 6)
Comorbidity type,Depression only,OXT,0.9180000000000001,1.5776482497692572,5,5,-0.6596482497692571,2.4956482497692574,6,Depression only (N = 6)
Comorbidity type,Depression only,PLA,-0.6283333333333332,0.35728995383457274,6,6,-0.9856232871679059,-0.27104337949876045,6,Depression only (N = 6)
Comorbidity type,No disorder record,BOTH,1.379,1.141271659159203,10,10,0.23772834084079708,2.520271659159203,11,No disorder record (N = 11)
Comorbidity type,No disorder record,NAL,1.574,1.0087860691610155,10,10,0.5652139308389845,2.5827860691610156,11,No disorder record (N = 11)
Comorbidity type,No disorder record,OXT,-1.139090909090909,0.360951909527759,11,11,-1.500042818618668,-0.7781389995631499,11,No disorder record (N = 11)
Comorbidity type,No disorder record,PLA,-0.6454545454545455,0.2992547216498882,11,11,-0.9447092671044337,-0.3461998238046573,11,No disorder record (N = 11)
Comorbidity type,Other/multiple disorder,BOTH,1.07375,0.912334011321668,8,8,0.16141598867833196,1.986084011321668,8,Other/multiple disorder (N = 8)
Comorbidity type,Other/multiple disorder,NAL,-1.306,0.4816907721765074,5,5,-1.7876907721765074,-0.8243092278234927,8,Other/multiple disorder (N = 8)
Comorbidity type,Other/multiple disorder,OXT,-1.3014285714285716,0.7866124736320097,7,7,-2.0880410450605815,-0.5148160977965619,8,Other/multiple disorder (N = 8)
Comorbidity type,Other/multiple disorder,PLA,-1.7914285714285714,0.6082505301954066,7,7,-2.399679101623978,-1.1831780412331647,8,Other/multiple disorder (N = 8)
Prescribed medication type,No medication record,BOTH,0.09249999999999997,0.5499037450207799,12,12,-0.4574037450207799,0.6424037450207798,14,No medication record (N = 14)
Prescribed medication type,No medication record,NAL,0.6430769230769231,0.8268633848461372,13,13,-0.1837864617692141,1.4699403079230602,14,No medication record (N = 14)
Prescribed medication type,No medication record,OXT,-1.2438461538461538,0.45992270596646,13,13,-1.7037688598126137,-0.7839234478796938,14,No medication record (N = 14)
Prescribed medication type,No medication record,PLA,-0.8157142857142857,0.25048022949709386,14,14,-1.0661945152113796,-0.5652340562171918,14,No medication record (N = 14)
Prescribed medication type,Other/multiple medication,BOTH,1.5463636363636364,1.3336036433985738,11,11,0.21275999296506254,2.8799672797622105,12,Other/multiple medication (N = 12)
Prescribed medication type,Other/multiple medication,NAL,2.2750000000000004,1.6158489586415117,8,8,0.6591510413584887,3.890848958641512,12,Other/multiple medication (N = 12)
Prescribed medication type,Other/multiple medication,OXT,-0.4175,0.8367470609087276,12,12,-1.2542470609087277,0.41924706090872765,12,Other/multiple medication (N = 12)
Prescribed medication type,Other/multiple medication,PLA,-1.31,0.6439806760385837,10,10,-1.9539806760385838,-0.6660193239614164,12,Other/multiple medication (N = 12)
Prescribed medication type,SSRI/SNRI only,BOTH,1.4900000000000002,1.657272860253656,6,6,-0.16727286025365573,3.147272860253656,6,SSRI/SNRI only (N = 6)
Prescribed medication type,SSRI/SNRI only,NAL,-0.3380000000000001,1.0730489271230832,5,5,-1.4110489271230833,0.7350489271230831,6,SSRI/SNRI only (N = 6)
Prescribed medication type,SSRI/SNRI only,OXT,-0.188,0.4916238399426943,5,5,-0.6796238399426944,0.3036238399426943,6,SSRI/SNRI only (N = 6)
Prescribed medication type,SSRI/SNRI only,PLA,-1.268,0.4679786319908208,5,5,-1.7359786319908208,-0.8000213680091792,6,SSRI/SNRI only (N = 6)
