fix,medication,term,contrast,null.value,estimate,std.error,df,statistic,p.value
Eyes,NAL/OXT,Group,ASD - CTRL,0,-0.10245831460713554,0.21778531266386197,Inf,-0.4704555755110702,0.6380295662003025
Mouth,NAL/OXT,Group,ASD - CTRL,0,-0.17402074499064912,0.24388943464174062,Inf,-0.7135230980639873,0.4755221252966373
Face,NAL/OXT,Group,ASD - CTRL,0,-0.26103284471941346,0.2312118129206937,Inf,-1.1289771116017695,0.2589074892115933
Background,NAL/OXT,Group,ASD - CTRL,0,0.38600720029620406,0.20932045324034515,Inf,1.8440969065406347,0.06516901868151057
Eyes,NAL/PLA,Group,ASD - CTRL,0,0.01464744324213925,0.22560608820758288,Inf,0.06492485800587952,0.9482338285187939
Mouth,NAL/PLA,Group,ASD - CTRL,0,-0.03553992131835643,0.24718826658631318,Inf,-0.14377673264659832,0.8856767766132252
Face,NAL/PLA,Group,ASD - CTRL,0,-0.1316587939249635,0.23738988144730572,Inf,-0.55460996535435,0.5791614712810111
Background,NAL/PLA,Group,ASD - CTRL,0,0.10834388940616138,0.21494098572551038,Inf,0.5040634248533761,0.6142168078981761
Eyes,PLA/OXT,Group,ASD - CTRL,0,-0.20837115883195456,0.21576996924320638,Inf,-0.965709730426331,0.33418944911949955
Mouth,PLA/OXT,Group,ASD - CTRL,0,0.20920703190326848,0.24096729551407367,Inf,0.8681967876883515,0.38528661249373075
Face,PLA/OXT,Group,ASD - CTRL,0,-0.24257556183207296,0.2256316860130712,Inf,-1.0750952852340967,0.28233207011874917
Background,PLA/OXT,Group,ASD - CTRL,0,0.18095191545642844,0.20860546809844024,Inf,0.8674361084870403,0.3857031046661561
Eyes,PLA/PLA,Group,ASD - CTRL,0,-0.49760537550499073,0.22545067469500638,Inf,-2.207158511182812,0.02730298717642326
Mouth,PLA/PLA,Group,ASD - CTRL,0,-0.011028707152852618,0.25255660871361607,Inf,-0.04366825801560594,0.9651688415038167
Face,PLA/PLA,Group,ASD - CTRL,0,-0.03888512783160425,0.23797291613215776,Inf,-0.16340148477236574,0.8702023339166686
Background,PLA/PLA,Group,ASD - CTRL,0,0.40135350152230787,0.21629555110860457,Inf,1.8555790882669774,0.06351357664959847
