fix,medication,Sex,term,contrast,null.value,estimate,std.error,df,statistic,p.value
Eyes,NAL/OXT,f,Group,ASD - CTRL,0,-0.3813816225939174,0.2414594204220738,Inf,-1.5794853724375633,0.11422476905027136
Mouth,NAL/OXT,f,Group,ASD - CTRL,0,-0.12749052898300905,0.27204694333659357,Inf,-0.46863430046067367,0.6393310554014247
Face,NAL/OXT,f,Group,ASD - CTRL,0,-0.5239221405888113,0.2599976310940988,Inf,-2.0151035160747,0.043893803916735134
Background,NAL/OXT,f,Group,ASD - CTRL,0,0.7245595721558148,0.23283585377715835,Inf,3.1118900306877717,0.0018589373221009524
Eyes,NAL/PLA,f,Group,ASD - CTRL,0,-0.2642758647446425,0.25381684935778925,Inf,-1.0412069388352931,0.29777951602093333
Mouth,NAL/PLA,f,Group,ASD - CTRL,0,0.010990294689283635,0.27689510010643814,Inf,0.03969118516383634,0.9683393293609217
Face,NAL/PLA,f,Group,ASD - CTRL,0,-0.39454808979436123,0.2695143974621826,Inf,-1.4639221262742483,0.14321522704028994
Background,NAL/PLA,f,Group,ASD - CTRL,0,0.4468962612657721,0.23927391467587858,Inf,1.867718267037757,0.06180135108503856
Eyes,PLA/OXT,f,Group,ASD - CTRL,0,-0.48729446681873645,0.24616174279953978,Inf,-1.9795702665932193,0.047751836776569564
Mouth,PLA/OXT,f,Group,ASD - CTRL,0,0.25573724791090846,0.2737632333751455,Inf,0.9341548342996975,0.35022402990006574
Face,PLA/OXT,f,Group,ASD - CTRL,0,-0.5054648577014708,0.2570266516194288,Inf,-1.9665853891677216,0.049231029259800226
Background,PLA/OXT,f,Group,ASD - CTRL,0,0.5195042873160391,0.23319118612265372,Inf,2.2278041291097113,0.02589357939608676
Eyes,PLA/PLA,f,Group,ASD - CTRL,0,-0.7765286834917726,0.2538736333819069,Inf,-3.0587212746257344,0.0022228385475870703
Mouth,PLA/PLA,f,Group,ASD - CTRL,0,0.035501508854787464,0.28102380790066334,Inf,0.12632918584370112,0.899471354362502
Face,PLA/PLA,f,Group,ASD - CTRL,0,-0.301774423701002,0.2659333663971527,Inf,-1.1347745782690661,0.2564697803243741
Background,PLA/PLA,f,Group,ASD - CTRL,0,0.7399058733819186,0.23863692973113,Inf,3.1005505904537225,0.0019316121361402064
Eyes,NAL/OXT,m,Group,ASD - CTRL,0,0.17646499337964625,0.2471052761052623,Inf,0.7141287962806403,0.47514754103769985
Mouth,NAL/OXT,m,Group,ASD - CTRL,0,-0.22055096099828916,0.2745506289955202,Inf,-0.8033161745256386,0.42179201152742846
Face,NAL/OXT,m,Group,ASD - CTRL,0,0.0018564511499842284,0.25799317154434914,Inf,0.007195737541701191,0.9942586816582045
Background,NAL/OXT,m,Group,ASD - CTRL,0,0.04745482843659324,0.23684745944436433,Inf,0.20036030172297634,0.841198804567677
Eyes,NAL/PLA,m,Group,ASD - CTRL,0,0.29357075122892107,0.2487488802390277,Inf,1.1801892372211813,0.23792495870529912
Mouth,NAL/PLA,m,Group,ASD - CTRL,0,-0.0820701373259965,0.2756023519744014,Inf,-0.297784604296916,0.7658675657716183
Face,NAL/PLA,m,Group,ASD - CTRL,0,0.1312305019444342,0.25944429278293196,Inf,0.5058137935384465,0.6129873743963785
Background,NAL/PLA,m,Group,ASD - CTRL,0,-0.23020848245344935,0.24047119994895336,Inf,-0.9573224673154933,0.33840451862215254
Eyes,PLA/OXT,m,Group,ASD - CTRL,0,0.07055214915482719,0.2387897401517727,Inf,0.29545720477766274,0.7676446394652816
Mouth,PLA/OXT,m,Group,ASD - CTRL,0,0.16267681589562838,0.2675960419505551,Inf,0.607919364987046,0.5432409553053885
Face,PLA/OXT,m,Group,ASD - CTRL,0,0.020313734037324616,0.2509941347789115,Inf,0.08093310250145085,0.935495154316819
Background,PLA/OXT,m,Group,ASD - CTRL,0,-0.1576004564031824,0.23523074398502775,Inf,-0.6699823914735122,0.5028690152395254
Eyes,PLA/PLA,m,Group,ASD - CTRL,0,-0.21868206751820893,0.24840888889040544,Inf,-0.8803310883721573,0.3786799758601042
Mouth,PLA/PLA,m,Group,ASD - CTRL,0,-0.05755892316049266,0.2811027840554769,Inf,-0.20476112804750146,0.837758758798778
Face,PLA/PLA,m,Group,ASD - CTRL,0,0.2240041680377934,0.2641649146489196,Inf,0.8479709288248948,0.3964541610938287
Background,PLA/PLA,m,Group,ASD - CTRL,0,0.06280112966269705,0.2435140574733843,Inf,0.2578952948930314,0.7964877162004257
