model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
aq_complete_main,(Intercept),134.6563094707328,1,3.925664822027458e-31,<0.001,***,TRUE
aq_complete_main,Group,0.2277110262764028,1,0.6332262865775495,0.633,,FALSE
aq_complete_main,fix,94.28537165591054,3,2.6295954321929803e-20,<0.001,***,TRUE
aq_complete_main,medication,0.47118069742714913,3,0.9251757027499987,0.925,,FALSE
aq_complete_main,Sex,1.0025150943337058,1,0.31670269302078713,0.317,,FALSE
aq_complete_main,session,0.07235359348391088,3,0.9949347411573345,0.995,,FALSE
aq_complete_main,Group:fix,14.168894045225315,3,0.0026840442140656316,0.003,**,TRUE
aq_complete_main,Group:medication,0.00915034704000715,3,0.9997678421979967,1.000,,FALSE
aq_complete_main,fix:medication,3.0960437408915564,9,0.9603649881640751,0.960,,FALSE
aq_complete_main,Group:Sex,0.3959332439827755,1,0.5291970082026977,0.529,,FALSE
aq_complete_main,fix:Sex,60.4029474395653,3,4.821199541196823e-13,<0.001,***,TRUE
aq_complete_main,Group:fix:medication,5.385973999521562,9,0.7994481985774552,0.799,,FALSE
aq_complete_main,Group:fix:Sex,22.411598105223725,3,5.3552698170859e-5,<0.001,***,TRUE
aq_adjusted,(Intercept),102.05446033331017,1,5.401614575851617e-24,<0.001,***,TRUE
aq_adjusted,Group,0.08406001294553411,1,0.7718689879556597,0.772,,FALSE
aq_adjusted,fix,50.40848341520111,3,6.538850789397907e-11,<0.001,***,TRUE
aq_adjusted,medication,0.48144699215589754,3,0.9229481062225836,0.923,,FALSE
aq_adjusted,Sex,0.830444554349871,1,0.36214401298418236,0.362,,FALSE
aq_adjusted,AQ_z,0.012638631271947464,1,0.910489076230277,0.910,,FALSE
aq_adjusted,session,0.07817245152068325,3,0.9943214530684461,0.994,,FALSE
aq_adjusted,Group:fix,2.825500613119127,3,0.41931924801569675,0.419,,FALSE
aq_adjusted,Group:medication,0.006944107709156306,3,0.9998464184937033,1.000,,FALSE
aq_adjusted,fix:medication,3.1520333363989224,9,0.9579608436270904,0.958,,FALSE
aq_adjusted,Group:Sex,0.3090109420678352,1,0.578287745858566,0.578,,FALSE
aq_adjusted,fix:Sex,47.96405314257386,3,2.1673209601324583e-10,<0.001,***,TRUE
aq_adjusted,fix:AQ_z,4.845991588196667,3,0.1834280507481997,0.183,,FALSE
aq_adjusted,Group:fix:medication,5.3209579179088635,9,0.8054802678851165,0.805,,FALSE
aq_adjusted,Group:fix:Sex,16.608356309900973,3,8.506678397423036e-4,<0.001,***,TRUE
aq_adjusted_by_sex,(Intercept),57.27946361536076,1,3.780824984723309e-14,<0.001,***,TRUE
aq_adjusted_by_sex,Group,0.516889353563909,1,0.4721716199348557,0.472,,FALSE
aq_adjusted_by_sex,fix,33.10613814661925,3,3.058845128515917e-7,<0.001,***,TRUE
aq_adjusted_by_sex,medication,0.5008545538127516,3,0.9187036298349291,0.919,,FALSE
aq_adjusted_by_sex,Sex,0.24150677911578444,1,0.6231199514131277,0.623,,FALSE
aq_adjusted_by_sex,AQ_z,1.5443768045213098,1,0.21396750052196892,0.214,,FALSE
aq_adjusted_by_sex,session,0.05700522652247764,3,0.9964414275621788,0.996,,FALSE
aq_adjusted_by_sex,Group:fix,6.868347335513705,3,0.07621449923578799,0.076,.,FALSE
aq_adjusted_by_sex,Group:medication,0.005093794393832485,3,0.9999034577629464,1.000,,FALSE
aq_adjusted_by_sex,fix:medication,3.118047287461542,9,0.9594301336966734,0.959,,FALSE
aq_adjusted_by_sex,Group:Sex,0.8099856957176118,1,0.3681244797923735,0.368,,FALSE
aq_adjusted_by_sex,fix:Sex,32.718548492924775,3,3.6923859302141926e-7,<0.001,***,TRUE
aq_adjusted_by_sex,fix:AQ_z,5.062827052222731,3,0.16725402392470357,0.167,,FALSE
aq_adjusted_by_sex,Sex:AQ_z,2.04454008959324,1,0.1527531419418261,0.153,,FALSE
aq_adjusted_by_sex,Group:fix:medication,5.250458993254113,9,0.8119513746875263,0.812,,FALSE
aq_adjusted_by_sex,Group:fix:Sex,15.757102805969566,3,0.0012717009804484201,0.001,**,TRUE
aq_adjusted_by_sex,fix:Sex:AQ_z,6.1375837522015475,3,0.10510500476672043,0.105,,FALSE
