model,contrast_family,fix,AQ_z.trend,std.error,df,statistic,p.value,Sex,p_display,sig,significant_0_05
aq_adjusted,aq_slope_by_aoi,Eyes,-0.05870318327537744,0.09840628170893084,Inf,-0.5965389836495555,0.5508152190899861,NA,0.551,,FALSE
aq_adjusted,aq_slope_by_aoi,Mouth,-0.07109637820928229,0.111493215260357,Inf,-0.6376744812969943,0.5236856004166518,NA,0.524,,FALSE
aq_adjusted,aq_slope_by_aoi,Face,-0.07801248008156554,0.1032755956075611,Inf,-0.7553815557550174,0.45002007676071265,NA,0.450,,FALSE
aq_adjusted,aq_slope_by_aoi,Background,0.18462885387502415,0.09849313562127973,Inf,1.8745352425873478,0.06085668925784286,NA,0.061,.,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Eyes,-0.05870318327537744,0.09840628170893084,Inf,-0.5965389836495555,0.5508152190899861,f,0.551,,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Mouth,-0.07109637820928229,0.111493215260357,Inf,-0.6376744812969943,0.5236856004166518,f,0.524,,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Face,-0.07801248008156554,0.1032755956075611,Inf,-0.7553815557550174,0.45002007676071265,f,0.450,,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Background,0.18462885387502415,0.09849313562127973,Inf,1.8745352425873478,0.06085668925784286,f,0.061,.,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Eyes,-0.05870318327537744,0.09840628170893084,Inf,-0.5965389836495555,0.5508152190899861,m,0.551,,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Mouth,-0.07109637820928229,0.111493215260357,Inf,-0.6376744812969943,0.5236856004166518,m,0.524,,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Face,-0.07801248008156554,0.1032755956075611,Inf,-0.7553815557550174,0.45002007676071265,m,0.450,,FALSE
aq_adjusted,aq_slope_by_aoi_sex,Background,0.18462885387502415,0.09849313562127973,Inf,1.8745352425873478,0.06085668925784286,m,0.061,.,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi,Eyes,-0.027044477645501913,0.10364911344416734,Inf,-0.2609233860940833,0.7941515898721215,NA,0.794,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi,Mouth,-0.1740942100641981,0.11926628397019824,Inf,-1.459710190247061,0.1443697400903439,NA,0.144,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi,Face,-0.08608230165353489,0.11171342988422683,Inf,-0.7705635906331538,0.44096564918168263,NA,0.441,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi,Background,0.1548212309191867,0.10237878283898486,Inf,1.5122394174453133,0.13047296673487777,NA,0.130,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Eyes,0.07154080919362406,0.16836977805093048,Inf,0.42490291322937745,0.6709074508774855,f,0.671,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Mouth,-0.4559188502922046,0.1969462529950404,Inf,-2.314940464004084,0.02061619050166393,f,0.021,*,TRUE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Face,-0.10680575946666698,0.1861377331548654,Inf,-0.5737996141696068,0.5661034098760931,f,0.566,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Background,0.045737113314035883,0.16343685764095225,Inf,0.27984577025161533,0.7795958344467446,f,0.780,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Eyes,-0.12562976448462793,0.12075574022569252,Inf,-1.0403626713713638,0.2981714374914253,m,0.298,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Mouth,0.1077304301638084,0.13464118220424925,Inf,0.8001298592312007,0.42363556283036796,m,0.424,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Face,-0.0653588438404028,0.123694865801899,Inf,-0.5283876854280833,0.5972302829055962,m,0.597,,FALSE
aq_adjusted_by_sex,aq_slope_by_aoi_sex,Background,0.2639053485243375,0.12331603085943128,Inf,2.140073327734371,0.032348841220508996,m,0.032,*,TRUE
