model,term,p_value,p_display,sig,significant_0_05,highlight,Estimate,Std. Error,z value
base_sessions_2_to_4,(Intercept),7.973189315307741e-23,<0.001,***,TRUE,significant,-1.2131043390764624,0.1233482408135006,-9.83479238192497
base_sessions_2_to_4,GroupCTRL,0.6181269466347754,0.618,,FALSE,,0.07929024497856987,0.1590555245674538,0.4985067019469902
base_sessions_2_to_4,fix.L,9.65450624174977e-7,<0.001,***,TRUE,significant,1.0523599837808542,0.214830790178356,4.898552869945541
base_sessions_2_to_4,fix.Q,8.152696027489201e-9,<0.001,***,TRUE,significant,1.2927421761011724,0.22422923083908866,5.765270528126949
base_sessions_2_to_4,fix.C,0.15188899162712768,0.152,,FALSE,,0.3329966889801754,0.2323949906572304,1.4328909932113247
base_sessions_2_to_4,medicationNAL/PLA,0.35426125643448275,0.354,,FALSE,,0.13344009829921533,0.144048474624715,0.9263555108574572
base_sessions_2_to_4,medicationPLA/OXT,0.9121885819484774,0.912,,FALSE,,0.015230957963204323,0.13811369289663364,0.11027840646186618
base_sessions_2_to_4,medicationPLA/PLA,0.8839579033440124,0.884,,FALSE,,-0.02047110395479308,0.14025747634676047,-0.14595374512644224
base_sessions_2_to_4,Sexm,0.49743849279069186,0.497,,FALSE,,0.06749558170206035,0.09947389000858847,0.6785256080387814
base_sessions_2_to_4,sessionsession_3,0.8486037123986286,0.849,,FALSE,,-0.016348669233200913,0.08563983413199738,-0.19090029072221898
base_sessions_2_to_4,sessionsession_4,0.9707153461652022,0.971,,FALSE,,-0.0030306056690456787,0.08255280921628955,-0.036711114955584954
base_sessions_2_to_4,GroupCTRL:fix.L,0.1331492405118992,0.133,,FALSE,,-0.4495238288493869,0.2993237288200022,-1.50179817223815
base_sessions_2_to_4,GroupCTRL:fix.Q,0.5449344491242951,0.545,,FALSE,,-0.18965743256386414,0.313292748613295,-0.6053680891221744
base_sessions_2_to_4,GroupCTRL:fix.C,0.062338601495967864,0.062,.,FALSE,trend,-0.609121330337253,0.32680292276524414,-1.863879689885178
base_sessions_2_to_4,GroupCTRL:medicationNAL/PLA,0.6762090054863847,0.676,,FALSE,,-0.08209764184726744,0.19657427765887453,-0.41764183404369776
base_sessions_2_to_4,GroupCTRL:medicationPLA/OXT,0.7171359513857686,0.717,,FALSE,,-0.07047710103709476,0.194532730034061,-0.36228916863889604
base_sessions_2_to_4,GroupCTRL:medicationPLA/PLA,0.9397686076645153,0.940,,FALSE,,-0.014742793332443055,0.19511193327615264,-0.07556069526294308
base_sessions_2_to_4,fix.L:medicationNAL/PLA,0.06007925563253283,0.060,.,FALSE,trend,-0.5190988323758212,0.2760853370513695,-1.8802115241608637
base_sessions_2_to_4,fix.Q:medicationNAL/PLA,0.6485576387087959,0.649,,FALSE,,-0.13108485011021154,0.28761382662993495,-0.45576685810336554
base_sessions_2_to_4,fix.C:medicationNAL/PLA,0.6405494500216166,0.641,,FALSE,,-0.1395427293669503,0.2988510398301088,-0.46693071386426405
base_sessions_2_to_4,fix.L:medicationPLA/OXT,0.24056600922588733,0.241,,FALSE,,-0.308510863759331,0.2628816472769873,-1.173573229455102
base_sessions_2_to_4,fix.Q:medicationPLA/OXT,0.8825561174001245,0.883,,FALSE,,-0.040752644697881715,0.2758595848938428,-0.1477296672999935
base_sessions_2_to_4,fix.C:medicationPLA/OXT,0.6596466735070098,0.660,,FALSE,,-0.126920012407544,0.2881919013717679,-0.44040103765378547
base_sessions_2_to_4,fix.L:medicationPLA/PLA,0.33674238741242396,0.337,,FALSE,,0.25631042434482243,0.2668172188719302,0.9606217523309433
base_sessions_2_to_4,fix.Q:medicationPLA/PLA,0.9696320301348373,0.970,,FALSE,,-0.010600361996262504,0.2784454359776941,-0.038069799776181946
base_sessions_2_to_4,fix.C:medicationPLA/PLA,0.9609839909806244,0.961,,FALSE,,0.014179849503708647,0.2898649156442086,0.048918819554945876
base_sessions_2_to_4,GroupCTRL:Sexm,0.671472047034269,0.671,,FALSE,,-0.05760371041353253,0.13581662217999263,-0.4241285749044216
base_sessions_2_to_4,fix.L:Sexm,3.739449763762963e-6,<0.001,***,TRUE,significant,-0.8832907840932929,0.19096685013248388,-4.625361854586317
base_sessions_2_to_4,fix.Q:Sexm,0.018962770903271052,0.019,*,TRUE,significant,-0.46694671377577335,0.19901729108712887,-2.3462620319324223
base_sessions_2_to_4,fix.C:Sexm,8.857656675122775e-5,<0.001,***,TRUE,significant,-0.8119697114419435,0.2071390989389478,-3.919924898781488
base_sessions_2_to_4,GroupCTRL:fix.L:medicationNAL/PLA,0.266894687122178,0.267,,FALSE,,0.41614793702921493,0.3748262763576285,1.110242166245999
base_sessions_2_to_4,GroupCTRL:fix.Q:medicationNAL/PLA,0.9230222361768806,0.923,,FALSE,,-0.03768409507351368,0.3899935791657881,-0.09662747564747469
base_sessions_2_to_4,GroupCTRL:fix.C:medicationNAL/PLA,0.46483782141644653,0.465,,FALSE,,0.2957416951967841,0.40462456667358543,0.7309039528372527
base_sessions_2_to_4,GroupCTRL:fix.L:medicationPLA/OXT,0.49497078766544567,0.495,,FALSE,,0.25024078539068917,0.3666939166296738,0.6824241527939191
base_sessions_2_to_4,GroupCTRL:fix.Q:medicationPLA/OXT,0.7702579686469138,0.770,,FALSE,,-0.11178026728349227,0.3827600068617461,-0.29203747852337036
base_sessions_2_to_4,GroupCTRL:fix.C:medicationPLA/OXT,0.8862170726675529,0.886,,FALSE,,-0.05699174443988744,0.39828583939344553,-0.1430925702171106
base_sessions_2_to_4,GroupCTRL:fix.L:medicationPLA/PLA,0.1782743220595823,0.178,,FALSE,,-0.49336327797535445,0.36651651821549946,-1.3460874297765575
base_sessions_2_to_4,GroupCTRL:fix.Q:medicationPLA/PLA,0.5052923919552473,0.505,,FALSE,,0.2551771547398967,0.38304205974991995,0.666185731422018
base_sessions_2_to_4,GroupCTRL:fix.C:medicationPLA/PLA,0.7859638268707094,0.786,,FALSE,,-0.10832390259716423,0.39890153674431833,-0.27155549081425573
base_sessions_2_to_4,GroupCTRL:fix.L:Sexm,0.008875163366661453,0.009,**,TRUE,significant,0.6821059306358054,0.2606615779738634,2.6168257552104603
base_sessions_2_to_4,GroupCTRL:fix.Q:Sexm,0.9425776289665506,0.943,,FALSE,,0.01956333800407236,0.27159794545033306,0.07203050807926636
base_sessions_2_to_4,GroupCTRL:fix.C:Sexm,0.003059819600845933,0.003,**,TRUE,significant,0.8363794056784303,0.2824018993364531,2.9616635286222683
