model,formula,n_observations,n_participants,AIC,BIC,logLik,converged,pdHess,delta_AIC,delta_BIC
full_anonymized,percentage_fix_duration ~ Group * fix * medication + Group *      fix * Sex + session,919,68,-1014.5948075055601,-802.3702181219098,551.29740375278,TRUE,TRUE,0,0
full_sample_influence,percentage_fix_duration ~ Group * fix * medication + Group *      fix * Sex + asd_medication_record_factor * fix + asd_disorder_record_factor *      fix + session,919,68,-1014.3071430535483,-763.4962646910526,559.1535715267742,TRUE,TRUE,0.28766445201176793,38.87395343085723
adjust_asd_medication_disorder_records,percentage_fix_duration ~ Group * fix * medication + Group *      fix * Sex + asd_medication_record_factor + asd_disorder_record_factor +      session,919,68,-1011.3279073112647,-789.456745682903,551.6639536556323,TRUE,TRUE,3.266900194295431,12.913472439006796
exclude_asd_medication_records,percentage_fix_duration ~ Group * fix * medication + Group *      fix * Sex + session,663,49,-736.1221420526751,-538.2640424844972,412.0610710263376,TRUE,TRUE,278.47266545288494,264.10617563741266
exclude_asd_disorder_records,percentage_fix_duration ~ Group * fix * medication + Group *      fix * Sex + session,623,46,-664.4224089554402,-469.3023621287923,376.2112044777201,TRUE,TRUE,350.17239855011985,333.0678559931175
exclude_asd_medication_or_disorder_records,percentage_fix_duration ~ Group * fix * medication + Group *      fix * Sex + session,587,43,-645.5712011571006,-453.07010908466435,366.7856005785503,TRUE,TRUE,369.02360634845945,349.3001090372455
asd_disorder_influence,percentage_fix_duration ~ medication * fix + any_disorder_record_factor *      fix + Sex + session,428,31,-436.4760505468871,-334.9979706573422,243.23802527344355,TRUE,TRUE,578.118756958673,467.37224746456764
asd_medication_influence,percentage_fix_duration ~ medication * fix + any_medication_record_factor *      fix + Sex + session,428,31,-432.85887878776873,-331.3807988982238,241.42943939388437,TRUE,TRUE,581.7359287177914,470.989419223686
asd_joint_influence,percentage_fix_duration ~ medication * fix + any_medication_record_factor *      fix + any_disorder_record_factor * fix + Sex + session,428,31,-432.7827286526181,-315.06815598074604,245.39136432630906,TRUE,TRUE,581.812078852942,487.3020621411638
asd_disorder_responsiveness,percentage_fix_duration ~ any_disorder_record_factor * fix *      medication + Sex + session,428,31,-415.8185225369778,-265.6309643004513,244.9092612684889,TRUE,TRUE,598.7762849685823,536.7392538214585
asd_medication_responsiveness,percentage_fix_duration ~ any_medication_record_factor * fix *      medication + Sex + session,428,31,-409.9065652838342,-259.71900704730774,241.9532826419171,TRUE,TRUE,604.6882422217259,542.6512110746021
