model,term,Estimate,Std. Error,z value,p_value,p_display,sig,significant_0_05
full_anonymized,(Intercept),-1.2084926209020883,0.10206860001921601,-11.840003886352616,2.4244172991202333e-32,<0.001,***,TRUE
full_anonymized,GroupCTRL,0.07705868000248071,0.12678392424719928,0.6077953530783141,0.54332321168593245,0.543,,FALSE
full_anonymized,fix.L,1.0114068780121046,0.1748196385395754,5.78543055266153,7.232683718515255e-9,<0.001,***,TRUE
full_anonymized,fix.Q,1.3895223280111744,0.18402617315775077,7.550677733324646,4.329990526407033e-14,<0.001,***,TRUE
full_anonymized,fix.C,0.25929492497103074,0.1917965991876624,1.3519266038566458,0.17639879595621527,0.176,,FALSE
full_anonymized,medicationNAL/PLA,0.07822141931793447,0.11889203519885894,0.6579197604541065,0.5105896923585669,0.511,,FALSE
full_anonymized,medicationPLA/OXT,0.009081363958984304,0.11676686745565261,0.0777734656830916,0.9380082538177289,0.938,,FALSE
full_anonymized,medicationPLA/PLA,-3.501549783744744e-4,0.12048624574685385,-0.002906182163814476,0.9976812053846614,0.998,,FALSE
full_anonymized,Sexm,0.09293315439651255,0.08405628448725762,1.1056062608929687,0.26889697873128915,0.269,,FALSE
full_anonymized,sessionsession_2,-0.025626468633001748,0.0791623049983051,-0.32372059698805417,0.7461495757156796,0.746,,FALSE
full_anonymized,sessionsession_3,-0.023876795325638432,0.0796990871362059,-0.29958681063476855,0.7644923459264694,0.764,,FALSE
full_anonymized,sessionsession_4,-0.018422766011316052,0.07943443725165056,-0.2319241710361994,0.8165969105436677,0.817,,FALSE
full_anonymized,GroupCTRL:fix.L,-0.6532431039752837,0.23975001544058094,-2.7246843040858195,0.006436299651923371,0.006,**,TRUE
full_anonymized,GroupCTRL:fix.Q,-0.4972953095668588,0.25154435330744945,-1.9769686857531676,0.04804516991767201,0.048,*,TRUE
full_anonymized,GroupCTRL:fix.C,-0.5132303786518839,0.26281592168917184,-1.9528131147962688,0.050841743944195786,0.051,.,FALSE
full_anonymized,GroupCTRL:medicationNAL/PLA,-0.02682433035649375,0.1625393010600965,-0.16503288854783404,0.8689180956507808,0.869,,FALSE
full_anonymized,GroupCTRL:medicationPLA/OXT,-0.022679232679165818,0.16004247574955133,-0.14170758464556807,0.8873109837245399,0.887,,FALSE
full_anonymized,GroupCTRL:medicationPLA/PLA,-0.0013347487634636091,0.1640759401956145,-0.008134945086234434,0.9935093245020574,0.994,,FALSE
full_anonymized,fix.L:medicationNAL/PLA,-0.09124599000367123,0.22657481641815444,-0.40271902873474025,0.6871549337287541,0.687,,FALSE
full_anonymized,fix.Q:medicationNAL/PLA,-0.17967036057022984,0.2371893909303456,-0.7574974574768939,0.4487518885557254,0.449,,FALSE
full_anonymized,fix.C:medicationNAL/PLA,0.041980460076172586,0.24739123095124158,0.16969259546813334,0.8652518975773521,0.865,,FALSE
full_anonymized,fix.L:medicationPLA/OXT,-0.13483859477949478,0.2231764459678778,-0.6041793263385077,0.5457244241713088,0.546,,FALSE
full_anonymized,fix.Q:medicationPLA/OXT,-0.2850417908994017,0.23338129163122354,-1.2213566430586444,0.2219510155966134,0.222,,FALSE
full_anonymized,fix.C:medicationPLA/OXT,0.02726082283052732,0.24298093863787748,0.11219325673589164,0.9106701757592118,0.911,,FALSE
full_anonymized,fix.L:medicationPLA/PLA,0.18927535988592942,0.22919079486165483,0.8258418929965344,0.4088937861758055,0.409,,FALSE
full_anonymized,fix.Q:medicationPLA/PLA,-0.04093258546614087,0.23945381068992408,-0.1709414661149231,0.8642697912506994,0.864,,FALSE
full_anonymized,fix.C:medicationPLA/PLA,5.596439691506098e-4,0.2494475300421144,0.002243533816735426,0.9982099205076986,0.998,,FALSE
full_anonymized,GroupCTRL:Sexm,-0.07836500799446439,0.11463930267612346,-0.6835788962870749,0.4942411145907888,0.494,,FALSE
full_anonymized,fix.L:Sexm,-0.8781792714494178,0.1612476325971367,-5.446152959302497,5.147087909414648e-8,<0.001,***,TRUE
full_anonymized,fix.Q:Sexm,-0.5498850689895071,0.16798449485738778,-3.27342752351244,0.001062516353301664,0.001,**,TRUE
full_anonymized,fix.C:Sexm,-0.7259904503579331,0.1746505262366723,-4.156817995349922,3.2271087735565615e-5,<0.001,***,TRUE
full_anonymized,GroupCTRL:fix.L:medicationNAL/PLA,0.26685547825567113,0.3095567733768624,0.8620566603813072,0.3886563390613278,0.389,,FALSE
full_anonymized,GroupCTRL:fix.Q:medicationNAL/PLA,0.21420621375375526,0.3228144564825458,0.663558305559767,0.5069730504767094,0.507,,FALSE
full_anonymized,GroupCTRL:fix.C:medicationNAL/PLA,0.08216403834838787,0.3354845843776452,0.24491151657775787,0.8065249442693483,0.807,,FALSE
full_anonymized,GroupCTRL:fix.L:medicationPLA/OXT,0.1480719330795723,0.3038500419955518,0.4873191134254969,0.6260322047965914,0.626,,FALSE
full_anonymized,GroupCTRL:fix.Q:medicationPLA/OXT,0.3563265944229264,0.316847903689319,1.1245982386941014,0.2607593204250232,0.261,,FALSE
full_anonymized,GroupCTRL:fix.C:medicationPLA/OXT,-0.22252656256843786,0.3292002447792635,-0.6759611090740444,0.4990653374384478,0.499,,FALSE
full_anonymized,GroupCTRL:fix.L:medicationPLA/PLA,-0.28859493056758173,0.31017063458963934,-0.9304392433842017,0.35214370780736187,0.352,,FALSE
full_anonymized,GroupCTRL:fix.Q:medicationPLA/PLA,0.3824702571986786,0.32412630734400394,1.1800037470971236,0.23799872459485089,0.238,,FALSE
full_anonymized,GroupCTRL:fix.C:medicationPLA/PLA,-0.05210627031886437,0.3374322993851012,-0.15441992486734965,0.877278644310313,0.877,,FALSE
full_anonymized,GroupCTRL:fix.L:Sexm,0.6900539443292865,0.21951301373218352,3.143567356654242,0.0016690199955705812,0.002,**,TRUE
full_anonymized,GroupCTRL:fix.Q:Sexm,0.2759881437345865,0.22880011715392254,1.2062412693124576,0.22772447560005724,0.228,,FALSE
full_anonymized,GroupCTRL:fix.C:Sexm,0.6912733561910022,0.23788560509736056,2.9059066264563653,0.0036619070621888897,0.004,**,TRUE
exclude_asd_medication_records,(Intercept),-1.1728780248590303,0.16880443733312625,-6.94814688161556,3.701155553642067e-12,<0.001,***,TRUE
exclude_asd_medication_records,GroupCTRL,0.003751544114833812,0.18072719594214082,0.020758049696266278,0.9834386620142911,0.983,,FALSE
exclude_asd_medication_records,fix.L,1.1506559089008999,0.3072312735902831,3.7452434299881503,1.802189438305262e-4,<0.001,***,TRUE
exclude_asd_medication_records,fix.Q,0.6768268041011481,0.31863230702493217,2.124162519553261,0.03365655612609922,0.034,*,TRUE
exclude_asd_medication_records,fix.C,0.9503685452525639,0.33010587085870124,2.878981045627511,0.003989623117343805,0.004,**,TRUE
exclude_asd_medication_records,medicationNAL/PLA,0.054243441791667714,0.1787944089291276,0.3033844409148683,0.7615969016243318,0.762,,FALSE
exclude_asd_medication_records,medicationPLA/OXT,-0.05013344979892409,0.17896608057169217,-0.28012822116222796,0.7793791337653063,0.779,,FALSE
exclude_asd_medication_records,medicationPLA/PLA,-0.05055598795741563,0.18200168357301696,-0.27777758405807906,0.7811830995834835,0.781,,FALSE
exclude_asd_medication_records,Sexm,0.1109670982762946,0.1333169943619145,0.8323552357852682,0.4052084612769214,0.405,,FALSE
exclude_asd_medication_records,sessionsession_2,-0.02635606096136825,0.0886695660261927,-0.2972390882524761,0.766283981539807,0.766,,FALSE
exclude_asd_medication_records,sessionsession_3,-0.013975991882134048,0.089890003173633,-0.15547882288020162,0.8764438478096688,0.876,,FALSE
exclude_asd_medication_records,sessionsession_4,-0.02631628205844082,0.09001423201706352,-0.29235690255572233,0.7700137562026923,0.770,,FALSE
exclude_asd_medication_records,GroupCTRL:fix.L,-0.7800064736469186,0.34449398031707185,-2.2642092988939937,0.02356124493174567,0.024,*,TRUE
exclude_asd_medication_records,GroupCTRL:fix.Q,0.24861015388316118,0.35884887662022197,0.6927990306801797,0.4884356806122831,0.488,,FALSE
exclude_asd_medication_records,GroupCTRL:fix.C,-1.2163272578265885,0.37312445735942407,-3.2598432877717323,0.001114737881595932,0.001,**,TRUE
exclude_asd_medication_records,GroupCTRL:medicationNAL/PLA,7.820326997603088e-4,0.20878088999984204,0.0037457101546070643,0.997011362687,0.997,,FALSE
