model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
adjust_asd_medication_disorder_records,asd_disorder_record_factor,0.341459798397472,1,0.558987808207698,0.559,,FALSE
adjust_asd_medication_disorder_records,asd_medication_record_factor,0.669384145272141,1,0.4132664044236077,0.413,,FALSE
asd_disorder_influence,any_disorder_record_factor,0.0030949984194497317,1,0.9556344060533273,0.956,,FALSE
asd_disorder_influence,fix:any_disorder_record_factor,8.625702436825586,3,0.03470441735136813,0.035,*,TRUE
asd_disorder_responsiveness,any_disorder_record_factor,0.11410575404002508,1,0.7355173523203953,0.736,,FALSE
asd_disorder_responsiveness,any_disorder_record_factor:fix,1.7981323202268433,3,0.6153414481745065,0.615,,FALSE
asd_disorder_responsiveness,any_disorder_record_factor:fix:medication,2.9971946294960934,9,0.964406091444648,0.964,,FALSE
asd_disorder_responsiveness,any_disorder_record_factor:medication,0.33207811512386254,3,0.9538867487387542,0.954,,FALSE
asd_joint_influence,any_disorder_record_factor,0.04884987395542692,1,0.825076801190181,0.825,,FALSE
asd_joint_influence,any_medication_record_factor,0.7020818537536689,1,0.4020850442046083,0.402,,FALSE
asd_joint_influence,fix:any_disorder_record_factor,7.658377109833428,3,0.05362570955565626,0.054,.,FALSE
asd_joint_influence,fix:any_medication_record_factor,3.6282897278922155,3,0.30450056066833153,0.305,,FALSE
asd_medication_influence,any_medication_record_factor,0.8345129545287243,1,0.36097079890685635,0.361,,FALSE
asd_medication_influence,fix:any_medication_record_factor,4.623371775527798,3,0.2015462769456802,0.202,,FALSE
asd_medication_responsiveness,any_medication_record_factor,0.39426705205085877,1,0.5300649426138714,0.530,,FALSE
asd_medication_responsiveness,any_medication_record_factor:fix,1.429122752094271,3,0.6987226193340145,0.699,,FALSE
asd_medication_responsiveness,any_medication_record_factor:fix:medication,0.9082666603668963,9,0.9996214249090558,1.000,,FALSE
asd_medication_responsiveness,any_medication_record_factor:medication,0.12610187001559836,3,0.9885308615070877,0.989,,FALSE
full_sample_influence,asd_disorder_record_factor,0.02389582036142578,1,0.8771502859236817,0.877,,FALSE
full_sample_influence,asd_medication_record_factor,0.8459250939531122,1,0.3577076707412293,0.358,,FALSE
full_sample_influence,fix:asd_disorder_record_factor,7.100685312013857,3,0.06875689664070032,0.069,.,FALSE
full_sample_influence,fix:asd_medication_record_factor,10.231425267437075,3,0.01669798440397553,0.017,*,TRUE
