model,term,Chisq,Df,Pr(>Chisq),p_display,sig,significant_0_05
medication_type_base,(Intercept),114.52679712141081,1,9.990698068010321e-27,<0.001,***,TRUE
medication_type_base,fix,92.3367734624962,3,6.895742925937285e-20,<0.001,***,TRUE
medication_type_base,medication,0.648953198089334,3,0.8851397679426072,0.885,,FALSE
medication_type_base,Sex,1.1050942565778126,1,0.29315083987097085,0.293,,FALSE
medication_type_base,session,0.07206081868229734,3,0.99496501408,0.995,,FALSE
medication_type_base,fix:medication,4.094730968244491,9,0.9050675668300571,0.905,,FALSE
medication_type_base,fix:Sex,59.51920047765052,3,7.44662642031048e-13,<0.001,***,TRUE
medication_type_overall,(Intercept),75.48174475651878,1,3.688009301159532e-18,<0.001,***,TRUE
medication_type_overall,fix,91.59823934241251,3,9.936756887083076e-20,<0.001,***,TRUE
medication_type_overall,medication,0.6341667224396874,3,0.8885680448342962,0.889,,FALSE
medication_type_overall,Sex,0.3178466163883978,1,0.572904632463687,0.573,,FALSE
medication_type_overall,session,0.08819780761636062,3,0.9932151017434078,0.993,,FALSE
medication_type_overall,medication_type_group,1.5459743135239166,2,0.46163203939520164,0.462,,FALSE
medication_type_overall,fix:medication,4.1075016726415035,9,0.904195506389836,0.904,,FALSE
medication_type_overall,fix:Sex,59.36973015006897,3,8.014715928582442e-13,<0.001,***,TRUE
medication_type_aoi,(Intercept),76.59910918751771,1,2.0943410188178664e-18,<0.001,***,TRUE
medication_type_aoi,fix,63.25793290321599,3,1.1828279195973594e-13,<0.001,***,TRUE
medication_type_aoi,medication,0.7416134378527147,3,0.8633750947300532,0.863,,FALSE
medication_type_aoi,Sex,0.10646071364947761,1,0.7442101128010075,0.744,,FALSE
medication_type_aoi,session,0.12109821430044646,3,0.9891905793839811,0.989,,FALSE
medication_type_aoi,medication_type_group,3.13153549265779,2,0.2089275482248227,0.209,,FALSE
medication_type_aoi,fix:medication,4.310566991282279,9,0.8898091905214442,0.890,,FALSE
medication_type_aoi,fix:Sex,59.20865136619222,3,8.675508813102972e-13,<0.001,***,TRUE
medication_type_aoi,fix:medication_type_group,29.255718235204398,6,5.441831262613821e-5,<0.001,***,TRUE
medication_type_medication,(Intercept),47.0101405786641,1,7.062036844065585e-12,<0.001,***,TRUE
medication_type_medication,fix,63.408168622480716,3,1.0984944263574507e-13,<0.001,***,TRUE
medication_type_medication,medication,0.46949873930967967,3,0.9255394485595128,0.926,,FALSE
medication_type_medication,Sex,0.09609268555780415,1,0.7565699279743522,0.757,,FALSE
medication_type_medication,session,0.16922556153621504,3,0.982397412962505,0.982,,FALSE
medication_type_medication,medication_type_group,1.3136058077449733,2,0.5185064021872007,0.519,,FALSE
medication_type_medication,fix:medication,4.307505059674978,9,0.8900332438450363,0.890,,FALSE
medication_type_medication,fix:Sex,59.218919972776966,3,8.631804603420326e-13,<0.001,***,TRUE
medication_type_medication,fix:medication_type_group,29.278086400986496,6,5.3889820546998294e-5,<0.001,***,TRUE
medication_type_medication,medication:medication_type_group,0.3077849995369466,6,0.9994585359654113,0.999,,FALSE
medication_type_responsiveness,(Intercept),46.36243913138334,1,9.828157969590837e-12,<0.001,***,TRUE
medication_type_responsiveness,fix,41.216327790708526,3,5.883565881248743e-9,<0.001,***,TRUE
medication_type_responsiveness,medication,0.46749855169785565,3,0.9259715658446526,0.926,,FALSE
medication_type_responsiveness,Sex,0.08386274466541184,1,0.7721294207319128,0.772,,FALSE
medication_type_responsiveness,session,0.1635266160831251,3,0.9832507389758298,0.983,,FALSE
medication_type_responsiveness,medication_type_group,1.3543845852752947,2,0.5080414233819147,0.508,,FALSE
medication_type_responsiveness,fix:medication,4.487176177066412,9,0.8765299579722879,0.877,,FALSE
medication_type_responsiveness,fix:Sex,60.157522512012015,3,5.439917666381289e-13,<0.001,***,TRUE
medication_type_responsiveness,fix:medication_type_group,12.431476293873173,6,0.05300694273032978,0.053,.,FALSE
medication_type_responsiveness,medication:medication_type_group,0.3170739432552668,6,0.9994100596586252,0.999,,FALSE
medication_type_responsiveness,fix:medication:medication_type_group,3.1568752324569305,18,0.9999590659516593,1.000,,FALSE
disorder_type_base,(Intercept),114.52679712141081,1,9.990698068010321e-27,<0.001,***,TRUE
disorder_type_base,fix,92.3367734624962,3,6.895742925937285e-20,<0.001,***,TRUE
disorder_type_base,medication,0.648953198089334,3,0.8851397679426072,0.885,,FALSE
disorder_type_base,Sex,1.1050942565778126,1,0.29315083987097085,0.293,,FALSE
disorder_type_base,session,0.07206081868229734,3,0.99496501408,0.995,,FALSE
disorder_type_base,fix:medication,4.094730968244491,9,0.9050675668300571,0.905,,FALSE
disorder_type_base,fix:Sex,59.51920047765052,3,7.44662642031048e-13,<0.001,***,TRUE
disorder_type_overall,(Intercept),79.44006354042394,1,4.970784458896115e-19,<0.001,***,TRUE
disorder_type_overall,fix,92.56806446374696,3,6.15019260208259e-20,<0.001,***,TRUE
disorder_type_overall,medication,0.60718232191263,3,0.8947861944369255,0.895,,FALSE
disorder_type_overall,Sex,1.274642782355446,1,0.2588975006920953,0.259,,FALSE
disorder_type_overall,session,0.06427758478047006,3,0.9957484341890881,0.996,,FALSE
disorder_type_overall,disorder_type_group,0.23188031723483377,3,0.9722856842762122,0.972,,FALSE
disorder_type_overall,fix:medication,4.065352278797696,9,0.9070587361756909,0.907,,FALSE
disorder_type_overall,fix:Sex,59.70381686708808,3,6.800199103320834e-13,<0.001,***,TRUE
disorder_type_aoi,(Intercept),82.2261797186245,1,1.2137156297898952e-19,<0.001,***,TRUE
disorder_type_aoi,fix,42.14226927862802,3,3.74268195220159e-9,<0.001,***,TRUE
disorder_type_aoi,medication,0.6966276191252486,3,0.8739968791203591,0.874,,FALSE
disorder_type_aoi,Sex,0.7188366770152084,1,0.3965257654642701,0.397,,FALSE
disorder_type_aoi,session,0.12460549107200347,3,0.988729379189834,0.989,,FALSE
disorder_type_aoi,disorder_type_group,0.17308060246766485,3,0.9818133455332523,0.982,,FALSE
disorder_type_aoi,fix:medication,3.632916887947173,9,0.9338721312260838,0.934,,FALSE
disorder_type_aoi,fix:Sex,49.14548333328304,3,1.2146677606019654e-10,<0.001,***,TRUE
disorder_type_aoi,fix:disorder_type_group,31.536911823859327,9,0.00023935527059753935,<0.001,***,TRUE
disorder_type_medication,(Intercept),44.475322284620475,1,2.5758365944926984e-11,<0.001,***,TRUE
disorder_type_medication,fix,42.31180340582999,3,3.445103244754074e-9,<0.001,***,TRUE
disorder_type_medication,medication,0.5059769963677512,3,0.9175763430783028,0.918,,FALSE
disorder_type_medication,Sex,0.7291873142750581,1,0.39314673844889975,0.393,,FALSE
disorder_type_medication,session,0.06500740564133232,3,0.9956767624724775,0.996,,FALSE
disorder_type_medication,disorder_type_group,0.09026244710539194,3,0.9929797967514323,0.993,,FALSE
disorder_type_medication,fix:medication,3.662145649199511,9,0.9322107258713355,0.932,,FALSE
disorder_type_medication,fix:Sex,48.95558107594702,3,1.33317113935298e-10,<0.001,***,TRUE
disorder_type_medication,fix:disorder_type_group,31.64303960354619,9,2.2948505912542635e-4,<0.001,***,TRUE
disorder_type_medication,medication:disorder_type_group,0.42867967970108806,9,0.9999843261523081,1.000,,FALSE
disorder_type_responsiveness,(Intercept),44.13287853555368,1,3.068238025559132e-11,<0.001,***,TRUE
disorder_type_responsiveness,fix,27.619822961588028,3,4.36444952179072e-6,<0.001,***,TRUE
disorder_type_responsiveness,medication,0.4712822617431562,3,0.925153727099203,0.925,,FALSE
disorder_type_responsiveness,Sex,0.775014308282419,1,0.3786702919959267,0.379,,FALSE
disorder_type_responsiveness,session,0.016929345671289148,3,0.999417126331253,0.999,,FALSE
disorder_type_responsiveness,disorder_type_group,0.08265684178349304,3,0.9938341456932147,0.994,,FALSE
disorder_type_responsiveness,fix:medication,5.0850345036401094,9,0.8268334523535541,0.827,,FALSE
disorder_type_responsiveness,fix:Sex,50.62068594696667,3,5.892509534863246e-11,<0.001,***,TRUE
disorder_type_responsiveness,fix:disorder_type_group,6.1657771297003325,9,0.7232188019415662,0.723,,FALSE
disorder_type_responsiveness,medication:disorder_type_group,0.41787722841546343,9,0.9999859652584921,1.000,,FALSE
disorder_type_responsiveness,fix:medication:disorder_type_group,10.022106477541048,27,0.9987790721649918,0.999,,FALSE
