contrast,progress_window,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
ASD / CTRL,01,0.7789373235887814,0.2139992806144119,Inf,0.4546214414013574,1.3346122703966299,1,-0.909338469982544,0.3631714898994848
ASD / CTRL,02,0.8061057545358072,0.22119192232340062,Inf,0.4707886784216869,1.3802508795967885,1,-0.7855092688012816,0.43215503806780614
ASD / CTRL,03,0.8514276946953002,0.23359602401763513,Inf,0.4972946591081885,1.4577456363480508,1,-0.5862438157106397,0.5577116811477778
ASD / CTRL,04,0.8881808734086848,0.2436572050528606,Inf,0.5187867281177185,1.5205964631192566,1,-0.432248136849237,0.6655610768660063
ASD / CTRL,05,0.8888038868670104,0.24375177817444985,Inf,0.5192380329917357,1.5214069446304967,1,-0.4298266812269126,0.6673217226784118
ASD / CTRL,06,0.8189292201791627,0.22465261473023118,Inf,0.4783443551963013,1.402013132125359,1,-0.7281791626507548,0.46650391962343896
ASD / CTRL,07,0.8032731037288252,0.22029889028044647,Inf,0.4692668617412997,1.375012240966327,1,-0.79875764442745,0.4244309546287461
ASD / CTRL,08,0.7412020921914516,0.20323010410598652,Inf,0.43305773233903017,1.2686080871981493,1,-1.092242990700402,0.27472631087516525
ASD / CTRL,09,0.7288102164072618,0.19988462396355502,Inf,0.4257577795319308,1.2475739894255151,1,-1.1534314894633386,0.24873332276563634
ASD / CTRL,10,0.7001899259306432,0.19214844775611495,Inf,0.4089086522887279,1.1989619921971857,1,-1.298736751704562,0.19403428692437125
ASD / CTRL,11,0.711369327376275,0.19515670302374166,Inf,0.4155056491579758,1.2179047889175014,1,-1.2413944792236409,0.21446005760089587
ASD / CTRL,12,0.6724434689579744,0.1846120290283365,Inf,0.39261570600524626,1.1517119973244065,1,-1.4454670497276525,0.14832674183861086
ASD / CTRL,13,0.7499527052514211,0.20606925794007097,Inf,0.43766703131901435,1.2850615190705827,1,-1.0471976455976661,0.2950084309538004
ASD / CTRL,14,0.7928845360015827,0.2175813697784869,Inf,0.46304731708579805,1.3576709425442142,1,-0.8457102621103589,0.3977143969189766
ASD / CTRL,15,0.7961274408523068,0.21874817162522053,Inf,0.46462435493136683,1.3641534184570876,1,-0.8297846521071912,0.4066605498590793
ASD / CTRL,16,0.8066541561327736,0.22200535395210966,Inf,0.4703507063375437,1.3834164993032103,1,-0.7806925222835018,0.4349833596946864
ASD / CTRL,17,0.8531498476307802,0.2347471458498075,Inf,0.49752425084475116,1.4629732345238948,1,-0.5772054131373593,0.563800700751508
ASD / CTRL,18,0.7612795313758254,0.2095399509536843,Inf,0.4438675876632958,1.3056743519903562,1,-0.9909448984098898,0.3217124869328418
ASD / CTRL,19,0.7698801007277681,0.21169120659491453,Inf,0.44912912463841004,1.3196992512426984,1,-0.9510995950840457,0.34155382027469944
ASD / CTRL,20,0.6922156835748362,0.1903895125576653,Inf,0.40376054208725926,1.1867493294662332,1,-1.337452148701017,0.18107509187132007
ASD / CTRL,21,0.6865898592454537,0.1887630894738889,Inf,0.40056948237791346,1.176838614914625,1,-1.3676946138113555,0.1714076866118193
ASD / CTRL,22,0.6736224386167021,0.1851630570230043,Inf,0.3930439762487689,1.1544947060089537,1,-1.437319439968842,0.150627247583771
ASD / CTRL,23,0.7299250503991249,0.2006930767399157,Inf,0.42583385830140363,1.2511700721154444,1,-1.1449832040755268,0.2522161150275462
ASD / CTRL,24,0.7258894801272431,0.19947817155905082,Inf,0.4235999790199469,1.2438988750152589,1,-1.1657623607422205,0.24371053910256432
ASD / CTRL,25,0.7425268598755463,0.20401836819316482,Inf,0.4333453063620046,1.2723020869090944,1,-1.0834683750212626,0.2786005807032272
ASD / CTRL,26,0.7796469610683728,0.21390449994904795,Inf,0.4553671776437897,1.334855505063736,1,-0.9072511461451491,0.36427400240519026
ASD / CTRL,27,0.8006644767689005,0.21955200673952854,Inf,0.46777894614434234,1.3704413369681767,1,-0.8107343893245729,0.4175182199945646
ASD / CTRL,28,0.7897949862819662,0.2165523466018174,Inf,0.46145045845064336,1.351772674471945,1,-0.8606570522479549,0.3894269536634223
ASD / CTRL,29,0.8103770502229429,0.22212683376432463,Inf,0.4735547322773045,1.3867688754158216,1,-0.7670678365299943,0.4430411837776488
ASD / CTRL,30,0.8397371945358549,0.23033154706483436,Inf,0.4905319346893212,1.437538529134828,1,-0.636794179505998,0.5242589178941617
ASD / CTRL,31,0.7965749827143574,0.2185544185414442,Inf,0.4652479651919463,1.3638570193952197,1,-0.8289388374095933,0.407139017454896
ASD / CTRL,32,0.7952100076101281,0.21836637091021974,Inf,0.4642373414379661,1.3621458244711218,1,-0.8344765178167094,0.40401251442546576
ASD / CTRL,33,0.7384815652273462,0.20290205472121386,Inf,0.43098994867434554,1.2653543867045014,1,-1.1033768798592827,0.26986353270436647
ASD / CTRL,34,0.7090526412658471,0.19473753322888684,Inf,0.413904841782381,1.2146648150359354,1,-1.2518921265104892,0.2106091741354523
ASD / CTRL,35,0.7302225803648927,0.2004239112280463,Inf,0.42640893624955584,1.2505015058190343,1,-1.1455034305255194,0.25200067518438835
ASD / CTRL,36,0.6725981769798864,0.18469776472305344,Inf,0.39265653027925074,1.152122205518741,1,-1.4442907494291914,0.14865720680259104
ASD / CTRL,37,0.6718551079571451,0.18439027925856583,Inf,0.3923411039403113,1.1505021562991244,1,-1.449128587455086,0.1473016758657416
