contrast,progress_window,Sex,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
ASD / CTRL,01,f,0.6400854587775555,0.2389817134077782,Inf,0.30791733705678453,1.3305824168741667,1,-1.1949718506796616,0.23209802836608662
ASD / CTRL,02,f,0.6624108976291337,0.2471386542289739,Inf,0.31882544702482757,1.3762646657989799,1,-1.1039416858250597,0.2696184344930562
ASD / CTRL,03,f,0.6996538361572572,0.2610396340865255,Inf,0.3367451881334288,1.4536673654134145,1,-0.9573070077981902,0.3384123192772291
ASD / CTRL,04,f,0.729855464126377,0.27227867680044143,Inf,0.3513087919022351,1.5162985122882153,1,-0.8441273514525914,0.39859824513113545
ASD / CTRL,05,f,0.7303674204073518,0.27242047799013663,Inf,0.3516016248976537,1.5171618417513435,1,-0.842399821482209,0.39956419291403483
ASD / CTRL,06,f,0.6729484770220795,0.2510167639393575,Inf,0.323947630408501,1.3979409330924135,1,-1.0618645906941815,0.28829716204075173
ASD / CTRL,07,f,0.660083189691106,0.24617336079171487,Inf,0.3177964727509617,1.3710341513268607,1,-1.1138149302613454,0.2653585904699874
ASD / CTRL,08,f,0.6090768369416497,0.22713132907431507,Inf,0.2932579789938347,1.2650110819547187,1,-1.3295695736474862,0.183660128526206
ASD / CTRL,09,f,0.5988939130320683,0.22335517988189962,Inf,0.2883351304402058,1.243948035465777,1,-1.3746510095437288,0.16923966626659953
ASD / CTRL,10,f,0.5753754203301515,0.21467959074746387,Inf,0.27692210360091674,1.1954873591354684,1,-1.4814110650080574,0.13849706795313216
ASD / CTRL,11,f,0.5845620032380253,0.21807041923787227,Inf,0.2813782225563785,1.2144249562923641,1,-1.4391998343376384,0.1500939123316295
ASD / CTRL,12,f,0.5525749932573073,0.20622640325465527,Inf,0.26589763130828886,1.1483333705191787,1,-1.589363727471741,0.11197829878234335
ASD / CTRL,13,f,0.6162675825966011,0.23013607799247246,Inf,0.2964152939934901,1.2812622730856777,1,-1.2962727539564467,0.19488153194993352
ASD / CTRL,14,f,0.6515464680084201,0.2431369951477476,Inf,0.31354746885675794,1.3539028126174508,1,-1.1480226654669425,0.25095920719379183
ASD / CTRL,15,f,0.6542112988956912,0.24428099232389713,Inf,0.31468884228177474,1.3600495667385617,1,-1.1363886177660592,0.25579395731863425
ASD / CTRL,16,f,0.6628615422152364,0.24773791376188956,Inf,0.31863590024362987,1.378957687479679,1,-1.1002008826144136,0.27124460613317114
ASD / CTRL,17,f,0.7010690014323182,0.26194432457146566,Inf,0.3370711482347115,1.4581424347451561,1,-0.9505223291751893,0.3418469135519541
ASD / CTRL,18,f,0.6255753105443769,0.23379692667543847,Inf,0.3007178040951834,1.3013678067389216,1,-1.2551366489124425,0.20942915825371336
ASD / CTRL,19,f,0.6326427589932749,0.23633072894570645,Inf,0.30421649016863467,1.3156317078168966,1,-1.22563449513807,0.22033625072540197
ASD / CTRL,20,f,0.5688226510351796,0.21251430841312535,Inf,0.27350466881426233,1.1830116455906627,1,-1.510119990614809,0.1310128094381121
ASD / CTRL,21,f,0.564199675299104,0.21072143657749334,Inf,0.2713437550362906,1.1731291680733198,1,-1.5324403077061814,0.12541381718627637
ASD / CTRL,22,f,0.5535438020587842,0.20672283675676417,Inf,0.26623665516814327,1.1508961476554722,1,-1.5836362207521006,0.11327652637698857
ASD / CTRL,23,f,0.5998100188669444,0.22404429680993224,Inf,0.28844850405382805,1.2472661625106796,1,-1.3684270586071325,0.17117843929314805
ASD / CTRL,24,f,0.5964938215675193,0.22272592388807447,Inf,0.2869288658124839,1.2400456055918476,1,-1.383764570857926,0.16643055470287355
ASD / CTRL,25,f,0.6101654540937214,0.22782322683881817,Inf,0.29351241248803883,1.2684365823355737,1,-1.323118223323076,0.1857960653780133
ASD / CTRL,26,f,0.6406685976488543,0.23902615311943495,Inf,0.3083612812979269,1.3310888133740189,1,-1.1933973822659802,0.23271377971114432
ASD / CTRL,27,f,0.6579395715412786,0.24539656859060335,Inf,0.31674305257967134,1.3666739531438863,1,-1.122433225825448,0.26167828399684
ASD / CTRL,28,f,0.6490076554623919,0.24203411949069478,Inf,0.31247237527070787,1.347994159432104,1,-1.1592291104676806,0.24636280855079135
ASD / CTRL,29,f,0.6659208003859801,0.24830917108391068,Inf,0.32064594548198505,1.3829911733957008,1,-1.090387024473204,0.2755426951494641
ASD / CTRL,30,f,0.6900472620064363,0.2574204042121259,Inf,0.3321545695105165,1.4335651757080623,1,-0.9944985306518002,0.31998022040000945
ASD / CTRL,31,f,0.6545790628086758,0.24422143124461002,Inf,0.3150514169298902,1.3600121327587449,1,-1.1357984511030759,0.2560409254656162
ASD / CTRL,32,f,0.6534574055336269,0.24391449890699826,Inf,0.31440634292504294,1.3581360251009336,1,-1.1398736178149143,0.25433895770598497
ASD / CTRL,33,f,0.606841265866543,0.22657003532189315,Inf,0.29192467515613907,1.2614772004509125,1,-1.3378200997812089,0.18095508806682067
ASD / CTRL,34,f,0.582658285124988,0.21749370544519486,Inf,0.28033598225606526,1.2110135648398257,1,-1.4470553693825094,0.14788141657950446
ASD / CTRL,35,f,0.6000545117149199,0.2239161849154579,Inf,0.28877298350692465,1.2468805518324972,1,-1.368675989924374,0.17110057877193705
ASD / CTRL,36,f,0.5527021233256496,0.20630284315993377,Inf,0.26593146253726846,1.1487156661121687,1,-1.5885240577307314,0.11216788539790366
ASD / CTRL,37,f,0.5520915123535968,0.2060247701248049,Inf,0.26568497036638716,1.147242305774944,1,-1.5918729074087223,0.11141326416818835
