term,Chisq,Df,Pr(>Chisq),fix,panel
(Intercept),37.313377268617984,1,1.005922310074839e-9,Eyes,Overall
Group,0.03862510513731411,1,0.8441932348952577,Eyes,Overall
progress_bin,7.061877559687577,9,0.6306770219518758,Eyes,Overall
medication,10.352730680925752,3,0.01579392191569742,Eyes,Overall
Sex,0.6345300550452965,1,0.42569851254007207,Eyes,Overall
session,12.655816913437096,3,0.0054432488364933446,Eyes,Overall
Group:progress_bin,7.343943906551465,9,0.6013572141341301,Eyes,Overall
Group:medication,31.323108427770592,3,7.267762521881663e-7,Eyes,Overall
progress_bin:medication,17.035715984547778,27,0.9302378436615838,Eyes,Overall
Group:progress_bin:medication,18.463208056156432,27,0.8887254388301755,Eyes,Overall
(Intercept),30.420667071523372,1,3.4780286454293915e-8,Eyes,Female
Group,1.6192959180221585e-4,1,0.9898470686118231,Eyes,Female
progress_bin,8.69234854198163,9,0.4661439812089114,Eyes,Female
medication,1.8112340232501238,3,0.612493343102726,Eyes,Female
session,18.873268435388123,3,2.903998364618464e-4,Eyes,Female
Group:progress_bin,6.0589866143683455,9,0.7340004467964654,Eyes,Female
Group:medication,48.46176618846946,3,1.6982445434436797e-10,Eyes,Female
progress_bin:medication,14.964937819973855,27,0.9699208262537882,Eyes,Female
Group:progress_bin:medication,17.57150089627183,27,0.9160711187251965,Eyes,Female
(Intercept),13.159020117169034,1,2.861384783974599e-4,Eyes,Male
Group,0.15583756997394813,1,0.6930180429873831,Eyes,Male
progress_bin,7.139854264756218,9,0.6225611690869929,Eyes,Male
medication,15.92756660907509,3,0.0011734251122799612,Eyes,Male
session,0.7065585616666733,3,0.871660235657086,Eyes,Male
Group:progress_bin,5.3345230364106975,9,0.8042267209473836,Eyes,Male
Group:medication,7.885295258768138,3,0.04844275436008391,Eyes,Male
progress_bin:medication,20.81755984355257,27,0.7947584985702976,Eyes,Male
Group:progress_bin:medication,22.236175525105633,27,0.7252813198441695,Eyes,Male
(Intercept),0.3440148579600124,1,0.5575208866801784,Background,Overall
Group,2.424045962130518,1,0.11948596682735158,Background,Overall
progress_bin,4.670084596283902,9,0.862067792643108,Background,Overall
medication,23.031285216211955,3,3.9781178360094303e-05,Background,Overall
Sex,6.230916571142528,1,0.012553874001621204,Background,Overall
session,12.38712203931779,3,0.006168130091368011,Background,Overall
Group:progress_bin,3.284430835055195,9,0.951943103833412,Background,Overall
Group:medication,22.12959798343865,3,6.130361464317646e-5,Background,Overall
progress_bin:medication,15.129423522655461,27,0.9675773994156736,Background,Overall
Group:progress_bin:medication,15.591981966168719,27,0.9602843658897867,Background,Overall
(Intercept),1.3180819395871963,1,0.2509365728513406,Background,Female
Group,3.098650517903795,1,0.07835722239712974,Background,Female
progress_bin,8.961981515438788,9,0.4407910260817118,Background,Female
medication,3.806826939733921,3,0.28309304117021705,Background,Female
session,9.514020277872428,3,0.02318267502709136,Background,Female
Group:progress_bin,5.072560408968066,9,0.8279376473965129,Background,Female
Group:medication,7.522012722636966,3,0.05699554043061893,Background,Female
progress_bin:medication,16.68271720430571,27,0.9386576436916435,Background,Female
Group:progress_bin:medication,29.091146282990312,27,0.3564932813652093,Background,Female
(Intercept),11.515534387495451,1,6.901698789544197e-4,Background,Male
Group,0.11745626044457212,1,0.731809925182905,Background,Male
progress_bin,2.2281296211571604,9,0.987325009182261,Background,Male
medication,27.375454347510654,3,4.911234958822417e-6,Background,Male
session,8.52209571054746,3,0.03636830977632546,Background,Male
Group:progress_bin,3.4581469903253512,9,0.943337708896409,Background,Male
Group:medication,21.934684755556866,3,6.7304522036583e-5,Background,Male
progress_bin:medication,17.022981334475592,27,0.930554106190312,Background,Male
Group:progress_bin:medication,14.087125906286232,27,0.9803896162722249,Background,Male
