fix,random_structure,formula,converged,pdHess,AIC,BIC,logLik,error,delta_AIC
Background,id_plus_medication_diag,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + diag(0 + medication | ID),TRUE,TRUE,-2577.883338245003,-2064.4502651810694,1378.9416691225015,NA,0
Background,id_plus_subject_session_plus_medication_diag,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + (1 | subject_session) + diag(0 + medication | ID),TRUE,TRUE,-2575.8833383051697,-2056.7454533183036,1378.9416691525848,NA,1.9999999398332875
Background,id_plus_session_diag,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + diag(0 + session | ID),TRUE,TRUE,-2573.9814140016915,-2060.548340937758,1376.9907070008458,NA,3.9019242433114414
Background,id_plus_subject_session,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + (1 | subject_session),TRUE,TRUE,-2570.3200754863597,-2074.001438191224,1372.1600377431798,NA,7.5632627586433046
Background,id_intercept,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID),TRUE,TRUE,-1912.0508103125972,-1421.436984940394,1042.0254051562986,NA,665.8325279324058
Eyes,id_plus_subject_session,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + (1 | subject_session),TRUE,TRUE,-4248.771092083101,-3752.4524547879655,2211.3855460415507,NA,0
Eyes,id_plus_session_diag,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + diag(0 + session | ID),TRUE,TRUE,-4247.518300278787,-3734.0852272148536,2213.7591501393936,NA,1.2527918043142563
Eyes,id_plus_medication_diag,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + diag(0 + medication | ID),TRUE,TRUE,-4243.202385836379,-3729.7693127724456,2211.6011929181896,NA,5.568706246722286
Eyes,id_plus_subject_session_plus_medication_diag,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID) + (1 | subject_session) + diag(0 + medication | ID),TRUE,TRUE,-4241.202385836796,-3722.0645008499296,2211.601192918398,NA,7.568706246305737
Eyes,id_intercept,window_fix_duration_prop_beta ~ Group * progress_bin * medication + Sex + session + (1 | ID),TRUE,TRUE,-3325.6040345693154,-2834.9902091971126,1748.8020172846577,NA,923.167057513786
