fix,random_structure,term,Chisq,Df,Pr(>Chisq)
Background,id_intercept,Group:medication,22.12959798343865,3,6.130361464317646e-5
Background,id_intercept,Group:progress_bin:medication,15.591981966168719,27,0.9602843658897867
Background,id_intercept,medication,23.031285216211955,3,3.9781178360094303e-05
Background,id_intercept,session,12.38712203931779,3,0.006168130091368011
Background,id_plus_medication_diag,Group:medication,3.5816336166348663,3,0.31032782978320256
Background,id_plus_medication_diag,Group:progress_bin:medication,23.13094250037852,27,0.6779580365198474
Background,id_plus_medication_diag,medication,6.75669901674999,3,0.08007047467186926
Background,id_plus_medication_diag,session,0.43093840207755324,3,0.933779738834343
Background,id_plus_session_diag,Group:medication,6.261980707602694,3,0.09953714834129444
Background,id_plus_session_diag,Group:progress_bin:medication,22.78372587094792,27,0.6965750845431667
Background,id_plus_session_diag,medication,6.530591476579473,3,0.08846382770285581
Background,id_plus_session_diag,session,2.9055978916204337,3,0.40641029911535775
Background,id_plus_subject_session,Group:medication,4.036488577339571,3,0.2575508838929641
Background,id_plus_subject_session,Group:progress_bin:medication,22.95360852675777,27,0.6875022772663526
Background,id_plus_subject_session,medication,5.472235498816375,3,0.1403087050567334
Background,id_plus_subject_session,session,1.7118531750134247,3,0.634301786762332
Background,id_plus_subject_session_plus_medication_diag,Group:medication,3.581666597419382,3,0.31032367577655107
Background,id_plus_subject_session_plus_medication_diag,Group:progress_bin:medication,23.131573820710674,27,0.6779239319260211
Background,id_plus_subject_session_plus_medication_diag,medication,6.756768118422412,3,0.08006803089826668
Background,id_plus_subject_session_plus_medication_diag,session,0.4309285644626654,3,0.9337818157984248
Eyes,id_intercept,Group:medication,31.323108427770592,3,7.267762521881663e-7
Eyes,id_intercept,Group:progress_bin:medication,18.463208056156432,27,0.8887254388301755
Eyes,id_intercept,medication,10.352730680925752,3,0.01579392191569742
Eyes,id_intercept,session,12.655816913437096,3,0.0054432488364933446
Eyes,id_plus_medication_diag,Group:medication,2.7883412861332917,3,0.4254227467591246
Eyes,id_plus_medication_diag,Group:progress_bin:medication,24.324234336022446,27,0.612276348153269
Eyes,id_plus_medication_diag,medication,1.1729454073292016,3,0.7595001624996814
Eyes,id_plus_medication_diag,session,2.180992938277579,3,0.5357018664250178
Eyes,id_plus_session_diag,Group:medication,4.554679153897537,3,0.20746458003003648
Eyes,id_plus_session_diag,Group:progress_bin:medication,24.422078397784563,27,0.6068146753204091
Eyes,id_plus_session_diag,medication,1.8486788324488905,3,0.6043995967655249
Eyes,id_plus_session_diag,session,2.9207988661922406,3,0.4039983188932379
Eyes,id_plus_subject_session,Group:medication,3.1669462998396356,3,0.36659463232851813
Eyes,id_plus_subject_session,Group:progress_bin:medication,24.33239692036422,27,0.6118209797848531
Eyes,id_plus_subject_session,medication,1.2428494456141057,3,0.7427466409200792
Eyes,id_plus_subject_session,session,2.797193413552045,3,0.4239621395757209
Eyes,id_plus_subject_session_plus_medication_diag,Group:medication,2.7885346881495043,3,0.42539079094083754
Eyes,id_plus_subject_session_plus_medication_diag,Group:progress_bin:medication,24.324252814956356,27,0.6122753173219
Eyes,id_plus_subject_session_plus_medication_diag,medication,1.172972811798027,3,0.7594935757970586
Eyes,id_plus_subject_session_plus_medication_diag,session,2.1809556134603216,3,0.5357092563576781
