contrast,medication,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value,fix,Panel,significant,med_x
CTRL - ASD,BOTH,0.12194376850200815,0.32569775727627515,Inf,-0.5164121056049593,0.7602996426089756,0.37440776234319784,0.7081009687212778,Eyes,Overall,FALSE,1
CTRL - ASD,NAL,0.22241600334984285,0.3344570006192815,Inf,-0.4331076722412393,0.8779396789409251,0.6650062726688835,0.5060464810505427,Eyes,Overall,FALSE,2
CTRL - ASD,OXT,0.21501147568400425,0.32165032286399375,Inf,-0.41541157274510365,0.8454345241131122,0.6684634225438644,0.5038378227964968,Eyes,Overall,FALSE,3
CTRL - ASD,PLA,0.5878498741987629,0.32881306859320397,Inf,-0.056611897890015084,1.232311646287541,1.787793522665701,0.0738093262972027,Eyes,Overall,FALSE,4
CTRL - ASD,BOTH,0.17550949781004013,0.4499723042140477,Inf,-0.706420012489994,1.0574390081100742,0.3900451120354996,0.6965031888846714,Eyes,Female,FALSE,1
CTRL - ASD,NAL,0.5859251690172204,0.46252576160450815,Inf,-0.32060866564957435,1.492459003684015,1.266794668873444,0.2052287188321606,Eyes,Female,FALSE,2
CTRL - ASD,OXT,0.5253510622324981,0.45725569402467076,Inf,-0.3708536297817232,1.4215557542467194,1.1489218594709358,0.25058820306171015,Eyes,Female,FALSE,3
CTRL - ASD,PLA,0.9942153133853942,0.4605620285062477,Inf,0.09153032486643908,1.896900301904349,2.158700135592935,0.030873438267023042,Eyes,Female,TRUE,4
CTRL - ASD,BOTH,-0.4832169742132711,0.2937251344787773,Inf,-1.0589076591458586,0.09247371071931637,-1.6451332129637182,0.09994234269460658,Background,Overall,FALSE,1
CTRL - ASD,NAL,-0.11261390459982978,0.3006463181673487,Inf,-0.7018698602924033,0.4766420510927437,-0.37457270485230265,0.7079782758609032,Background,Overall,FALSE,2
CTRL - ASD,OXT,-0.24869934713589728,0.290490104395513,Inf,-0.818049489616383,0.3206507953445885,-0.8561370710145911,0.3919219655854466,Background,Overall,FALSE,3
CTRL - ASD,PLA,-0.5715892136252488,0.29616998163769737,Inf,-1.1520717109370247,0.008893283686526976,-1.9299363509583152,0.05361472466343436,Background,Overall,FALSE,4
CTRL - ASD,BOTH,-0.8112353656760222,0.45396011739070324,Inf,-1.7009808461793754,0.07851011482733106,-1.7870190234747605,0.07393441395137622,Background,Female,FALSE,1
CTRL - ASD,NAL,-0.6552835703069738,0.4644917390506622,Inf,-1.5656706499626485,0.25510350934870085,-1.41075398164509,0.15831716778397198,Background,Female,FALSE,2
CTRL - ASD,OXT,-0.8425578072797898,0.46158767771073705,Inf,-1.747253031300316,0.06213741674073647,-1.8253472697938768,0.06794864114661277,Background,Female,FALSE,3
CTRL - ASD,PLA,-1.0403724236641856,0.46366169008940467,Inf,-1.9491326372503908,-0.13161221007798052,-2.2438179515404384,0.024844116903047553,Background,Female,TRUE,4
