contrast,progress_bin,odds.ratio,SE,df,null,z.ratio,p.value,progress_bin_index,progress_start,progress_end,Figure_Panel,Panel,fix,p.value_fdr,significant_fdr
CTRL / ASD,01,1.2655106962426028,0.3527812204417777,Inf,1,0.8447079012577786,0.39827394686267564,1,0,0.1,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,02,1.1479302950424497,0.31994314383024786,Inf,1,0.49499146779712655,0.6206061432702484,2,0.10000000000000002,0.2,A,Full Sample,Eyes,0.6206061432702484,FALSE
CTRL / ASD,03,1.3083222121169524,0.36467064258860715,Inf,1,0.9641735511998699,0.3349589222590394,3,0.2,0.3,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,04,1.2667037013616433,0.35340779481322526,Inf,1,0.8473824849532999,0.3967819639208097,4,0.30000000000000004,0.4,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,05,1.2622449760610013,0.3525118258789204,Inf,1,0.8339197778781604,0.4043261913654459,5,0.4,0.5,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,06,1.4675152269879852,0.40984378539737515,Inf,1,1.3734398026937142,0.16961566314860788,6,0.5,0.6000000000000001,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,07,1.3038724384529679,0.36376376465035104,Inf,1,0.9510780545963746,0.3415647540645744,7,0.6000000000000001,0.7000000000000002,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,08,1.277675328477583,0.35589307973313306,Inf,1,0.8797149754254391,0.37901373469375765,8,0.7000000000000001,0.8000000000000002,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,09,1.4034301853193694,0.3917435846034719,Inf,1,1.2141862590378283,0.22467660647595805,9,0.8,0.9000000000000001,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,10,1.5509224563045738,0.43288622218398237,Inf,1,1.5722887674173704,0.11588359685262607,10,0.8999999999999999,1,A,Full Sample,Eyes,0.44925132373938437,FALSE
CTRL / ASD,01,1.9864976692489986,0.781585235302429,Inf,1,1.7445040507969078,0.08107123567878464,1,0,0.1,A,Female,Eyes,0.2713136866343595,FALSE
CTRL / ASD,02,1.6008481282912375,0.6306627767197757,Inf,1,1.1943828160042946,0.2323282555877763,2,0.10000000000000002,0.2,A,Female,Eyes,0.291775547061424,FALSE
CTRL / ASD,03,1.8998607427741359,0.748727207173318,Inf,1,1.628488636624734,0.10342131677641477,3,0.2,0.3,A,Female,Eyes,0.2713136866343595,FALSE
CTRL / ASD,04,1.5569640408299754,0.6153211065256597,Inf,1,1.1202717130792845,0.2625979923552816,4,0.30000000000000004,0.4,A,Female,Eyes,0.291775547061424,FALSE
CTRL / ASD,05,1.3165608878339543,0.52030242448451125,Inf,1,0.6959115322710241,0.4864842347166255,5,0.4,0.5,A,Female,Eyes,0.4864842347166255,FALSE
CTRL / ASD,06,1.9087864097610823,0.7529466008699518,Inf,1,1.6388528324861118,0.10124391299098363,6,0.5,0.6000000000000001,A,Female,Eyes,0.2713136866343595,FALSE
CTRL / ASD,07,1.707453941636662,0.6734181082065356,Inf,1,1.3565028130895032,0.17493924092859878,7,0.6000000000000001,0.7000000000000002,A,Female,Eyes,0.29156540154766464,FALSE
CTRL / ASD,08,1.5547645323694972,0.6109249514744043,Inf,1,1.1231413429722683,0.26137746987113936,8,0.7000000000000001,0.8000000000000002,A,Female,Eyes,0.291775547061424,FALSE
CTRL / ASD,09,1.8833025994870938,0.7428586715194787,Inf,1,1.6048561087694266,0.1085254746537438,9,0.8,0.9000000000000001,A,Female,Eyes,0.2713136866343595,FALSE
CTRL / ASD,10,1.7087702639221543,0.6731894363129979,Inf,1,1.3599658211329844,0.173840740033688,10,0.8999999999999999,1,A,Female,Eyes,0.29156540154766464,FALSE
CTRL / ASD,01,0.8062014605382826,0.3185446217151389,Inf,1,-0.5452084579364791,0.5856101550792745,1,0,0.1,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,02,0.8231536389918633,0.324652662027276,Inf,1,-0.49343786632452513,0.6217032322272875,2,0.10000000000000002,0.2,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,03,0.9009644613316229,0.35527642235792156,Inf,1,-0.2644732281830854,0.7914152914156672,3,0.2,0.3,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,04,1.0305557642731116,0.405923731592646,Inf,1,0.07641314317417229,0.9390904134375271,4,0.30000000000000004,0.4,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,05,1.210169916419529,0.47774058184549295,Inf,1,0.4832182187936892,0.6289408006068002,5,0.4,0.5,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,06,1.128256640150303,0.4460794849577474,Inf,1,0.3052165497915724,0.7602012285077956,6,0.5,0.6000000000000001,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,07,0.9956832768957098,0.39300753518982556,Inf,1,-0.0109600764210421,0.9912552993124626,7,0.6000000000000001,0.7000000000000002,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,08,1.049968796569087,0.41470420971503746,Inf,1,0.12345412896894102,0.9017474961289034,8,0.7000000000000001,0.8000000000000002,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,09,1.0458310234382802,0.41322986497754066,Inf,1,0.1134128534196405,0.90970324990392,9,0.8,0.9000000000000001,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,10,1.4076558541864892,0.5566617476853094,Inf,1,0.864643321873701,0.3872345869134367,10,0.8999999999999999,1,A,Male,Eyes,0.9912552993124626,FALSE
CTRL / ASD,01,0.6110180743539035,0.15747048806733596,Inf,1,-1.9115014308910951,0.055940173090495066,1,0,0.1,A,Full Sample,Background,0.3218363425291338,FALSE
CTRL / ASD,02,0.7478157266711428,0.19190704008212706,Inf,1,-1.1323934103948057,0.25746907402330704,2,0.10000000000000002,0.2,A,Full Sample,Background,0.3218363425291338,FALSE
CTRL / ASD,03,0.6944559952227959,0.17810460526889849,Inf,1,-1.4217321617883782,0.15510401973167592,3,0.2,0.3,A,Full Sample,Background,0.3218363425291338,FALSE
CTRL / ASD,04,0.7139144275815945,0.18259117423165802,Inf,1,-1.3176079041422974,0.18763493827291353,4,0.30000000000000004,0.4,A,Full Sample,Background,0.3218363425291338,FALSE
CTRL / ASD,05,0.7373380108941221,0.18873125929117768,Inf,1,-1.1904409816264383,0.23387311366286442,5,0.4,0.5,A,Full Sample,Background,0.3218363425291338,FALSE
