model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
raw_cortisol_sex_interaction,Group,0.4586109818022799,0.459,,FALSE,,0.13263969031534645,0.13263969031534645,1,65.21714548302081,0.5558622538063959
raw_cortisol_sex_interaction,medication,5.8396996661400885e-5,<0.001 ***,***,TRUE,significant,5.645336940160822,1.8817789800536076,3,172.10637416053203,7.886100325862081
raw_cortisol_sex_interaction,timepoint,1.125000820441914e-25,<0.001 ***,***,TRUE,significant,31.16840009257094,15.58420004628547,2,457.1912174477897,65.30977674105522
raw_cortisol_sex_interaction,Sex,0.16331549219416808,0.163,,FALSE,,0.4743441545979366,0.4743441545979366,1,65.21714530326406,1.9878666048437827
raw_cortisol_sex_interaction,Group:medication,0.10987543382383484,0.110,,FALSE,,1.4615466684725043,0.48718222282416807,3,172.1063743394974,2.0416679784883325
raw_cortisol_sex_interaction,Group:timepoint,0.2346420526562577,0.235,,FALSE,,0.6940495923467003,0.34702479617335014,2,457.1912170886787,1.4543006310480295
raw_cortisol_sex_interaction,medication:timepoint,4.400715967576017e-10,<0.001 ***,***,TRUE,significant,13.912265488708812,2.318710914784802,6,457.2402611848406,9.717180973157367
raw_cortisol_sex_interaction,Group:Sex,0.14434617076190018,0.144,,FALSE,,0.5209311696330963,0.5209311696330963,1,65.21714527499194,2.183102006208107
raw_cortisol_sex_interaction,medication:Sex,0.41952882102085554,0.420,,FALSE,,0.6774967039187105,0.22583223463957017,3,172.1063738985712,0.9464106454895896
raw_cortisol_sex_interaction,timepoint:Sex,0.26750643144214337,0.268,,FALSE,,0.6311119476862657,0.31555597384313283,2,457.1912170413141,1.3224220774754134
raw_cortisol_sex_interaction,Group:medication:timepoint,0.6707641461366548,0.671,,FALSE,,0.9649526808460442,0.16082544680767405,6,457.24026107065623,0.6739822380419951
raw_cortisol_sex_interaction,Group:medication:Sex,0.6912951216952916,0.691,,FALSE,,0.34909736702557526,0.11636578900852508,3,172.1063741405906,0.48766209865580784
raw_cortisol_sex_interaction,Group:timepoint:Sex,0.5921764210311097,0.592,,FALSE,,0.2503367010866312,0.1251683505433156,2,457.1912170375875,0.5245515974352846
raw_cortisol_sex_interaction,medication:timepoint:Sex,0.4318497430438103,0.432,,FALSE,,1.416363422010257,0.23606057033504285,6,457.2402611741799,0.9892752339009215
raw_cortisol_sex_interaction,Group:medication:timepoint:Sex,0.984428091158245,0.984,,FALSE,,0.24511262207050535,0.04085210367841756,6,457.24026117135753,0.17120171473131374
