model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
t2t3_predictor_sex_interaction,medication,0.8209143225696397,0.821,,FALSE,,0.046594830533083116,0.015531610177694373,3,149.4974273605787,0.30615050284078715
t2t3_predictor_sex_interaction,Group,0.45892049695583803,0.459,,FALSE,,0.028134393179887533,0.028134393179887533,1,70.82490190799845,0.5545695855483808
t2t3_predictor_sex_interaction,T2T3,0.2538827129984157,0.254,,FALSE,,0.06652821592197476,0.06652821592197476,1,157.65031930498156,1.3113673678768931
t2t3_predictor_sex_interaction,Sex,0.07477005216053502,0.075 .,.,FALSE,trend,0.16593163539154476,0.16593163539154476,1,70.82490191691683,3.2707525511599416
t2t3_predictor_sex_interaction,medication:Group,0.653971630093583,0.654,,FALSE,,0.0825586245236552,0.027519541507885065,3,149.4974273354205,0.5424499697195989
t2t3_predictor_sex_interaction,medication:T2T3,0.08143794590247153,0.081 .,.,FALSE,trend,0.34704706122445456,0.11568235374148485,3,158.57800675028884,2.2802665250138827
t2t3_predictor_sex_interaction,Group:T2T3,0.016156730109767824,0.016 *,*,TRUE,significant,0.2999385626745336,0.2999385626745336,1,157.65031928058428,5.9122229268944215
t2t3_predictor_sex_interaction,medication:Sex,0.8321481305462122,0.832,,FALSE,,0.044226209882325174,0.014742069960775058,3,149.49742735003653,0.2905875231073649
t2t3_predictor_sex_interaction,Group:Sex,0.26749075766330904,0.267,,FALSE,,0.06337208846807792,0.06337208846807792,1,70.82490192412587,1.2491555304701183
t2t3_predictor_sex_interaction,T2T3:Sex,0.0174287013102076,0.017 *,*,TRUE,significant,0.2929161581294357,0.2929161581294357,1,157.65031927870876,5.7738011755089325
t2t3_predictor_sex_interaction,medication:Group:T2T3,0.011093932655086862,0.011 *,*,TRUE,significant,0.5825083584683861,0.19416945282279535,3,158.5780067409981,3.827360778304298
t2t3_predictor_sex_interaction,medication:Group:Sex,0.10076458633174387,0.101,,FALSE,,0.321857079114533,0.10728569303817767,3,149.49742732141308,2.1147561969094095
t2t3_predictor_sex_interaction,medication:T2T3:Sex,0.18561378706160753,0.186,,FALSE,,0.24739352282881258,0.08246450760960419,3,158.57800675058098,1.6254947286441634
t2t3_predictor_sex_interaction,Group:T2T3:Sex,0.09687583221346772,0.097 .,.,FALSE,trend,0.14151013831770026,0.14151013831770026,1,157.65031928263323,2.7893695185095435
t2t3_predictor_sex_interaction,medication:Group:T2T3:Sex,0.6915202531950262,0.692,,FALSE,,0.07417920378795075,0.024726401262650247,3,158.57800673757214,0.4873931352510416
