model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
label_sex_interaction,Group,0.17349740932172852,0.173,,FALSE,,0.19784377366026815,0.19784377366026815,1,67.55560836336504,1.8922054961873445
label_sex_interaction,label,1.4517921508125646e-6,<0.001 ***,***,TRUE,significant,5.255849095895252,0.43798742465793766,12,2756.877178827466,4.188972929832088
label_sex_interaction,medication,0.07069053087951335,0.071 .,.,FALSE,trend,0.7366957733356747,0.24556525777855823,3,2770.6657745603975,2.3486204384634872
label_sex_interaction,Sex,0.18702068665359026,0.187,,FALSE,,0.18577742681045367,0.18577742681045367,1,67.55560852124604,1.7768012688734827
label_sex_interaction,Group:label,0.3575463163568459,0.358,,FALSE,,1.3767219692287496,0.11472683076906245,12,2756.877178544919,1.0972634403655819
label_sex_interaction,Group:medication,1.677630486287421e-5,<0.001 ***,***,TRUE,significant,2.60710202383899,0.86903400794633,3,2770.6657736378675,8.311562682955413
label_sex_interaction,label:medication,0.9915329066318561,0.992,,FALSE,,1.9700073391642463,0.05472242608789573,36,2756.863213335392,0.5233729295217977
label_sex_interaction,Group:Sex,0.33843714766236477,0.338,,FALSE,,0.09718363519823321,0.09718363519823321,1,67.55560852962779,0.9294778665986021
label_sex_interaction,label:Sex,0.8249316249639662,0.825,,FALSE,,0.7808667614862969,0.06507223012385807,12,2756.8771787836517,0.6223599015098014
label_sex_interaction,medication:Sex,4.502251765673334e-7,<0.001 ***,***,TRUE,significant,3.397411729426217,1.1324705764754057,3,2770.665773584535,10.83110683461227
label_sex_interaction,Group:label:medication,0.9999991383412415,1.000,,FALSE,,0.909547433385127,0.025265206482920195,36,2756.863213690399,0.24163996513422006
label_sex_interaction,Group:label:Sex,0.15932321756816198,0.159,,FALSE,,1.753272874248894,0.1461060728540745,12,2756.8771785443573,1.3973788963182763
label_sex_interaction,Group:medication:Sex,4.652405641704922e-6,<0.001 ***,***,TRUE,significant,2.8878030684948266,0.9626010228316089,3,2770.6657735408485,9.20645068752709
label_sex_interaction,label:medication:Sex,0.9624790310266168,0.962,,FALSE,,2.3397094316590543,0.06499192865719595,36,2756.8632134776944,0.6215918870620438
label_sex_interaction,Group:label:medication:Sex,0.999923972325937,1.000,,FALSE,,1.2793652251083583,0.03553792291967662,36,2756.8632135937833,0.339889660551894
