contrast,label,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
ASD - CTRL,1,-0.08327071941018016,0.10485631244504154,Inf,-0.2887853153541406,0.12224387653378027,-0.7941412154258709,0.4271132259359228
ASD - CTRL,2,-0.1089552575600781,0.10485631244504155,Inf,-0.31446985350403855,0.09655933838388236,-1.0390910668080657,0.29876238517364134
ASD - CTRL,3,-0.1237848772395676,0.10480264639228677,Inf,-0.3291942896529363,0.08162453517380105,-1.1811235832369007,0.23755363258077883
ASD - CTRL,4,-0.06923611768311148,0.10480264639228679,Inf,-0.2746455300964802,0.1361732947302572,-0.6606332956894406,0.5088475109635926
ASD - CTRL,5,-0.07281102502077548,0.10480264639228676,Inf,-0.2782204374341441,0.13259838739259316,-0.6947441455651469,0.4872156571383461
ASD - CTRL,6,-0.12874878746196278,0.10496121108089773,Inf,-0.3344689809542287,0.07697140603030317,-1.2266320685146346,0.21996091046998723
ASD - CTRL,7,-0.11959322303185518,0.10482880704702535,Inf,-0.32505390938632345,0.08586746332261308,-1.1408431174668108,0.2539352140460668
ASD - CTRL,8,-0.1470254318577376,0.10501862906962188,Inf,-0.3528581625399676,0.05880729882449243,-1.3999938216701284,0.16151516860689066
ASD - CTRL,9,-0.1355091087687394,0.10492688092825797,Inf,-0.3411620163982476,0.07014379886076885,-1.291462278969214,0.19654342700623256
ASD - CTRL,10,-0.19732794871301687,0.10518768018547647,Inf,-0.4034920134938682,0.008836116067834437,-1.8759606482914188,0.06066068366597599
ASD - CTRL,11,-0.14061087857298665,0.10498014929483335,Inf,-0.3463681902824979,0.0651464331365246,-1.339404444721121,0.18043904323956728
ASD - CTRL,12,-0.20725114976467177,0.10490288883266817,Inf,-0.4128570337509104,-0.0016452657784331581,-1.9756476877892324,0.04819469357111131
ASD - CTRL,13,-0.19188715188706842,0.10561399301036492,Inf,-0.39888677445084864,0.015112470676711787,-1.8168724277685124,0.06923664942103662
