contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,01,BOTH,f,0.8877954388320001,0.4038760794376549,Inf,1,-0.2616149468718501,0.7936183193295222
ASD / CTRL,02,BOTH,f,0.9680731489794536,0.4405176221838084,Inf,1,-0.0713062889750733,0.9431539900945911
ASD / CTRL,03,BOTH,f,1.144638881575233,0.5232045307440486,Inf,1,0.29554092463664583,0.7675806943583161
ASD / CTRL,04,BOTH,f,1.137138360031925,0.5212773181503199,Inf,1,0.2803483156518822,0.7792102857733099
ASD / CTRL,05,BOTH,f,1.297297758135223,0.5945627570351535,Inf,1,0.5679217823527205,0.5700880805357105
ASD / CTRL,06,BOTH,f,1.1478766776841869,0.5265198381343614,Inf,1,0.30066884801402016,0.7636670258758489
ASD / CTRL,07,BOTH,f,1.1037083120147462,0.5062438867922723,Inf,1,0.21513186871143852,0.8296645079261562
ASD / CTRL,08,BOTH,f,0.9449868189409438,0.43148821750163285,Inf,1,-0.12392323891513007,0.9013760527795537
ASD / CTRL,09,BOTH,f,0.9523184349246067,0.4393558283669989,Inf,1,-0.10589659948031455,0.9156643921199762
ASD / CTRL,10,BOTH,f,1.059549380197804,0.4911141522966064,Inf,1,0.1247943297795638,0.9006863764803096
ASD / CTRL,11,BOTH,f,1.0787998854402203,0.4982341342802135,Inf,1,0.1642322538991248,0.8695483108856359
ASD / CTRL,12,BOTH,f,1.1168725976441234,0.5171627457180541,Inf,1,0.23870758719969382,0.8113323330790025
ASD / CTRL,13,BOTH,f,1.4089824058369609,0.6511849157406059,Inf,1,0.7418701044173688,0.4581660405187234
ASD / CTRL,14,BOTH,f,1.4999883362117408,0.691615212532146,Inf,1,0.8793636376699853,0.37920414133026276
ASD / CTRL,15,BOTH,f,1.2353855596723347,0.5709569531592228,Inf,1,0.457371868244434,0.6474037810140723
ASD / CTRL,16,BOTH,f,1.2402104832882321,0.5733788625142371,Inf,1,0.4656500381897523,0.6414660199143343
ASD / CTRL,17,BOTH,f,1.2255090119589713,0.5652916498993967,Inf,1,0.4408608387431492,0.6593137459865722
ASD / CTRL,18,BOTH,f,1.0853820342968363,0.4988957500635413,Inf,1,0.1782487699594986,0.8585276100555176
ASD / CTRL,19,BOTH,f,1.115394096814771,0.5096687565943321,Inf,1,0.23899783050957726,0.8111072650052185
ASD / CTRL,20,BOTH,f,0.9848072201760445,0.4505492513093325,Inf,1,-0.033463113194320125,0.9733052807540125
ASD / CTRL,21,BOTH,f,0.6906473657318944,0.314980314103827,Inf,1,-0.8115633685832091,0.41704221777330586
ASD / CTRL,22,BOTH,f,0.7407956769888104,0.34046662713296283,Inf,1,-0.6528136056040988,0.5138764512124554
ASD / CTRL,23,BOTH,f,0.7336306167780343,0.3358660881419927,Inf,1,-0.6765845546106838,0.49866958155021895
ASD / CTRL,24,BOTH,f,0.7182032338097435,0.32703689656067764,Inf,1,-0.7269124925026228,0.46727956385908925
ASD / CTRL,25,BOTH,f,0.8528090965474003,0.3892568845970158,Inf,1,-0.3488284821385308,0.7272180792597955
ASD / CTRL,26,BOTH,f,0.86034877146783,0.39175307432294537,Inf,1,-0.3303393239119808,0.7411435828711376
ASD / CTRL,27,BOTH,f,0.9069222586574541,0.41446466645306723,Inf,1,-0.2137817585248386,0.830717250697166
ASD / CTRL,28,BOTH,f,0.8187802407894549,0.3772773351307301,Inf,1,-0.4339156999560921,0.664349658444209
ASD / CTRL,29,BOTH,f,0.7956422299037703,0.36535613807115547,Inf,1,-0.49783839229588306,0.6185979533285277
ASD / CTRL,30,BOTH,f,0.8552277691841859,0.39387681887773607,Inf,1,-0.33956527160044675,0.7341839349091369
ASD / CTRL,31,BOTH,f,0.9803714705882202,0.45529088815567437,Inf,1,-0.042686153854026264,0.9659517171335804
ASD / CTRL,32,BOTH,f,1.0054525742319973,0.4674060024306824,Inf,1,0.011697352070452301,0.9906670762154827
ASD / CTRL,33,BOTH,f,0.9099648292605488,0.42355856748028087,Inf,1,-0.20269822875504476,0.8393709076887113
ASD / CTRL,34,BOTH,f,0.9928353857089741,0.4629771394752547,Inf,1,-0.015419523595307155,0.9876974877013566
ASD / CTRL,35,BOTH,f,1.0677967307294647,0.4979575095028795,Inf,1,0.14066397836432953,0.8881354031917199
ASD / CTRL,36,BOTH,f,0.8402896223760264,0.3876260116765667,Inf,1,-0.3772132548894634,0.7060151306734335
ASD / CTRL,37,BOTH,f,1.0788720738180302,0.49978635085465384,Inf,1,0.1638775867456579,0.8698275117279042
ASD / CTRL,01,NAL,f,0.4466221257768677,0.20799458108081076,Inf,1,-1.7307968670599925,0.08348800088298855
ASD / CTRL,02,NAL,f,0.49261710575264145,0.2325947318969271,Inf,1,-1.4995364337995871,0.13373452425126828
ASD / CTRL,03,NAL,f,0.4264222034734657,0.20130437139375723,Inf,1,-1.8054771744161566,0.07100004419684924
ASD / CTRL,04,NAL,f,0.4754328548831787,0.22585314490812405,Inf,1,-1.565169297911714,0.1175432183434116
ASD / CTRL,05,NAL,f,0.47687661500784784,0.22518080523077164,Inf,1,-1.5681884441022536,0.11683716046889296
ASD / CTRL,06,NAL,f,0.4475833280759294,0.21048349434442215,Inf,1,-1.709439993565937,0.08736947806056243
ASD / CTRL,07,NAL,f,0.547618225630596,0.25866773828629425,Inf,1,-1.274851860259664,0.20236168078218825
ASD / CTRL,08,NAL,f,0.5290784911172637,0.24887897202150738,Inf,1,-1.3533531699921186,0.17594283056166535
ASD / CTRL,09,NAL,f,0.5514032018483266,0.26003925599585564,Inf,1,-1.2622872836538064,0.20684543078121667
ASD / CTRL,10,NAL,f,0.5756147240661846,0.27230909236314776,Inf,1,-1.167502839790125,0.24300736216450525
