contrast,progress_window,medication,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,01,BOTH,1.4293122656834631,0.46338374194416326,Inf,1,1.1017669702097954,0.2705629933863496
ASD / CTRL,02,BOTH,1.450015712839884,0.46685718018638106,Inf,1,1.1540760877998937,0.24846897589636527
ASD / CTRL,03,BOTH,1.3305811472039057,0.4260975392040366,Inf,1,0.8918967215298675,0.3724482920809819
ASD / CTRL,04,BOTH,1.3416249684390555,0.4273346878082048,Inf,1,0.9226464084364033,0.35619150245042763
ASD / CTRL,05,BOTH,1.3950147404670687,0.4456790317659585,Inf,1,1.04202200186587,0.29740147838914244
ASD / CTRL,06,BOTH,1.430476451901822,0.4543173875223922,Inf,1,1.1272326688543097,0.25964412147349336
ASD / CTRL,07,BOTH,1.3860640699605764,0.4383198574814764,Inf,1,1.032364224481671,0.3019015247633588
ASD / CTRL,08,BOTH,1.400114275843474,0.4418427413650172,Inf,1,1.0664741508932623,0.2862093576339861
ASD / CTRL,09,BOTH,1.6753525649898575,0.5259624916344862,Inf,1,1.6436942279061846,0.10023937885255124
ASD / CTRL,10,BOTH,1.539346687140204,0.48468400277459545,Inf,1,1.369984679143251,0.17069168424344014
ASD / CTRL,11,BOTH,1.468741628651545,0.4638740478179572,Inf,1,1.2171258471162396,0.22355633789402843
ASD / CTRL,12,BOTH,1.3490728996202537,0.42896013538057026,Inf,1,0.9416637058827035,0.34636484241803134
ASD / CTRL,13,BOTH,1.2146363931603261,0.38588411713560583,Inf,1,0.6120482292737934,0.540505848564093
ASD / CTRL,14,BOTH,1.1490404485223398,0.3640212956745971,Inf,1,0.4385264703053318,0.6610046859868874
ASD / CTRL,15,BOTH,1.3995543352684108,0.44410614193881826,Inf,1,1.0593539229549565,0.2894386257926134
ASD / CTRL,16,BOTH,1.40613777212775,0.4463988320589792,Inf,1,1.073653185554817,0.2829781506148933
ASD / CTRL,17,BOTH,1.329029713192425,0.42294615847027067,Inf,1,0.8938285581838012,0.3714136268215601
ASD / CTRL,18,BOTH,1.3801266383816788,0.4394956750493636,Inf,1,1.0117111189516135,0.3116761975899879
ASD / CTRL,19,BOTH,1.1636638537917694,0.3684704136566177,Inf,1,0.4786832875568183,0.632163956903639
ASD / CTRL,20,BOTH,1.1803527304832795,0.3746431183351266,Inf,1,0.5224123786365439,0.6013832390967806
ASD / CTRL,21,BOTH,1.5713750477730375,0.49750915857127365,Inf,1,1.4274805004794802,0.15344144182234937
ASD / CTRL,22,BOTH,1.4945458384584602,0.4739480688816867,Inf,1,1.267104975948985,0.2051177565773222
ASD / CTRL,23,BOTH,1.5833079099378695,0.5041695283688419,Inf,1,1.443077591657699,0.14899861495498323
ASD / CTRL,24,BOTH,1.5681567114453379,0.4985637245374149,Inf,1,1.4150950401914186,0.1570406322223921
ASD / CTRL,25,BOTH,1.201690339048319,0.3821153188656326,Inf,1,0.577798301999264,0.5634003018097035
ASD / CTRL,26,BOTH,1.2262388733797114,0.38998767424270303,Inf,1,0.6412855278348168,0.5213371901473196
ASD / CTRL,27,BOTH,1.206093668495993,0.38223657891418794,Inf,1,0.5912725315112779,0.5543378312037712
ASD / CTRL,28,BOTH,1.3112405299929444,0.4159707456747492,Inf,1,0.8541745961365869,0.39300825667511186
ASD / CTRL,29,BOTH,1.4532452796136253,0.46146206224067976,Inf,1,1.177175628263888,0.23912541413041086
ASD / CTRL,30,BOTH,1.372829172661049,0.43698238470106254,Inf,1,0.9954942685313638,0.3194959304589355
