Sex,medication,direction,run_id,interval_start,interval_end,first_window,last_window
f,BOTH,ASD_gt_CTRL,1,0.2,0.325,9,10
f,BOTH,ASD_gt_CTRL,2,0.7250000000000001,0.8500000000000001,30,31
f,NAL,ASD_gt_CTRL,1,0.02500000000000001,0.15000000000000002,2,3
f,OXT,ASD_gt_CTRL,1,0,0.175,1,4
f,OXT,ASD_gt_CTRL,2,0.17500000000000004,0.35,8,11
f,OXT,ASD_gt_CTRL,3,0.675,0.7750000000000001,28,28
f,OXT,ASD_gt_CTRL,4,0.8250000000000001,0.975,34,36
f,PLA,ASD_gt_CTRL,1,0.05,0.6250000000000001,3,22
f,PLA,ASD_gt_CTRL,2,0.75,0.9250000000000002,31,34
m,NAL,ASD_lt_CTRL,1,0.525,0.6250000000000001,22,22
m,NAL,ASD_lt_CTRL,2,0.65,0.7500000000000001,27,27
m,NAL,ASD_lt_CTRL,3,0.7000000000000001,0.8500000000000001,29,31
