model,term,p_value,p_display,sig,significant_0_05,highlight,Estimate,Std. Error,z value
eyes_phase_duration_beta,(Intercept),2.364519423426755e-5,<0.001,***,TRUE,significant,-1.3199542144503578,0.3122409800117408,-4.22735739043839
eyes_phase_duration_beta,GroupCTRL,0.9669125679563103,0.967,,FALSE,,0.022167704889817733,0.5344083055269536,0.04148083901495366
eyes_phase_duration_beta,medicationNAL/PLA,0.9215871474256654,0.922,,FALSE,,0.03522325557415296,0.35783384416936903,0.09843466778810665
eyes_phase_duration_beta,medicationPLA/OXT,0.9955751964537496,0.996,,FALSE,,0.002200936019770383,0.39687273114097005,0.0055456972653246004
eyes_phase_duration_beta,medicationPLA/PLA,0.7359974899651134,0.736,,FALSE,,-0.1471389195130652,0.43640887051461247,-0.33715840683888776
eyes_phase_duration_beta,phaseLuteal,0.6802642238200421,0.680,,FALSE,,0.20021125157918546,0.4858286554867786,0.4121025989679072
eyes_phase_duration_beta,sessionsession_2,0.09328016804586929,0.093,.,FALSE,trend,-0.33578866626607995,0.2000715446088426,-1.6783429493813136
eyes_phase_duration_beta,sessionsession_3,0.892654739494494,0.893,,FALSE,,-0.02767852175051413,0.20510845724446017,-0.13494578489040684
eyes_phase_duration_beta,sessionsession_4,0.5141997658413109,0.514,,FALSE,,-0.1364063303608171,0.2091120204248426,-0.652312239553169
eyes_phase_duration_beta,GroupCTRL:medicationNAL/PLA,0.39846185789562005,0.398,,FALSE,,0.4583213812066296,0.5427959087005487,0.8443714734398959
eyes_phase_duration_beta,GroupCTRL:medicationPLA/OXT,0.16679937369599637,0.167,,FALSE,,0.8011655319890818,0.5794791451486222,1.3825614583310026
eyes_phase_duration_beta,GroupCTRL:medicationPLA/PLA,0.23990432020779823,0.240,,FALSE,,0.7602439588846077,0.6468917245931501,1.1752259767471105
eyes_phase_duration_beta,GroupCTRL:phaseLuteal,0.3875469405320694,0.388,,FALSE,,-0.6043762357181436,0.6994491830883909,-0.8640745465589703
eyes_phase_duration_beta,medicationNAL/PLA:phaseLuteal,0.5352721588395365,0.535,,FALSE,,-0.4398624178545555,0.7094804926093113,-0.6199781705580648
eyes_phase_duration_beta,medicationPLA/OXT:phaseLuteal,0.7393072250306998,0.739,,FALSE,,-0.23159101360609027,0.6959473101729872,-0.3327709012173999
eyes_phase_duration_beta,medicationPLA/PLA:phaseLuteal,0.8923233055589463,0.892,,FALSE,,0.0985406450784379,0.7279625788485147,0.13536498707709496
eyes_phase_duration_beta,GroupCTRL:medicationNAL/PLA:phaseLuteal,0.3160119313294975,0.316,,FALSE,,1.0232328255530487,1.0204908240534025,1.0026869438068584
eyes_phase_duration_beta,GroupCTRL:medicationPLA/OXT:phaseLuteal,0.7549463108714283,0.755,,FALSE,,0.3024325655531831,0.9689501453101435,0.3121239694498213
eyes_phase_duration_beta,GroupCTRL:medicationPLA/PLA:phaseLuteal,0.5878993036726174,0.588,,FALSE,,0.5437609136708135,1.0034660578237404,0.5418827168405586
