model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
full_phase_model,Group,0.1368281741620427,0.137,,FALSE,,0.20464553935428892,0.20464553935428892,1,33.94805685180858,2.321879775731335
full_phase_model,fix,1.8586729897146232e-26,<0.001 ***,***,TRUE,significant,14.19415058408061,4.73138352802687,3,234.6927730181352,53.68161827331678
full_phase_model,medication,0.4755675055758636,0.476,,FALSE,,0.22085820320999586,0.07361940106999862,3,254.9646948870118,0.8352754669621935
full_phase_model,phase,0.832457524553793,0.832,,FALSE,,0.07673487139815899,0.025578290466053,3,251.850596747781,0.2902077197397042
full_phase_model,Group:fix,0.03384704596218161,0.034 *,*,TRUE,significant,0.7777718357838187,0.25925727859460623,3,234.69277302422762,2.9414969599597325
full_phase_model,Group:medication,0.9866790104733014,0.987,,FALSE,,0.012292961106659008,0.004097653702219669,3,252.4878098021025,0.04649140796889343
full_phase_model,fix:medication,0.5750627699110015,0.575,,FALSE,,0.6705735973136743,0.07450817747929714,9,234.69277302494012,0.8453594002666215
full_phase_model,Group:phase,0.9784010625761448,0.978,,FALSE,,0.017154820651495303,0.0057182735504984344,3,252.51825920607982,0.0648787349623874
full_phase_model,fix:phase,0.7011722126275742,0.701,,FALSE,,0.5617629469898447,0.06241810522109386,9,234.6927730305448,0.7081871249655017
full_phase_model,medication:phase,0.8750603210449789,0.875,,FALSE,,0.3951752840763174,0.0439083648973686,9,245.3899320803984,0.49817819026161536
full_phase_model,Group:fix:medication,0.6916498007165708,0.692,,FALSE,,0.5700252449562665,0.06333613832847405,9,234.6927730308089,0.7186030006899544
full_phase_model,Group:fix:phase,0.6377759046055014,0.638,,FALSE,,0.6164140118597348,0.06849044576219275,9,234.69277303161974,0.7770830546701895
full_phase_model,Group:medication:phase,0.9833351506160354,0.983,,FALSE,,0.12861779702155166,0.018373971003078807,7,242.559214657437,0.20846851490891574
full_phase_model,fix:medication:phase,0.1727193229556101,0.173,,FALSE,,3.0318792090889928,0.11229182255885159,27,234.69277303116195,1.2740473728480755
full_phase_model,Group:fix:medication:phase,0.6701282610010164,0.670,,FALSE,,1.5526572809665282,0.0739360609984061,21,234.69277303132205,0.8388682463888733
