model,term,p_value,p_display,sig,significant_0_05,highlight,Estimate,Std. Error,z value
full_phase_duration_beta,(Intercept),7.009788147083779e-16,<0.001,***,TRUE,significant,-1.2689836371195782,0.15724025558727175,-8.070348349283016
full_phase_duration_beta,GroupCTRL,0.6972291890327162,0.697,,FALSE,,0.10152956230684633,0.26095886114253203,0.38906347867372215
full_phase_duration_beta,fix.L,1.025457221628007e-5,<0.001,***,TRUE,significant,1.218219744536726,0.27613168761032897,4.411734687457715
full_phase_duration_beta,fix.Q,3.977998966744988e-7,<0.001,***,TRUE,significant,1.4845235256571585,0.2928049924107812,5.070007561805828
full_phase_duration_beta,fix.C,0.360470661488386,0.360,,FALSE,,0.2808294930411137,0.30709582388516193,0.9144686159787361
full_phase_duration_beta,medicationNAL/PLA,0.7886284374314374,0.789,,FALSE,,0.05990153949377011,0.22343643334994304,0.26809208594890677
full_phase_duration_beta,medicationPLA/OXT,0.9493263515078848,0.949,,FALSE,,0.01504333269485404,0.23670622366457034,0.063552755233726
full_phase_duration_beta,medicationPLA/PLA,0.5030544506666184,0.503,,FALSE,,0.1892283459533269,0.2825604577587977,0.6696915324042193
full_phase_duration_beta,phaseLuteal,0.8241907293981479,0.824,,FALSE,,-0.06909525173910468,0.31101823143832963,-0.22215820410130926
full_phase_duration_beta,sessionsession_2,0.8972080055906609,0.897,,FALSE,,0.017864468537763335,0.1382815258175172,0.12918911931401542
full_phase_duration_beta,sessionsession_3,0.956116758349288,0.956,,FALSE,,0.007519117414645243,0.1366435376342655,0.055027244938363674
full_phase_duration_beta,sessionsession_4,0.8348823367476275,0.835,,FALSE,,0.030110567150805075,0.14445401769634086,0.2084439576758674
full_phase_duration_beta,GroupCTRL:fix.L,0.7064871899786866,0.706,,FALSE,,-0.18391276639029958,0.4883788584762244,-0.3765780667986326
full_phase_duration_beta,GroupCTRL:fix.Q,0.6520650642049268,0.652,,FALSE,,-0.23249785190082783,0.5156360908751764,-0.4508952263333914
full_phase_duration_beta,GroupCTRL:fix.C,0.22512643099538848,0.225,,FALSE,,-0.658115153176885,0.5425476860784655,-1.2130088655132623
