fix,phase,medication,term,contrast,null.value,estimate,std.error,df,statistic,p.value
Eyes,Follicular,NAL/OXT,Group,ASD - CTRL,0,-0.255812092582677,0.5065510285230979,Inf,-0.5050075474696473,0.6135535349187644
Mouth,Follicular,NAL/OXT,Group,ASD - CTRL,0,0.1825744328427253,0.5733342370079968,Inf,0.3184432762911711,0.7501487156704774
Face,Follicular,NAL/OXT,Group,ASD - CTRL,0,-0.6181314093572459,0.5246984340533561,Inf,-1.1780698573504578,0.23876875768189326
Background,Follicular,NAL/OXT,Group,ASD - CTRL,0,0.28525081986981227,0.458842074795354,Inf,0.6216753770827047,0.5341553455967616
Eyes,Luteal,NAL/OXT,Group,ASD - CTRL,0,0.14673063548188858,0.6166457853562218,Inf,0.23794962840316136,0.8119201628425228
Mouth,Luteal,NAL/OXT,Group,ASD - CTRL,0,-1.0620174345793412,0.6684383135844532,Inf,-1.5888039524310744,0.11210466067220555
Face,Luteal,NAL/OXT,Group,ASD - CTRL,0,-1.007263182327599,0.6559485775528562,Inf,-1.535582539237131,0.12464079930121744
Background,Luteal,NAL/OXT,Group,ASD - CTRL,0,1.4146143148041852,0.5651778939983998,Inf,2.502954078398881,0.012316152319238565
Eyes,Follicular,NAL/PLA,Group,ASD - CTRL,0,-0.40238831743750125,0.42767608254321476,Inf,-0.9408716873870114,0.3467706182831074
Mouth,Follicular,NAL/PLA,Group,ASD - CTRL,0,-0.3758780957175797,0.4684284752955725,Inf,-0.802423668801102,0.42230792626145014
Face,Follicular,NAL/PLA,Group,ASD - CTRL,0,-0.451728201583849,0.4618099092201103,Inf,-0.9781691396503662,0.32799067682661937
Background,Follicular,NAL/PLA,Group,ASD - CTRL,0,0.5756790367106144,0.3974482949329084,Inf,1.4484375554002373,0.14749471804047312
Eyes,Luteal,NAL/PLA,Group,ASD - CTRL,0,-0.4554659797678595,0.7184624027134257,Inf,-0.6339454619304999,0.5261164150393312
Mouth,Luteal,NAL/PLA,Group,ASD - CTRL,0,-0.5602598892790795,0.784049925278427,Inf,-0.7145717016427539,0.4748737359151044
Face,Luteal,NAL/PLA,Group,ASD - CTRL,0,-0.21000837384271492,0.7482816608668748,Inf,-0.2806541771976917,0.7789756579087278
Background,Luteal,NAL/PLA,Group,ASD - CTRL,0,0.8269636957261035,0.6712269803548018,Inf,1.2320179610315745,0.21794237485088588
Eyes,Follicular,PLA/OXT,Group,ASD - CTRL,0,-0.7352746889928201,0.4713265781154842,Inf,-1.5600110902565387,0.11875726042282857
Mouth,Follicular,PLA/OXT,Group,ASD - CTRL,0,-0.20850424502227552,0.5231662051858021,Inf,-0.3985430307911907,0.6902299456697132
Face,Follicular,PLA/OXT,Group,ASD - CTRL,0,-0.6520937367105905,0.5120171993223231,Inf,-1.2735777969444477,0.2028130851351971
Background,Follicular,PLA/OXT,Group,ASD - CTRL,0,1.0467991785714759,0.45058894874641003,Inf,2.3231798771003835,0.020169491323684386
Eyes,Luteal,PLA/OXT,Group,ASD - CTRL,0,-0.4468057344600476,0.5272443858894483,Inf,-0.8474357364778713,0.3967522925100512
Mouth,Luteal,PLA/OXT,Group,ASD - CTRL,0,-0.3737815020352852,0.5748438925401335,Inf,-0.6502313182516577,0.5155428140424259
Face,Luteal,PLA/OXT,Group,ASD - CTRL,0,-0.251046050653478,0.5631810386050636,Inf,-0.44576438737229324,0.6557674489919743
Background,Luteal,PLA/OXT,Group,ASD - CTRL,0,0.4523920719659281,0.49436611909027367,Inf,0.9150952189005475,0.3601416447230561
Eyes,Follicular,PLA/PLA,Group,ASD - CTRL,0,0.06986271430474278,0.6046975945300629,Inf,0.11553330943715126,0.9080224201251232
Mouth,Follicular,PLA/PLA,Group,ASD - CTRL,0,-0.47737370337728774,0.672174465524964,Inf,-0.7101931535058564,0.4775843659314064
Face,Follicular,PLA/PLA,Group,ASD - CTRL,0,-0.27414612454966064,0.6527478034571257,Inf,-0.4199878162710161,0.6744943542420939
Background,Follicular,PLA/PLA,Group,ASD - CTRL,0,0.43993448374236244,0.5950189534609736,Inf,0.7393621349092321,0.4596871285297615
Eyes,Luteal,PLA/PLA,Group,ASD - CTRL,0,-1.0799380059037698,0.4429148836135801,Inf,-2.4382517857448174,0.014758490326510039
Mouth,Luteal,PLA/PLA,Group,ASD - CTRL,0,-0.6244492644345525,0.5025022203443884,Inf,-1.2426796124534296,0.21398591963539315
Face,Luteal,PLA/PLA,Group,ASD - CTRL,0,-0.2776485298121033,0.4883317843766777,Inf,-0.5685653457239176,0.5696511480174299
Background,Luteal,PLA/PLA,Group,ASD - CTRL,0,1.2712413365751931,0.42491435907841285,Inf,2.99175894957365,0.002773751846848606
