model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
auci_predictor_sex_interaction,medication,0.5725315205675838,0.573,,FALSE,,0.10159783256849789,0.03386594418949929,3,151.93326763380372,0.6686642240249275
auci_predictor_sex_interaction,Group,0.6337953930216418,0.634,,FALSE,,0.01158934972754124,0.01158934972754124,1,74.58939355615061,0.2288252617189009
auci_predictor_sex_interaction,AUCi,0.1909435150710636,0.191,,FALSE,,0.08726311111476913,0.08726311111476913,1,184.41179702874012,1.7229615732270191
auci_predictor_sex_interaction,Sex,0.1972334310955891,0.197,,FALSE,,0.08573695046704653,0.08573695046704653,1,74.5893935511563,1.692828380437927
auci_predictor_sex_interaction,medication:Group,0.5456067669823441,0.546,,FALSE,,0.10834723783144913,0.03611574594381638,3,151.93326763860895,0.7130853078087603
auci_predictor_sex_interaction,medication:AUCi,0.15726249541151216,0.157,,FALSE,,0.26720165104537374,0.08906721701512457,3,160.18359588625555,1.7585826403725207
auci_predictor_sex_interaction,Group:AUCi,0.001259891576492986,0.001 **,**,TRUE,significant,0.5433928658882241,0.5433928658882241,1,184.4117970147437,10.728989777361436
auci_predictor_sex_interaction,medication:Sex,0.12209557849073252,0.122,,FALSE,,0.2981016621245332,0.09936722070817773,3,151.9332676376722,1.961950482070104
auci_predictor_sex_interaction,Group:Sex,0.32212562045940357,0.322,,FALSE,,0.05031490712669035,0.05031490712669035,1,74.58939355321168,0.9934398445381752
auci_predictor_sex_interaction,AUCi:Sex,0.6406517458637968,0.641,,FALSE,,0.011072066111094082,0.011072066111094082,1,184.4117970471653,0.21861178454380728
auci_predictor_sex_interaction,medication:Group:AUCi,0.1177291989461825,0.118,,FALSE,,0.30224721951576805,0.10074907317192269,3,160.18359587944943,1.9892343900638298
auci_predictor_sex_interaction,medication:Group:Sex,0.22114353820419322,0.221,,FALSE,,0.22549276512387867,0.07516425504129289,3,151.93326763196683,1.4840763922117872
auci_predictor_sex_interaction,medication:AUCi:Sex,0.9822171855979596,0.982,,FALSE,,0.008609015504038699,0.002869671834679566,3,160.18359589337834,0.05666007360684108
auci_predictor_sex_interaction,Group:AUCi:Sex,0.286202988483984,0.286,,FALSE,,0.05794123842773678,0.05794123842773678,1,184.41179703350863,1.1440175125646996
auci_predictor_sex_interaction,medication:Group:AUCi:Sex,0.16677190583003546,0.167,,FALSE,,0.2600461797934354,0.08668205993114514,3,160.1835958866389,1.7114890409201486
