contrast,label,Sex,estimate,SE,df,asymp.LCL,asymp.UCL,z.ratio,p.value
ASD - CTRL,1,f,-0.2562077458789064,0.147362810946858,Inf,-0.5450335479953328,0.032618056237520066,-1.73861874805917,0.08210184655391732
ASD - CTRL,2,f,-0.2590992861666431,0.14736281094685796,Inf,-0.5479250882830695,0.029726515949783316,-1.7582406612756563,0.07870656940297736
ASD - CTRL,3,f,-0.23478863688041346,0.14728356277581975,Inf,-0.5234591154357642,0.053881841674937314,-1.5941265437595717,0.11090769479973378
ASD - CTRL,4,f,-0.2157506329966117,0.14728356277581978,Inf,-0.5044211115519626,0.07291984555873912,-1.4648656573103518,0.14295757417036406
ASD - CTRL,5,f,-0.20180178159676837,0.14728356277581986,Inf,-0.49047226015211937,0.08686869695858263,-1.3701582022695271,0.1706375226713316
ASD - CTRL,6,f,-0.18616609905079612,0.14752150719389504,Inf,-0.4753029400958968,0.10297074199430456,-1.261959036292305,0.2069635268800151
ASD - CTRL,7,f,-0.20801163575817694,0.1472835627758198,Inf,-0.4966821143135278,0.08065884279717395,-1.4123207765878891,0.15785553153706505
ASD - CTRL,8,f,-0.24320620772793908,0.14728356277581978,Inf,-0.5318766862832899,0.04546427082741175,-1.6512786840859024,0.09868168277212168
ASD - CTRL,9,f,-0.22431570477961713,0.14738695882897535,Inf,-0.5131888358752965,0.06455742631606223,-1.5219508331120954,0.1280214006984699
ASD - CTRL,10,f,-0.19435775732717198,0.14750985184393872,Inf,-0.4834717543061311,0.09475623965178714,-1.3175917058936308,0.18764036359437736
ASD - CTRL,11,f,-0.22396763705975065,0.14728356277581983,Inf,-0.5126381156151016,0.0647028414956003,-1.5206560246010044,0.12834617964070383
ASD - CTRL,12,f,-0.28262875142072463,0.1472835627758199,Inf,-0.5712992299760757,0.006041727134626418,-1.9189429295033653,0.05499155684636074
ASD - CTRL,13,f,-0.20541366499843258,0.1472835627758198,Inf,-0.4940841435537835,0.0832568135569183,-1.3946815321889827,0.1631118963621725
ASD - CTRL,1,m,0.08966630705854597,0.1492098756387434,Inf,-0.20277967533109145,0.38211228944818343,0.6009408336726975,0.5478793946812239
ASD - CTRL,2,m,0.041188771046486786,0.14920987563874336,Inf,-0.25125721134315054,0.3336347534361241,0.27604587746061926,0.7825128295294295
ASD - CTRL,3,m,-0.012781117598721695,0.14913728876229443,Inf,-0.30508483232476885,0.27952259712732547,-0.08570034834878315,0.9317046252066006
ASD - CTRL,4,m,0.07727839763038868,0.14913728876229437,Inf,-0.21502531709565836,0.36958211235643573,0.5181695220003664,0.604339997520632
ASD - CTRL,5,m,0.056179731555217424,0.14913728876229446,Inf,-0.23612398317082978,0.34848344628126465,0.37669808819416484,0.7063979837782206
ASD - CTRL,6,m,-0.07133147587312952,0.1493480105040461,Inf,-0.3640481976237695,0.2213852458775105,-0.4776191904558181,0.6329212695940011
ASD - CTRL,7,m,-0.03117481030553329,0.1492108149018397,Inf,-0.3236226336170115,0.26127301300594485,-0.20893130518750969,0.8345018654203773
ASD - CTRL,8,m,-0.05084465598753577,0.1497437876598307,Inf,-0.3443370867094173,0.24264777473434576,-0.3395443429215129,0.7341996981441379
ASD - CTRL,9,m,-0.046702512757861865,0.14938435571530662,Inf,-0.33949046981358294,0.24608544429785922,-0.31263322410324196,0.7545593333386148
ASD - CTRL,10,m,-0.2002981400988618,0.14999545279836848,Inf,-0.4942838254284416,0.09368754523071801,-1.335361415043113,0.18175808688780937
ASD - CTRL,11,m,-0.05725412008622252,0.1496358216468343,Inf,-0.35053494131107665,0.23602670113863164,-0.382623087547525,0.701999249249907
ASD - CTRL,12,m,-0.1318735481086191,0.1494189294494434,Inf,-0.42472926843805936,0.16098217222082115,-0.8825759132027453,0.37746544733635684
ASD - CTRL,13,m,-0.1783606387757043,0.15140942577803682,Inf,-0.47511766022054686,0.11839638266913827,-1.1780022139254225,0.2387957236156264
