model,term,p_value,p_display,sig,significant_0_05,highlight,Sum Sq,Mean Sq,NumDF,DenDF,F value
q_type_sex_interaction,Group,0.18447638384132178,0.184,,FALSE,,0.17898212209125308,0.17898212209125308,1,67.58387316863083,1.7977308226137647
q_type_sex_interaction,q_type,0.0013116451160458359,0.001 **,**,TRUE,significant,1.146732466335759,1.146732466335759,1,52.986747711236376,11.518001216750811
q_type_sex_interaction,medication,0.04812220880131601,0.048 *,*,TRUE,significant,0.7874798306140454,0.26249327687134844,3,2869.8843701847004,2.636532906453753
q_type_sex_interaction,Sex,0.19044773782985655,0.190,,FALSE,,0.17414058028423102,0.17414058028423102,1,67.58511095093147,1.749101446485242
q_type_sex_interaction,session,0.24695230754774342,0.247,,FALSE,,0.41219580421234236,0.1373986014041141,3,2868.040624420837,1.3800579512755151
q_type_sex_interaction,Group:q_type,0.04839435873361329,0.048 *,*,TRUE,significant,0.40646215658370977,0.40646215658370977,1,52.98707697357119,4.082583995423012
q_type_sex_interaction,Group:medication,2.4577620596909595e-5,<0.001 ***,***,TRUE,significant,2.402430846711967,0.8008102822373224,3,2869.882993703585,8.043492336681924
q_type_sex_interaction,q_type:medication,0.8935418896175963,0.894,,FALSE,,0.060986452696204965,0.020328817565401655,3,2926.588331500017,0.20418654945873316
q_type_sex_interaction,Group:Sex,0.31204127842622226,0.312,,FALSE,,0.10329064894675978,0.10329064894675978,1,67.61238276898588,1.0374711235387835
q_type_sex_interaction,q_type:Sex,0.8931948649053109,0.893,,FALSE,,0.0018120403965452565,0.0018120403965452565,1,52.987761605353874,0.018200481895224295
q_type_sex_interaction,medication:Sex,8.529034278580836e-7,<0.001 ***,***,TRUE,significant,3.101852552642174,1.0339508508807247,3,2869.6412491946116,10.385201002077322
q_type_sex_interaction,Group:q_type:medication,0.6011772861854758,0.601,,FALSE,,0.1855750169376444,0.06185833897921479,3,2926.589408660891,0.6213170417206687
q_type_sex_interaction,Group:q_type:Sex,0.04060089313957607,0.041 *,*,TRUE,significant,0.4386290910117964,0.4386290910117964,1,52.98666074822228,4.405674865140627
q_type_sex_interaction,Group:medication:Sex,1.4228838065241235e-6,<0.001 ***,***,TRUE,significant,2.9955954433745724,0.9985318144581907,3,2869.635781101768,10.029445395092145
q_type_sex_interaction,q_type:medication:Sex,0.5977948831391862,0.598,,FALSE,,0.1871486662797327,0.062382888759910896,3,2926.5890375559316,0.6265857205011778
q_type_sex_interaction,Group:q_type:medication:Sex,0.961625198773477,0.962,,FALSE,,0.029014970007067983,0.009671656669022661,3,2926.589104146197,0.09714397782575918
