contrast,progress_bin,medication,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication
ASD / CTRL,01,BOTH,0.7846197826949477,0.26623963018898805,Inf,1,-0.7148231869932453,0.47471830565127515,,01_BOTH
ASD / CTRL,02,BOTH,0.9420728149065486,0.31846660737047855,Inf,1,-0.1765209783992273,0.8598846690693378,,02_BOTH
ASD / CTRL,03,BOTH,1.124894909312789,0.37669785366499653,Inf,1,0.3514446661870739,0.7252547779993654,,03_BOTH
ASD / CTRL,04,BOTH,1.0789542112754684,0.3630744167838689,Inf,1,0.22582741558554456,0.8213356532641358,,04_BOTH
ASD / CTRL,05,BOTH,0.956684621643036,0.3197504760704338,Inf,1,-0.1324890014142505,0.8945975219367498,,05_BOTH
ASD / CTRL,06,BOTH,0.6785626306472549,0.22797887714263143,Inf,1,-1.1541946339973905,0.24842038203717526,,06_BOTH
ASD / CTRL,07,BOTH,1.3364962702998924,0.4442034195072665,Inf,1,0.8726918465899727,0.3828310630054037,,07_BOTH
ASD / CTRL,08,BOTH,1.1889601265696825,0.3982885290475902,Inf,1,0.516670986212018,0.6053858530192153,,08_BOTH
ASD / CTRL,09,BOTH,1.2367143690512947,0.4184931844020207,Inf,1,0.6278478832751438,0.5301035948222981,,09_BOTH
ASD / CTRL,10,BOTH,0.7670356090435424,0.26112300397864746,Inf,1,-0.7790763560375148,0.43593473710898284,,10_BOTH
ASD / CTRL,11,BOTH,0.8714333983142465,0.2898453156566219,Inf,1,-0.4137484086382209,0.6790583707217797,,11_BOTH
ASD / CTRL,12,BOTH,0.5513716858252461,0.18762526422161635,Inf,1,-1.7495351782050237,0.08019855351177672,,12_BOTH
ASD / CTRL,13,BOTH,0.9653354434422483,0.32700032654693617,Inf,1,-0.1041487510155538,0.9170513034682841,,13_BOTH
ASD / CTRL,14,BOTH,1.1320357913535684,0.3805636043396901,Inf,1,0.3689064247252412,0.7121974743673154,,14_BOTH
ASD / CTRL,15,BOTH,0.7886984587596431,0.2661549189698884,Inf,1,-0.7034035303986651,0.48180430703315014,,15_BOTH
ASD / CTRL,16,BOTH,1.0517163621250933,0.35662153671499197,Inf,1,0.14870436212752758,0.8817869190325165,,16_BOTH
ASD / CTRL,17,BOTH,0.950658247870839,0.3240409698216383,Inf,1,-0.14845010965983196,0.88198755633,,17_BOTH
