contrast,progress_bin,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value,stars,bin_medication_sex
ASD / CTRL,01,BOTH,f,0.6494173454257202,0.3026187808377844,Inf,1,-0.9263810078154184,0.35424801052586985,,01_BOTH_f
ASD / CTRL,02,BOTH,f,1.0728105202100129,0.49974060037835255,Inf,1,0.1508765105815491,0.8800731301906174,,02_BOTH_f
ASD / CTRL,03,BOTH,f,1.147292978276974,0.5403114280456321,Inf,1,0.291765181683976,0.7704661684569586,,03_BOTH_f
ASD / CTRL,04,BOTH,f,1.2469984195417707,0.5797083974019231,Inf,1,0.47482783288510033,0.6349096929509458,,04_BOTH_f
ASD / CTRL,05,BOTH,f,1.000165017742102,0.47213484466966077,Inf,1,3.495428448967172e-4,0.999721105166397,,05_BOTH_f
ASD / CTRL,06,BOTH,f,0.8994180713462943,0.42380589328294,Inf,1,-0.2249730213275681,0.8220002621571906,,06_BOTH_f
ASD / CTRL,07,BOTH,f,1.4194752450026675,0.6720861332644174,Inf,1,0.7398219753545485,0.45940802298395556,,07_BOTH_f
ASD / CTRL,08,BOTH,f,1.5111797510301217,0.7148294170673548,Inf,1,0.8728683465051368,0.3827348411523785,,08_BOTH_f
ASD / CTRL,09,BOTH,f,1.0555734546876325,0.4994393244321602,Inf,1,0.11430782486014418,0.9089937798178575,,09_BOTH_f
ASD / CTRL,10,BOTH,f,1.3993959900075954,0.6586454998247515,Inf,1,0.7139713535184128,0.47524489338757075,,10_BOTH_f
ASD / CTRL,11,BOTH,f,0.8285306870265056,0.3848143977803232,Inf,1,-0.40499468316729875,0.6854814191378564,,11_BOTH_f
ASD / CTRL,12,BOTH,f,0.6866966146709925,0.32207341351214214,Inf,1,-0.8013813875542685,0.42291088688599454,,12_BOTH_f
ASD / CTRL,13,BOTH,f,0.8937927530220968,0.4200426298768352,Inf,1,-0.23891921985955758,0.8111682217947863,,13_BOTH_f
ASD / CTRL,14,BOTH,f,1.0165881254638358,0.47539419529515103,Inf,1,0.035181232927060296,0.9719352269213922,,14_BOTH_f
