contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,01,BOTH,f,1.9867080126808658,0.8802724435014097,Inf,1,1.5493309460526499,0.12130218427820387
ASD / CTRL,02,BOTH,f,2.1457666839420506,0.9460900730487982,Inf,1,1.731638767077467,0.08333789928205415
ASD / CTRL,03,BOTH,f,1.9149694964454043,0.8404513251373111,Inf,1,1.4803461998582157,0.13878087976719347
ASD / CTRL,04,BOTH,f,2.0479943939504026,0.8940499762270426,Inf,1,1.6421087036758455,0.10056747824508626
ASD / CTRL,05,BOTH,f,1.89701851928141,0.8275436546100109,Inf,1,1.4677528632498351,0.14217136558427965
ASD / CTRL,06,BOTH,f,1.8733506393001795,0.8120833578701685,Inf,1,1.4480727717819448,0.14759669954770527
ASD / CTRL,07,BOTH,f,1.9597839529692727,0.8465431693021214,Inf,1,1.5576402865123165,0.11931854302623861
ASD / CTRL,08,BOTH,f,2.2255060908646342,0.965280050393115,Inf,1,1.844407780531129,0.06512373426538023
ASD / CTRL,09,BOTH,f,2.755177355847887,1.1915385517091475,Inf,1,2.3434593429120785,0.019105844462421296
ASD / CTRL,10,BOTH,f,2.50614560946779,1.0869214730138264,Inf,1,2.118378566288634,0.03414301961550163
ASD / CTRL,11,BOTH,f,2.269097545954513,0.9829040511678357,Inf,1,1.8915967708364676,0.05854472647718138
ASD / CTRL,12,BOTH,f,1.9678571838521068,0.8588170659920915,Inf,1,1.5511237263611044,0.12087203626033625
ASD / CTRL,13,BOTH,f,1.6008468374569358,0.6986230570206242,Inf,1,1.0781935657911794,0.2809473827326867
ASD / CTRL,14,BOTH,f,1.5871223683510776,0.6917841947808986,Inf,1,1.0597634487685232,0.289252229263411
ASD / CTRL,15,BOTH,f,1.6186125704663878,0.7062997843700537,Inf,1,1.103602480840997,0.26976561456845977
ASD / CTRL,16,BOTH,f,1.4372950861879301,0.6265497879828724,Inf,1,0.832172308768404,0.4053116917831079
ASD / CTRL,17,BOTH,f,1.300601922269828,0.5658431183278424,Inf,1,0.6041136089274858,0.5457681122850526
ASD / CTRL,18,BOTH,f,1.409338936122857,0.6125153460852079,Inf,1,0.7894878759399436,0.42982691314607485
ASD / CTRL,19,BOTH,f,1.3705596547660717,0.596365906213497,Inf,1,0.7244322042433017,0.46880043476384686
ASD / CTRL,20,BOTH,f,1.4721890520815297,0.6398890943901769,Inf,1,0.8897944578238998,0.37357626302782654
ASD / CTRL,21,BOTH,f,2.176598890363285,0.9425841718380763,Inf,1,1.79599791457089,0.07249484869762994
ASD / CTRL,22,BOTH,f,2.006769696185734,0.8735398121971246,Inf,1,1.6001192823780306,0.10957212412229199
ASD / CTRL,23,BOTH,f,2.227321866614367,0.9716597082852391,Inf,1,1.835662350298104,0.06640760950349492
ASD / CTRL,24,BOTH,f,2.187282014677513,0.9538060970805007,Inf,1,1.7948065705813283,0.07268452359200007
ASD / CTRL,25,BOTH,f,1.8033794994983632,0.7876325053097167,Inf,1,1.350103105717171,0.1769829123005319
ASD / CTRL,26,BOTH,f,1.7346292038201825,0.7532370022381784,Inf,1,1.2684225435148433,0.20464709525310038
ASD / CTRL,27,BOTH,f,1.8573773182582787,0.80731129162928,Inf,1,1.424511056200277,0.15429858686596606
ASD / CTRL,28,BOTH,f,1.9515623291194877,0.8498798059883419,Inf,1,1.5353625199951468,0.1246948047914075
ASD / CTRL,29,BOTH,f,2.235519724194971,0.9765395575954352,Inf,1,1.841622184151852,0.06553043376350302
ASD / CTRL,30,BOTH,f,2.4295012531319493,1.067799812754589,Inf,1,2.019699011875188,0.043414617669142085
ASD / CTRL,31,BOTH,f,2.431182888578294,1.0677200333525905,Inf,1,2.0228235312302876,0.04309134469661579
ASD / CTRL,32,BOTH,f,2.26877938509651,0.9963003377437734,Inf,1,1.8655813161183972,0.06209996565729574
ASD / CTRL,33,BOTH,f,2.193533248705497,0.965503747413415,Inf,1,1.7846126460745737,0.0743241687499715
ASD / CTRL,34,BOTH,f,1.9125018656060224,0.8467742487823648,Inf,1,1.4644867423866264,0.14306100283797094
ASD / CTRL,35,BOTH,f,1.792794576444241,0.7915938603115005,Inf,1,1.322129711768593,0.18612496148923896
ASD / CTRL,36,BOTH,f,2.004494432890024,0.8879184037903325,Inf,1,1.569861755031484,0.11644727677596375
ASD / CTRL,37,BOTH,f,2.33985705220343,1.0392552593832092,Inf,1,1.9139558699689103,0.05562579467595049
ASD / CTRL,01,NAL,f,2.4177979065595188,1.0991278926431953,Inf,1,1.9420580912920264,0.05213006819065032
ASD / CTRL,02,NAL,f,2.4710384585369902,1.1268085635199865,Inf,1,1.9838298840758835,0.04727480747949432
ASD / CTRL,03,NAL,f,2.7641590353053664,1.2583443384222195,Inf,1,2.2334277970108585,0.025520746812874
ASD / CTRL,04,NAL,f,2.3979158998284915,1.0903943002259682,Inf,1,1.9233567248562504,0.05443526518645265
ASD / CTRL,05,NAL,f,2.0862545103867776,0.9531713246482617,Inf,1,1.609542467766819,0.10749777673788409
ASD / CTRL,06,NAL,f,1.9642382517814647,0.895661574975695,Inf,1,1.4805437048331276,0.13872820619811196
ASD / CTRL,07,NAL,f,1.6909724071827201,0.775453306149596,Inf,1,1.1454901842980678,0.2520061592129547
ASD / CTRL,08,NAL,f,1.7089338172876667,0.7783522861542421,Inf,1,1.1765441300188215,0.23937750868379545
ASD / CTRL,09,NAL,f,1.8411748780608532,0.8311477953530639,Inf,1,1.3521786514159222,0.1763181713982427
ASD / CTRL,10,NAL,f,2.0076789257114256,0.9072290841281114,Inf,1,1.5424005465250585,0.12297628885138898
ASD / CTRL,11,NAL,f,1.9342688775707313,0.8705964562033581,Inf,1,1.4657698915376112,0.14271098614658018
ASD / CTRL,12,NAL,f,2.0153523499344193,0.9073096306487752,Inf,1,1.5566316887710243,0.11955795570108166
ASD / CTRL,13,NAL,f,2.085326485929296,0.9407104937797012,Inf,1,1.6291510262870699,0.10328105147317264
ASD / CTRL,14,NAL,f,2.220280568450992,1.0027418637887815,Inf,1,1.7661278344455482,0.07737440467643686
ASD / CTRL,15,NAL,f,2.292657405683274,1.0353243789282252,Inf,1,1.8373414614949928,0.066159502731973
ASD / CTRL,16,NAL,f,2.172750813316186,0.9822124849279767,Inf,1,1.7165752476089484,0.08605680829513031
ASD / CTRL,17,NAL,f,2.069584182920536,0.9350030145887345,Inf,1,1.609949156449064,0.10740895638234405
ASD / CTRL,18,NAL,f,1.7905935271102873,0.8088466211964316,Inf,1,1.2896204526982293,0.1971824708913971
ASD / CTRL,19,NAL,f,1.9992793613130562,0.9014053392193987,Inf,1,1.536572153881366,0.12439811594940588
ASD / CTRL,20,NAL,f,1.9876651765843483,0.8909720692085529,Inf,1,1.532537160507902,0.12538993482640598
ASD / CTRL,21,NAL,f,2.082334823798836,0.9337712755598802,Inf,1,1.6357017426322733,0.10190202460416616
ASD / CTRL,22,NAL,f,1.8927963283789304,0.8482714860493452,Inf,1,1.4237289601941843,0.1545249470075225
ASD / CTRL,23,NAL,f,1.5909506874253336,0.7126775019702841,Inf,1,1.0365542920175512,0.2999436245636105
ASD / CTRL,24,NAL,f,1.9399548442821746,0.877492083746545,Inf,1,1.4650155964186002,0.14291666262135785
ASD / CTRL,25,NAL,f,1.9708693811794655,0.8912752819947383,Inf,1,1.5003054037472645,0.1335353103385134
ASD / CTRL,26,NAL,f,1.9551913431616688,0.8864951149141962,Inf,1,1.4787813640700391,0.1391987581525277
ASD / CTRL,27,NAL,f,1.7933619406202714,0.8239801779532769,Inf,1,1.271254403581891,0.20363815780971764
ASD / CTRL,28,NAL,f,1.3206923633959677,0.6062350456153858,Inf,1,0.605967375131654,0.5445364177231855
ASD / CTRL,29,NAL,f,1.3211599390020365,0.6058504904981259,Inf,1,0.6073385801550953,0.543626239990051
ASD / CTRL,30,NAL,f,1.2476119742404543,0.5755264335953368,Inf,1,0.47957975037071765,0.631526247991725
ASD / CTRL,31,NAL,f,1.4291713766023328,0.6572346483285979,Inf,1,0.7765106357642374,0.43744754344309705
ASD / CTRL,32,NAL,f,1.659775367372254,0.7655035293588988,Inf,1,1.0985955289295828,0.2719445287895167
ASD / CTRL,33,NAL,f,1.7712337387346073,0.8179771866690251,Inf,1,1.2378981005242078,0.21575384674554154
ASD / CTRL,34,NAL,f,1.834645759301799,0.8478610702756688,Inf,1,1.3131365694594626,0.18913693315477564
ASD / CTRL,35,NAL,f,1.698481748311595,0.7842534014602603,Inf,1,1.1472628928008788,0.2512729852616226
ASD / CTRL,36,NAL,f,1.5961244608137246,0.7341424868529438,Inf,1,1.016578472125135,0.3093539996259568
ASD / CTRL,37,NAL,f,1.5265250492661495,0.701160964659234,Inf,1,0.9209167105888392,0.3570939134090545
ASD / CTRL,01,OXT,f,11.262980864410983,6.048754649870342,Inf,1,4.508952643491996,6.514844767004112e-6
ASD / CTRL,02,OXT,f,9.776287328367445,5.285670951085183,Inf,1,4.216974957709455,2.4760145969911295e-5
ASD / CTRL,03,OXT,f,10.213668000771435,5.526367477046065,Inf,1,4.294642800526128,1.749748269168482e-5
ASD / CTRL,04,OXT,f,2.937866049139011,1.3644673454329512,Inf,1,2.3203851162041538,0.0203200533192989
ASD / CTRL,05,OXT,f,1.9722879374197524,0.9083893123892195,Inf,1,1.474661386655171,0.14030360215824866
ASD / CTRL,06,OXT,f,1.944584557503648,0.8905058880655696,Inf,1,1.4522562809660968,0.14643035879381733
ASD / CTRL,07,OXT,f,2.313104767266975,1.0557782754233627,Inf,1,1.8372684287574457,0.06617027819618478
ASD / CTRL,08,OXT,f,2.562166574802103,1.1743992065704352,Inf,1,2.0526433053096054,0.040107184317838315
ASD / CTRL,09,OXT,f,3.215211564272974,1.466346857268728,Inf,1,2.560801749011825,0.010443093029410572
ASD / CTRL,10,OXT,f,3.4933402216654414,1.600978227461593,Inf,1,2.7293774224316967,0.006345403431313125
ASD / CTRL,11,OXT,f,3.412359086952949,1.571554405983506,Inf,1,2.6650956028770927,0.0076966438753580824
ASD / CTRL,12,OXT,f,1.9649543052199243,0.8610338518943461,Inf,1,1.5414791165501196,0.123200221707624
ASD / CTRL,13,OXT,f,1.584432182531598,0.6964486415528547,Inf,1,1.0470219891179628,0.2950894366463476
ASD / CTRL,14,OXT,f,1.423679424074706,0.6290023649045423,Inf,1,0.799531429461985,0.4239823299000458
ASD / CTRL,15,OXT,f,1.1748695504045854,0.5258486715884013,Inf,1,0.36006289249544643,0.7188001017543896
ASD / CTRL,16,OXT,f,1.2213990770680443,0.5642362249496344,Inf,1,0.4329323845678915,0.6650638922198697
ASD / CTRL,17,OXT,f,1.1747163861518564,0.5280316404537252,Inf,1,0.3582375400194241,0.720165556053938
ASD / CTRL,18,OXT,f,1.5950480002088276,0.7380127672786158,Inf,1,1.0091072313176863,0.31292321031949466
ASD / CTRL,19,OXT,f,0.8422991029219579,0.398178825073308,Inf,1,-0.3630415433261469,0.7165738512560169
ASD / CTRL,20,OXT,f,1.6326047537940496,0.7431541842843203,Inf,1,1.076849065269072,0.28154770128257606
ASD / CTRL,21,OXT,f,1.750464948113925,0.799724799267434,Inf,1,1.2254876076909265,0.22039155638961327
ASD / CTRL,22,OXT,f,1.9012255367824191,0.8586742251629597,Inf,1,1.422582506173526,0.15485721823328433
ASD / CTRL,23,OXT,f,1.9306109343151583,0.8711646839279417,Inf,1,1.4578487415665218,0.14488223991516366
ASD / CTRL,24,OXT,f,2.04013766975569,0.9204528315749061,Inf,1,1.5803671672825987,0.11402280602979738
ASD / CTRL,25,OXT,f,1.957723418460088,0.8803453394337958,Inf,1,1.4939181668832242,0.1351970094962055
ASD / CTRL,26,OXT,f,2.248297071450168,1.0110240000963804,Inf,1,1.801648374465494,0.07160074524517565
ASD / CTRL,27,OXT,f,2.1444123756100004,0.9602796902280442,Inf,1,1.7035644648071697,0.08846248496503466
ASD / CTRL,28,OXT,f,2.390598088449338,1.0610587859593785,Inf,1,1.9636145008656227,0.04957481447277419
ASD / CTRL,29,OXT,f,2.0108733760754745,0.893161349323099,Inf,1,1.5727663231136255,0.11577293623535599
ASD / CTRL,30,OXT,f,1.695302549978003,0.7552784490320955,Inf,1,1.1848404707398916,0.23608052780692412
ASD / CTRL,31,OXT,f,1.9519461768853208,0.8675857947883081,Inf,1,1.5047666135109359,0.13238409012124078
ASD / CTRL,32,OXT,f,1.8262861328780275,0.8121011272500949,Inf,1,1.3544418757582501,0.17559544533186677
ASD / CTRL,33,OXT,f,2.3027042317597908,1.0249249169697496,Inf,1,1.8739413503808988,0.060938509274865396
ASD / CTRL,34,OXT,f,2.5349007569142827,1.1307447942266027,Inf,1,2.085217924958189,0.03704952353160654
ASD / CTRL,35,OXT,f,2.862004330921604,1.2776177347119055,Inf,1,2.3555254381807558,0.01849653055926811
ASD / CTRL,36,OXT,f,2.9212517133891294,1.307928782186895,Inf,1,2.394333314921181,0.016650609711987296
ASD / CTRL,37,OXT,f,2.4244092209527968,1.0954629426792004,Inf,1,1.9599270091336118,0.05000432221703485
ASD / CTRL,01,PLA,f,1.9687784068410694,0.8673020563937498,Inf,1,1.5377302220388342,0.12411459093585231
ASD / CTRL,02,PLA,f,1.4688999103298606,0.634284182171796,Inf,1,0.8904718798208595,0.3732125611457616
ASD / CTRL,03,PLA,f,2.716935052841657,1.1781871810443454,Inf,1,2.304887249327385,0.021172888902969908
ASD / CTRL,04,PLA,f,3.079179043921217,1.332767385734055,Inf,1,2.5983820067434777,0.00936642291632634
ASD / CTRL,05,PLA,f,3.62476776884469,1.5627808653950528,Inf,1,2.986944999691923,0.0028178041177420324
ASD / CTRL,06,PLA,f,4.14705958290079,1.794383389252119,Inf,1,3.287355263762966,0.0010113316090801009
ASD / CTRL,07,PLA,f,4.316418234629219,1.861191753677805,Inf,1,3.391612931674889,6.948252226805298e-4
ASD / CTRL,08,PLA,f,5.613907718061548,2.464871966504719,Inf,1,3.929363392878202,8.517104555698409e-5
ASD / CTRL,09,PLA,f,3.5495170877338045,1.5465624597125909,Inf,1,2.9074605168279106,0.003643763393153384
ASD / CTRL,10,PLA,f,3.3976113810309756,1.4797452156825965,Inf,1,2.808270985123755,0.004980829497767041
ASD / CTRL,11,PLA,f,3.402108717369547,1.4851432259407253,Inf,1,2.804797788135874,0.005034815524183909
ASD / CTRL,12,PLA,f,3.747073932960035,1.6376477045418114,Inf,1,3.0225010634749636,0.0025069520193074938
ASD / CTRL,13,PLA,f,3.926270410327132,1.718188838198,Inf,1,3.125337879893959,0.0017760093556446193
ASD / CTRL,14,PLA,f,3.91534694422977,1.7151960734422416,Inf,1,3.115721037332424,0.0018349576999564276
ASD / CTRL,15,PLA,f,2.9045781663418295,1.294803805665353,Inf,1,2.391958785380211,0.016758724158726403
ASD / CTRL,16,PLA,f,2.6604746191960236,1.180547021926869,Inf,1,2.20515272341804,0.027443379407303414
ASD / CTRL,17,PLA,f,2.564800007496109,1.1348655197375725,Inf,1,2.1286532071960593,0.03328296291875348
ASD / CTRL,18,PLA,f,2.4293206550108026,1.0704238773309283,Inf,1,2.0144293924449554,0.04396447102914641
ASD / CTRL,19,PLA,f,2.611384617037006,1.1487409983706611,Inf,1,2.182056179891267,0.02910538672794433
ASD / CTRL,20,PLA,f,2.6202145312073215,1.1495930067980913,Inf,1,2.1955055994421495,0.028127349676489246
ASD / CTRL,21,PLA,f,3.250089016736341,1.4046225473798089,Inf,1,2.727296869349591,0.0063855560259128636
ASD / CTRL,22,PLA,f,2.974275887172412,1.2705309372532072,Inf,1,2.551659653905563,0.01072111915396235
ASD / CTRL,23,PLA,f,1.9203496439134151,0.8366954016435939,Inf,1,1.4976084630240072,0.13423500666757388
ASD / CTRL,24,PLA,f,1.89893494461946,0.8291584160840745,Inf,1,1.4686867953778835,0.1419177606388429
ASD / CTRL,25,PLA,f,2.159739115527451,0.952160313699496,Inf,1,1.7465251984804029,0.0807197323671893
ASD / CTRL,26,PLA,f,1.7920589998975909,0.786615692659825,Inf,1,1.329016106402881,0.18384265614576115
ASD / CTRL,27,PLA,f,2.344754922721563,1.0226734142298524,Inf,1,1.9538547686780137,0.05071839503120047
ASD / CTRL,28,PLA,f,2.1326568622387168,0.935451310526232,Inf,1,1.7266609487206164,0.08422857292572246
ASD / CTRL,29,PLA,f,2.047962772534229,0.8954645389533609,Inf,1,1.6394540423324953,0.10111873449173192
ASD / CTRL,30,PLA,f,2.3071060986388012,1.0147747525766226,Inf,1,1.9006452191671208,0.057348498355063324
ASD / CTRL,31,PLA,f,2.6490507878102707,1.1671554030986424,Inf,1,2.2111099628078565,0.02702822321042491
ASD / CTRL,32,PLA,f,2.6420824226790636,1.1722197920073911,Inf,1,2.1898292236666186,0.028536624475651827
ASD / CTRL,33,PLA,f,3.296118040020225,1.4582586683803718,Inf,1,2.695975546831311,0.007018281866570367
ASD / CTRL,34,PLA,f,3.115876352964025,1.3836399892948459,Inf,1,2.559355071142432,0.010486657132213605
ASD / CTRL,35,PLA,f,2.3100478193372247,1.0138094409029619,Inf,1,1.9077842048936606,0.05641911307425802
